#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2794946,63025876,2,J1597_gp02,SEA_DEXDERT_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210605,-
2794946,63025877,3,J1597_gp03,SEA_DEXDERT_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025878,4,J1597_gp04,SEA_DEXDERT_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025879,5,J1597_gp05,SEA_DEXDERT_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025880,6,J1597_gp06,SEA_DEXDERT_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025881,7,J1597_gp07,SEA_DEXDERT_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025882,8,J1597_gp08,SEA_DEXDERT_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025883,9,J1597_gp09,SEA_DEXDERT_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025884,10,J1597_gp10,SEA_DEXDERT_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025885,11,J1597_gp11,SEA_DEXDERT_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025886,12,J1597_gp12,SEA_DEXDERT_12,-,-,-,lipoprotein,protein-coding,-,-,-,lipoprotein,20210605,-
2794946,63025887,13,J1597_gp13,SEA_DEXDERT_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2794946,63025888,14,J1597_gp14,SEA_DEXDERT_14,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210309,-
2794946,63025889,15,J1597_gp15,SEA_DEXDERT_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025890,16,J1597_gp16,SEA_DEXDERT_16,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20210605,-
2794946,63025891,17,J1597_gp17,SEA_DEXDERT_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025892,18,J1597_gp18,SEA_DEXDERT_18,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210605,-
2794946,63025893,19,J1597_gp19,SEA_DEXDERT_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025894,20,J1597_gp20,SEA_DEXDERT_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025895,21,J1597_gp21,SEA_DEXDERT_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210605,-
2794946,63025896,22,J1597_gp22,SEA_DEXDERT_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025897,23,J1597_gp23,SEA_DEXDERT_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025898,24,J1597_gp24,SEA_DEXDERT_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025899,25,J1597_gp25,SEA_DEXDERT_25,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210309,-
2794946,63025900,26,J1597_gp26,SEA_DEXDERT_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025901,27,J1597_gp27,SEA_DEXDERT_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025902,28,J1597_gp28,SEA_DEXDERT_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210605,-
2794946,63025903,29,J1597_gp29,SEA_DEXDERT_29,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210309,-
2794946,63025904,30,J1597_gp30,SEA_DEXDERT_30,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210309,-
2794946,63025905,31,J1597_gp31,SEA_DEXDERT_31,-,-,-,tail measure protein,protein-coding,-,-,-,tail measure protein,20210605,-
2794946,63025906,32,J1597_gp32,SEA_DEXDERT_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2794946,63025907,33,J1597_gp33,SEA_DEXDERT_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2794946,63025908,34,J1597_gp34,SEA_DEXDERT_34,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2794946,63025909,35,J1597_gp35,SEA_DEXDERT_35,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2794946,63025910,36,J1597_gp36,SEA_DEXDERT_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025911,37,J1597_gp37,SEA_DEXDERT_37,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2794946,63025912,38,J1597_gp38,SEA_DEXDERT_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025913,39,J1597_gp39,SEA_DEXDERT_39,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210605,-
2794946,63025914,40,J1597_gp40,SEA_DEXDERT_40,-,-,-,holin,protein-coding,-,-,-,holin,20210309,-
2794946,63025915,41,J1597_gp41,SEA_DEXDERT_41,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210309,-
2794946,63025916,42,J1597_gp42,SEA_DEXDERT_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210605,-
2794946,63025917,43,J1597_gp43,SEA_DEXDERT_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025918,44,J1597_gp44,SEA_DEXDERT_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025919,45,J1597_gp45,SEA_DEXDERT_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025920,46,J1597_gp46,SEA_DEXDERT_46,-,-,-,RecE-like exonuclease,protein-coding,-,-,-,RecE-like exonuclease,20210605,-
2794946,63025921,47,J1597_gp47,SEA_DEXDERT_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025922,48,J1597_gp48,SEA_DEXDERT_48,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210605,-
2794946,63025923,49,J1597_gp49,SEA_DEXDERT_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025924,50,J1597_gp50,SEA_DEXDERT_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025925,52,J1597_gp52,SEA_DEXDERT_52,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210605,-
2794946,63025926,53,J1597_gp53,SEA_DEXDERT_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025927,54,J1597_gp54,SEA_DEXDERT_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210605,-
2794946,63025928,55,J1597_gp55,SEA_DEXDERT_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025929,56,J1597_gp56,SEA_DEXDERT_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025930,57,J1597_gp57,SEA_DEXDERT_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210605,-
2794946,63025931,58,J1597_gp58,SEA_DEXDERT_58,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210605,-
2794946,63025932,59,J1597_gp59,SEA_DEXDERT_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025933,60,J1597_gp60,SEA_DEXDERT_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025934,61,J1597_gp61,SEA_DEXDERT_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025935,62,J1597_gp62,SEA_DEXDERT_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025936,63,J1597_gp63,SEA_DEXDERT_63,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210605,-
2794946,63025937,64,J1597_gp64,SEA_DEXDERT_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025938,65,J1597_gp65,SEA_DEXDERT_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025939,66,J1597_gp66,SEA_DEXDERT_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025940,67,J1597_gp67,SEA_DEXDERT_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025941,68,J1597_gp68,SEA_DEXDERT_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025942,69,J1597_gp69,SEA_DEXDERT_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025943,70,J1597_gp70,SEA_DEXDERT_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2794946,63025944,71,J1597_gp71,SEA_DEXDERT_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025945,72,J1597_gp72,SEA_DEXDERT_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025946,73,J1597_gp73,SEA_DEXDERT_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025947,74,J1597_gp74,SEA_DEXDERT_74,-,-,-,DnaQ-like DNA polymerase III subunit,protein-coding,-,-,-,DnaQ-like DNA polymerase III subunit,20210417,-
2794946,63025948,75,J1597_gp75,SEA_DEXDERT_75,-,-,-,MazG-like nucleotide pyrophosphohydrolase,protein-coding,-,-,-,MazG-like nucleotide pyrophosphohydrolase,20210417,-
2794946,63025949,76,J1597_gp76,SEA_DEXDERT_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025950,77,J1597_gp77,SEA_DEXDERT_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025951,78,J1597_gp78,SEA_DEXDERT_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025952,79,J1597_gp79,SEA_DEXDERT_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025953,80,J1597_gp80,SEA_DEXDERT_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025954,81,J1597_gp81,SEA_DEXDERT_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794946,63025955,82,J1597_gp82,SEA_DEXDERT_82,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210309,-
2794946,63025956,51,J1597_gp51,SEA_DEXDERT_51,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210605,-
2794946,63025957,1,J1597_gp01,SEA_DEXDERT_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210309,-
2794946,63139691,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210310,-
