#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2708630,60326396,2,I5H17_gp002,SEA_BODEINWOHNER17_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2708630,60326397,3,I5H17_gp003,SEA_BODEINWOHNER17_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210320,-
2708630,60326398,4,I5H17_gp004,SEA_BODEINWOHNER17_4,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20201129,-
2708630,60326399,5,I5H17_gp005,SEA_BODEINWOHNER17_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2708630,60326400,6,I5H17_gp006,SEA_BODEINWOHNER17_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2708630,60326401,7,I5H17_gp007,SEA_BODEINWOHNER17_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2708630,60326402,8,I5H17_gp008,SEA_BODEINWOHNER17_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2708630,60326403,9,I5H17_gp009,SEA_BODEINWOHNER17_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2708630,60326404,10,I5H17_gp010,SEA_BODEINWOHNER17_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2708630,60326405,11,I5H17_gp011,SEA_BODEINWOHNER17_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2708630,60326406,13,I5H17_gp012,SEA_BODEINWOHNER17_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2708630,60326407,14,I5H17_gp014,SEA_BODEINWOHNER17_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210320,-
2708630,60326408,12,I5H17_gp013,SEA_BODEINWOHNER17_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2708630,60326409,15,I5H17_gp015,SEA_BODEINWOHNER17_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2708630,60326410,16,I5H17_gp016,SEA_BODEINWOHNER17_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2708630,60326411,17,I5H17_gp017,SEA_BODEINWOHNER17_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2708630,60326412,18,I5H17_gp018,SEA_BODEINWOHNER17_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2708630,60326413,19,I5H17_gp019,SEA_BODEINWOHNER17_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210320,-
2708630,60326414,20,I5H17_gp020,SEA_BODEINWOHNER17_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2708630,60326415,21,I5H17_gp021,SEA_BODEINWOHNER17_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326416,22,I5H17_gp022,SEA_BODEINWOHNER17_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326417,23,I5H17_gp023,SEA_BODEINWOHNER17_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326418,24,I5H17_gp024,SEA_BODEINWOHNER17_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326419,25,I5H17_gp025,SEA_BODEINWOHNER17_25,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210129,-
2708630,60326420,26,I5H17_gp026,SEA_BODEINWOHNER17_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326421,27,I5H17_gp027,SEA_BODEINWOHNER17_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326422,28,I5H17_gp028,SEA_BODEINWOHNER17_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326423,29,I5H17_gp029,SEA_BODEINWOHNER17_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326424,30,I5H17_gp030,SEA_BODEINWOHNER17_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210320,-
2708630,60326425,31,I5H17_gp031,SEA_BODEINWOHNER17_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2708630,60326426,32,I5H17_gp032,SEA_BODEINWOHNER17_32,-,-,-,holin,protein-coding,-,-,-,holin,20210320,-
2708630,60326427,33,I5H17_gp033,SEA_BODEINWOHNER17_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201203,-
2708630,60326428,34,I5H17_gp034,SEA_BODEINWOHNER17_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326429,35,I5H17_gp035,SEA_BODEINWOHNER17_35,-,-,-,DnaQ-like exonuclease,protein-coding,-,-,-,DnaQ-like exonuclease,20210327,-
2708630,60326430,36,I5H17_gp036,SEA_BODEINWOHNER17_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326431,37,I5H17_gp037,SEA_BODEINWOHNER17_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326432,38,I5H17_gp038,SEA_BODEINWOHNER17_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326433,39,I5H17_gp039,SEA_BODEINWOHNER17_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326434,40,I5H17_gp040,SEA_BODEINWOHNER17_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326435,41,I5H17_gp041,SEA_BODEINWOHNER17_41,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210129,-
2708630,60326436,42,I5H17_gp042,SEA_BODEINWOHNER17_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326437,43,I5H17_gp043,SEA_BODEINWOHNER17_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326438,44,I5H17_gp044,SEA_BODEINWOHNER17_44,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201129,-
2708630,60326439,45,I5H17_gp045,SEA_BODEINWOHNER17_45,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20210403,-
2708630,60326440,46,I5H17_gp046,SEA_BODEINWOHNER17_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2708630,60326441,47,I5H17_gp047,SEA_BODEINWOHNER17_47,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210320,-
2708630,60326442,48,I5H17_gp048,SEA_BODEINWOHNER17_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
