#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2545435,55012381,HOV28_gp02,HOV28_gp02,-,-,-,-,endonuclease holin,protein-coding,-,-,-,endonuclease holin,20210403,-
2545435,55012382,HOV28_gp03,HOV28_gp03,-,-,-,-,putative integration and excision endonuclease VII,protein-coding,-,-,-,putative integration and excision endonuclease VII,20210403,-
2545435,55012383,HOV28_gp04,HOV28_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2545435,55012384,HOV28_gp05,HOV28_gp05,-,-,-,-,core protein,protein-coding,-,-,-,core protein,20210403,-
2545435,55012385,HOV28_gp06,HOV28_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2545435,55012386,HOV28_gp07,HOV28_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2545435,55012387,HOV28_gp08,HOV28_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2545435,55012388,HOV28_gp09,HOV28_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2545435,55012389,HOV28_gp10,HOV28_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2545435,55012390,HOV28_gp11,HOV28_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2545435,55012391,HOV28_gp12,HOV28_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2545435,55012392,HOV28_gp13,HOV28_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2545435,55012393,HOV28_gp14,HOV28_gp14,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210403,-
2545435,55012394,HOV28_gp15,HOV28_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2545435,55012395,HOV28_gp16,HOV28_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2545435,55012396,HOV28_gp17,HOV28_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2545435,55012397,HOV28_gp18,HOV28_gp18,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20201222,-
2545435,55012398,HOV28_gp19,HOV28_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2545435,55012399,HOV28_gp20,HOV28_gp20,-,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210403,-
