#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2653756,60328714,2,I5H39_gp002,SEA_FLATHEAD_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2653756,60328715,3,I5H39_gp003,SEA_FLATHEAD_3,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201129,-
2653756,60328716,4,I5H39_gp004,SEA_FLATHEAD_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210123,-
2653756,60328717,5,I5H39_gp005,SEA_FLATHEAD_5,-,-,-,capsid maturation protease and MuF-like fusion protein,protein-coding,-,-,-,capsid maturation protease and MuF-like fusion protein,20201129,-
2653756,60328718,6,I5H39_gp006,SEA_FLATHEAD_6,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2653756,60328719,7,I5H39_gp007,SEA_FLATHEAD_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2653756,60328720,8,I5H39_gp008,SEA_FLATHEAD_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2653756,60328721,9,I5H39_gp009,SEA_FLATHEAD_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2653756,60328722,10,I5H39_gp010,SEA_FLATHEAD_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2653756,60328723,11,I5H39_gp011,SEA_FLATHEAD_11,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2653756,60328724,12,I5H39_gp012,SEA_FLATHEAD_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
