#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
881953,10358820,LaPh949_gp001,LaPh949_gp001,-,-,-,-,putative integrase-recombinase,protein-coding,-,-,-,putative integrase-recombinase,20200909,-
881953,10358821,LaPh949_gp083,LaPh949_gp083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358822,LaPh949_gp088,LaPh949_gp088,-,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20200909,-
881953,10358823,LaPh949_gt004,LaPh949_gt004,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
881953,10358824,LaPh949_gp089,LaPh949_gp089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358825,LaPh949_gt006,LaPh949_gt006,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
881953,10358826,LaPh949_gp090,LaPh949_gp090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358827,LaPh949_gp002,LaPh949_gp002,-,-,-,-,putative exodeoxyribonuclease,protein-coding,-,-,-,putative exodeoxyribonuclease,20200909,-
881953,10358828,LaPh949_gp003,LaPh949_gp003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358829,LaPh949_gp004,LaPh949_gp004,-,-,-,-,putative transglycosylase,protein-coding,-,-,-,putative transglycosylase,20200909,-
881953,10358830,LaPh949_gp005,LaPh949_gp005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358831,LaPh949_gp006,LaPh949_gp006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358832,LaPh949_gp007,LaPh949_gp007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358833,LaPh949_gp008,LaPh949_gp008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358834,LaPh949_gp009,LaPh949_gp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358835,LaPh949_gp010,LaPh949_gp010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358836,LaPh949_gp011,LaPh949_gp011,-,-,-,-,putative thymidine kinase,protein-coding,-,-,-,putative thymidine kinase,20200909,-
881953,10358837,LaPh949_gp012,LaPh949_gp012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358838,LaPh949_gp013,LaPh949_gp013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358839,LaPh949_gp014,LaPh949_gp014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
881953,10358840,LaPh949_gp015,LaPh949_gp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
