#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1500829,24725109,PHL194M00_02,PHL194M00_02,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1500829,24725110,PHL194M00_03,PHL194M00_03,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1500829,24725111,PHL194M00_04,PHL194M00_04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500829,24725112,PHL194M00_05,PHL194M00_05,-,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
1500829,24725113,PHL194M00_06,PHL194M00_06,-,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20201221,-
1500829,24725114,PHL194M00_07,PHL194M00_07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500829,24725115,PHL194M00_08,PHL194M00_08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500829,24725116,PHL194M00_09,PHL194M00_09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500829,24725117,PHL194M00_10,PHL194M00_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500829,24725118,PHL194M00_11,PHL194M00_11,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1500829,24725119,PHL194M00_12,PHL194M00_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500829,24725120,PHL194M00_13,PHL194M00_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500829,24725121,PHL194M00_14,PHL194M00_14,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1500829,24725122,PHL194M00_15,PHL194M00_15,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1500829,24725123,PHL194M00_16,PHL194M00_16,-,-,-,-,putative protease,protein-coding,-,-,-,putative protease,20201221,-
1500829,24725124,PHL194M00_17,PHL194M00_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500829,24725125,PHL194M00_18,PHL194M00_18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500829,24725126,PHL194M00_19,PHL194M00_19,-,-,-,-,collagen-like protein,protein-coding,-,-,-,collagen-like protein,20201221,-
1500829,24725127,PHL194M00_20,PHL194M00_20,-,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201221,-
1500829,24725128,PHL194M00_21,PHL194M00_21,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1500829,24725129,PHL194M00_22,PHL194M00_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500829,24725130,PHL194M00_23,PHL194M00_23,-,-,-,-,putative sigma factor,protein-coding,-,-,-,putative sigma factor,20201221,-
1500829,24725131,PHL194M00_24,PHL194M00_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500829,24725132,PHL194M00_25,PHL194M00_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500829,24725133,PHL194M00_26,PHL194M00_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500829,24725134,PHL194M00_27,PHL194M00_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500829,24725135,PHL194M00_28,PHL194M00_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500829,24725136,PHL194M00_29,PHL194M00_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500829,24725137,PHL194M00_30,PHL194M00_30,-,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500829,24725138,PHL194M00_31,PHL194M00_31,-,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500829,24725139,PHL194M00_32,PHL194M00_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500829,24725140,PHL194M00_33,PHL194M00_33,-,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201221,-
1500829,24725141,PHL194M00_34,PHL194M00_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500829,24725142,PHL194M00_35,PHL194M00_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500829,24725143,PHL194M00_36,PHL194M00_36,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1500829,24725144,PHL194M00_37,PHL194M00_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500829,24725145,PHL194M00_38,PHL194M00_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500829,24725146,PHL194M00_39,PHL194M00_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500829,24725147,PHL194M00_40,PHL194M00_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500829,24725148,PHL194M00_41,PHL194M00_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500829,24725149,PHL194M00_42,PHL194M00_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500829,24725150,PHL194M00_43,PHL194M00_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500829,24725151,PHL194M00_44,PHL194M00_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500829,24725152,PHL194M00_45,PHL194M00_45,-,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20201221,-
1500829,24725153,PHL194M00_01,PHL194M00_01,-,-,-,-,putative excinuclease,protein-coding,-,-,-,putative excinuclease,20201221,-
1500829,24936550,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
