#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1654717,65066632,KMC40_gp179,KMC40_gp179,-,-,-,-,queuosine biosynthesis QueD,protein-coding,-,-,-,queuosine biosynthesis QueD,20210607,-
1654717,65066633,KMC40_gp083,KMC40_gp083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066634,KMC40_gp080,KMC40_gp080,-,-,-,-,sliding clamp DNA polymerase accessory protein,protein-coding,-,-,-,sliding clamp DNA polymerase accessory protein,20210607,-
1654717,65066635,KMC40_gp077,KMC40_gp077,-,-,-,-,DNA polymerase clamp loader subunit,protein-coding,-,-,-,DNA polymerase clamp loader subunit,20210607,-
1654717,65066636,KMC40_gp074,KMC40_gp074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066637,recA,KMC40_gp072,-,-,-,-,recombination protein,protein-coding,-,-,-,recombination protein,20210607,-
1654717,65066638,KMC40_gp071,KMC40_gp071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066639,ino1,KMC40_gp068,-,-,-,-,inositol-3-phosphate synthase,protein-coding,-,-,-,inositol-3-phosphate synthase,20210607,-
1654717,65066640,KMC40_gp067,KMC40_gp067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066641,KMC40_gp022,KMC40_gp022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066642,nrdB,KMC40_gp013,-,-,-,-,ribonucleotide reductase of class Ia (aerobic) beta subunit,protein-coding,-,-,-,ribonucleotide reductase of class Ia (aerobic) beta subunit,20210607,-
1654717,65066643,KMC40_gp012,KMC40_gp012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066644,KMC40_gt005,KMC40_gt005,-,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
1654717,65066645,KMC40_gp200,KMC40_gp200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1654717,65066646,KMC40_gt002,KMC40_gt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
1654717,65066647,KMC40_gt003,KMC40_gt003,-,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
