#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2663325,62680686,JT325_gp02,JT325_gp02,-,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20210424,-
2663325,62680687,JT325_gp03,JT325_gp03,-,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20210424,-
2663325,62680688,JT325_gp04,JT325_gp04,-,-,-,-,putative SNF2 domain-containing protein,protein-coding,-,-,-,putative SNF2 domain-containing protein,20210424,-
2663325,62680689,JT325_gp05,JT325_gp05,-,-,-,-,putative VRR-NUC domain-containing protein,protein-coding,-,-,-,putative VRR-NUC domain-containing protein,20210327,-
2663325,62680690,JT325_gp06,JT325_gp06,-,-,-,-,putative DNA polymerase I,protein-coding,-,-,-,putative DNA polymerase I,20210424,-
2663325,62680691,JT325_gp07,JT325_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2663325,62680692,JT325_gp08,JT325_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2663325,62680693,JT325_gp09,JT325_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2663325,62680694,JT325_gp10,JT325_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2663325,62680695,JT325_gp11,JT325_gp11,-,-,-,-,putative primase,protein-coding,-,-,-,putative primase,20210424,-
2663325,62680696,JT325_gp12,JT325_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2663325,62680697,JT325_gp13,JT325_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2663325,62680698,JT325_gp14,JT325_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2663325,62680699,JT325_gp15,JT325_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2663325,62680700,JT325_gp16,JT325_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2663325,62680701,JT325_gp17,JT325_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2663325,62680702,JT325_gp18,JT325_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2663325,62680703,JT325_gp19,JT325_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2663325,62680704,JT325_gp20,JT325_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2663325,62680705,JT325_gp21,JT325_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2663325,62680706,JT325_gp22,JT325_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2663325,62680707,JT325_gp23,JT325_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2663325,62680708,JT325_gp24,JT325_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2663325,62680709,JT325_gp25,JT325_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2663325,62680710,JT325_gp26,JT325_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2663325,62680711,JT325_gp27,JT325_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2663325,62680712,JT325_gp28,JT325_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2663325,62680713,JT325_gp29,JT325_gp29,-,-,-,-,putative recombinase,protein-coding,-,-,-,putative recombinase,20210424,-
2663325,62680714,JT325_gp30,JT325_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2663325,62680715,JT325_gp31,JT325_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2663325,62680716,JT325_gp32,JT325_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2663325,62680717,JT325_gp33,JT325_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2663325,62680718,JT325_gp34,JT325_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2663325,62680719,JT325_gp35,JT325_gp35,-,-,-,-,putative DNA methyltransferase,protein-coding,-,-,-,putative DNA methyltransferase,20210417,-
2663325,62680720,JT325_gp36,JT325_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2663325,62680721,JT325_gp37,JT325_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2663325,62680722,JT325_gp38,JT325_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2663325,62680723,JT325_gp39,JT325_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2663325,62680724,JT325_gp40,JT325_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2663325,62680725,JT325_gp41,JT325_gp41,-,-,-,-,putative lysis protein A,protein-coding,-,-,-,putative lysis protein A,20210417,-
2663325,62680726,JT325_gp42,JT325_gp42,-,-,-,-,putative lysis protein B,protein-coding,-,-,-,putative lysis protein B,20210215,-
2663325,62680727,JT325_gp43,JT325_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2663325,62680728,JT325_gp44,JT325_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2663325,62680729,JT325_gp45,JT325_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2663325,62680730,JT325_gp46,JT325_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2663325,62680731,JT325_gp47,JT325_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2663325,62680732,JT325_gp48,JT325_gp48,-,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20210424,-
2663325,62680733,JT325_gp49,JT325_gp49,-,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20210424,-
2663325,62680734,JT325_gp50,JT325_gp50,-,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20210215,-
2663325,62680735,JT325_gp51,JT325_gp51,-,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20210215,-
2663325,62680736,JT325_gp52,JT325_gp52,-,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20210417,-
2663325,62680737,JT325_gp53,JT325_gp53,-,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20210215,-
2663325,62680738,JT325_gp54,JT325_gp54,-,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20210424,-
2663325,62680739,JT325_gp55,JT325_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2663325,62680740,JT325_gp56,JT325_gp56,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210424,-
2663325,62680741,JT325_gp57,JT325_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2663325,62680742,JT325_gp58,JT325_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2663325,62680743,JT325_gp59,JT325_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2663325,62680744,JT325_gp60,JT325_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2663325,62680745,JT325_gp61,JT325_gp61,-,-,-,-,putative capsid protein E,protein-coding,-,-,-,putative capsid protein E,20210327,-
2663325,62680746,JT325_gp62,JT325_gp62,-,-,-,-,putative decorator protein D,protein-coding,-,-,-,putative decorator protein D,20210417,-
2663325,62680747,JT325_gp63,JT325_gp63,-,-,-,-,putative prohead protease,protein-coding,-,-,-,putative prohead protease,20210417,-
2663325,62680748,JT325_gp64,JT325_gp64,-,-,-,-,putative lambda family portal protein,protein-coding,-,-,-,putative lambda family portal protein,20210424,-
2663325,62680749,JT325_gp01,JT325_gp01,-,-,-,-,putative head-to-tail joining protein,protein-coding,-,-,-,putative head-to-tail joining protein,20210327,-
2663325,62755309,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210217,-
