#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2575357,60336368,2,I5J44_gp02,SEA_PHINEAS_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
2575357,60336369,3,I5J44_gp03,SEA_PHINEAS_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210123,-
2575357,60336370,4,I5J44_gp04,SEA_PHINEAS_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210417,-
2575357,60336371,5,I5J44_gp05,SEA_PHINEAS_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210417,-
2575357,60336372,6,I5J44_gp06,SEA_PHINEAS_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201130,-
2575357,60336373,7,I5J44_gp07,SEA_PHINEAS_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2575357,60336374,8,I5J44_gp08,SEA_PHINEAS_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210123,-
2575357,60336375,9,I5J44_gp09,SEA_PHINEAS_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201130,-
2575357,60336376,10,I5J44_gp10,SEA_PHINEAS_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2575357,60336377,11,I5J44_gp11,SEA_PHINEAS_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2575357,60336378,12,I5J44_gp12,SEA_PHINEAS_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2575357,60336379,13,I5J44_gp13,SEA_PHINEAS_13,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201130,-
2575357,60336380,14,I5J44_gp14,SEA_PHINEAS_14,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201130,-
2575357,60336381,16,I5J44_gp15,SEA_PHINEAS_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201130,-
2575357,60336382,17,I5J44_gp17,SEA_PHINEAS_17,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210417,-
2575357,60336383,15,I5J44_gp16,SEA_PHINEAS_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201130,-
2575357,60336384,18,I5J44_gp18,SEA_PHINEAS_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2575357,60336385,19,I5J44_gp19,SEA_PHINEAS_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2575357,60336386,20,I5J44_gp20,SEA_PHINEAS_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2575357,60336387,21,I5J44_gp21,SEA_PHINEAS_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2575357,60336388,22,I5J44_gp22,SEA_PHINEAS_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2575357,60336389,23,I5J44_gp23,SEA_PHINEAS_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2575357,60336390,24,I5J44_gp24,SEA_PHINEAS_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2575357,60336391,25,I5J44_gp25,SEA_PHINEAS_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2575357,60336392,26,I5J44_gp26,SEA_PHINEAS_26,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2575357,60336393,27,I5J44_gp27,SEA_PHINEAS_27,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201130,-
2575357,60336394,28,I5J44_gp28,SEA_PHINEAS_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2575357,60336395,29,I5J44_gp29,SEA_PHINEAS_29,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210424,-
2575357,60336396,30,I5J44_gp30,SEA_PHINEAS_30,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210417,-
2575357,60336397,31,I5J44_gp31,SEA_PHINEAS_31,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210424,-
2575357,60336398,32,I5J44_gp32,SEA_PHINEAS_32,-,-,-,excise,protein-coding,-,-,-,excise,20210424,-
2575357,60336399,33,I5J44_gp33,SEA_PHINEAS_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2575357,60336400,34,I5J44_gp34,SEA_PHINEAS_34,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210417,-
2575357,60336401,35,I5J44_gp35,SEA_PHINEAS_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2575357,60336402,36,I5J44_gp36,SEA_PHINEAS_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2575357,60336403,37,I5J44_gp37,SEA_PHINEAS_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2575357,60336404,38,I5J44_gp38,SEA_PHINEAS_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2575357,60336405,39,I5J44_gp39,SEA_PHINEAS_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2575357,60336406,40,I5J44_gp40,SEA_PHINEAS_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2575357,60336407,41,I5J44_gp41,SEA_PHINEAS_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2575357,60336408,42,I5J44_gp42,SEA_PHINEAS_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
