#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1743016,26517304,PM105_02,AU148_gp02,-,-,-,-,regulatory protein GemA,protein-coding,-,-,-,regulatory protein GemA,20210529,-
1743016,26517305,PM105_03,AU148_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1743016,26517306,PM105_04,AU148_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1743016,26517307,PM105_05,AU148_gp05,-,-,-,-,DUF2786 domain-containing protein,protein-coding,-,-,-,DUF2786 domain-containing protein,20210424,-
1743016,26517308,PM105_06,AU148_gp06,-,-,-,-,DUF3164 family protein,protein-coding,-,-,-,DUF3164 family protein,20201221,-
1743016,26517309,PM105_07,AU148_gp07,-,-,-,-,bacterioprotein,protein-coding,-,-,-,bacterioprotein,20201221,-
1743016,26517310,PM105_08,AU148_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1743016,26517311,PM105_09,AU148_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1743016,26517312,PM105_10,AU148_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1743016,26517313,PM105_11,AU148_gp11,-,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20201221,-
1743016,26517314,PM105_12,AU148_gp12,-,-,-,-,DDE-type integrase/transposase/recombinase,protein-coding,-,-,-,DDE-type integrase/transposase/recombinase,20210417,-
1743016,26517315,PM105_13,AU148_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1743016,26517316,PM105_14,AU148_gp14,-,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20201221,-
1743016,26517317,PM105_15,AU148_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1743016,26517318,PM105_16,AU148_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1743016,26517319,PM105_17,AU148_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1743016,26517320,PM105_18,AU148_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1743016,26517321,PM105_19,AU148_gp19,-,-,-,-,DNA-binding protein,protein-coding,-,-,-,DNA-binding protein,20201221,-
1743016,26517322,PM105_20,AU148_gp20,-,-,-,-,putative repressor protein,protein-coding,-,-,-,putative repressor protein,20200629,-
1743016,26517323,PM105_21,AU148_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1743016,26517324,PM105_22,AU148_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1743016,26517325,PM105_23,AU148_gp23,-,-,-,-,putative holin protein,protein-coding,-,-,-,putative holin protein,20200629,-
1743016,26517326,PM105_24,AU148_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1743016,26517327,PM105_25,AU148_gp25,-,-,-,-,transglycosylase SLT domain-containing protein,protein-coding,-,-,-,transglycosylase SLT domain-containing protein,20201221,-
1743016,26517328,PM105_26,AU148_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1743016,26517329,PM105_27,AU148_gp27,-,-,-,-,lysis protein,protein-coding,-,-,-,lysis protein,20201221,-
1743016,26517330,PM105_28,AU148_gp28,-,-,-,-,putative lipoprotein protein,protein-coding,-,-,-,putative lipoprotein protein,20200629,-
1743016,26517331,PM105_29,AU148_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1743016,26517332,PM105_30,AU148_gp30,-,-,-,-,"putative terminase, small subunit",protein-coding,-,-,-,"putative terminase, small subunit",20200629,-
1743016,26517333,PM105_31,AU148_gp31,-,-,-,-,"putative terminase, large subunit",protein-coding,-,-,-,"putative terminase, large subunit",20200629,-
1743016,26517334,PM105_32,AU148_gp32,-,-,-,-,DUF935 family protein,protein-coding,-,-,-,DUF935 family protein,20210320,-
1743016,26517335,PM105_33,AU148_gp33,-,-,-,-,putative head morphogenesis protein,protein-coding,-,-,-,putative head morphogenesis protein,20210123,-
1743016,26517336,PM105_34,AU148_gp34,-,-,-,-,virion morphogenesis protein,protein-coding,-,-,-,virion morphogenesis protein,20210123,-
1743016,26517337,PM105_35,AU148_gp35,-,-,-,-,putative protease protein,protein-coding,-,-,-,putative protease protein,20200629,-
1743016,26517338,PM105_36,AU148_gp36,-,-,-,-,DUF2190 family protein,protein-coding,-,-,-,DUF2190 family protein,20201221,-
1743016,26517339,PM105_37,AU148_gp37,-,-,-,-,putative capsid protein,protein-coding,-,-,-,putative capsid protein,20200629,-
1743016,26517340,PM105_38,AU148_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1743016,26517341,PM105_39,AU148_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1743016,26517342,PM105_40,AU148_gp40,-,-,-,-,DUF1320 domain-containing protein,protein-coding,-,-,-,DUF1320 domain-containing protein,20210417,-
1743016,26517343,PM105_41,AU148_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1743016,26517344,PM105_42,AU148_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1743016,26517345,PM105_43,AU148_gp43,-,-,-,-,putative tail sheath protein,protein-coding,-,-,-,putative tail sheath protein,20200629,-
1743016,26517346,PM105_44,AU148_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1743016,26517347,PM105_45,AU148_gp45,-,-,-,-,tail length tape measure family protein,protein-coding,-,-,-,tail length tape measure family protein,20210417,-
1743016,26517348,PM105_46,AU148_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1743016,26517349,PM105_47,AU148_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1743016,26517350,PM105_48,AU148_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1743016,26517351,PM105_49,AU148_gp49,-,-,-,-,BR0599 family protein,protein-coding,-,-,-,BR0599 family protein,20201221,-
1743016,26517352,PM105_50,AU148_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1743016,26517353,PM105_51,AU148_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1743016,26517354,PM105_52,AU148_gp52,-,-,-,-,bacterioprotein,protein-coding,-,-,-,bacterioprotein,20201221,-
1743016,26517355,PM105_53,AU148_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1743016,26517356,PM105_54,AU148_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1743016,26517357,PM105_55,AU148_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1743016,26517358,PM105_56,AU148_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1743016,26517360,PM105_01,AU148_gp01,-,-,-,-,putative mor transcriptional regulator,protein-coding,-,-,-,putative mor transcriptional regulator,20210129,-
1743016,26591663,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
