#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
696472,10020984,OtV2_027,OtV2_027,-,-,-,-,putative TPR domain-containing protein,protein-coding,-,-,-,putative TPR domain-containing protein,20201220,-
696472,10020985,OtV2_002,OtV2_002,-,-,-,-,putative exonuclease RNase T and DNA polymerase III,protein-coding,-,-,-,putative exonuclease RNase T and DNA polymerase III,20201220,-
696472,10020986,OtV2_003,OtV2_003,-,-,-,-,cytosine-specific methyltransferase,protein-coding,-,-,-,cytosine-specific methyltransferase,20201220,-
696472,10020987,OtV2_004,OtV2_004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10020988,OtV2_005,OtV2_005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10020989,OtV2_006,OtV2_006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10020990,OtV2_007,OtV2_007,-,-,-,-,"putative GDP-mannose 4,6-dehydratase",protein-coding,-,-,-,"putative GDP-mannose 4,6-dehydratase",20201220,-
696472,10020991,OtV2_008,OtV2_008,-,-,-,-,"putative glycosyl transferase, group 1",protein-coding,-,-,-,"putative glycosyl transferase, group 1",20201220,-
696472,10020992,OtV2_009,OtV2_009,-,-,-,-,putative cell division protein FtsH2,protein-coding,-,-,-,putative cell division protein FtsH2,20201220,-
696472,10020993,OtV2_010,OtV2_010,-,-,-,-,putative methyltransferase FkbM,protein-coding,-,-,-,putative methyltransferase FkbM,20201220,-
696472,10020994,OtV2_011,OtV2_011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10020995,OtV2_012,OtV2_012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10020996,OtV2_013,OtV2_013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10020997,OtV2_014,OtV2_014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10020998,OtV2_015,OtV2_015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10020999,OtV2_016,OtV2_016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021000,OtV2_017,OtV2_017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021001,OtV2_018,OtV2_018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021002,OtV2_019,OtV2_019,-,-,-,-,putative transcription elongation factor TFIIS,protein-coding,-,-,-,putative transcription elongation factor TFIIS,20201220,-
696472,10021003,OtV2_020,OtV2_020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021004,OtV2_021,OtV2_021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021005,OtV2_022,OtV2_022,-,-,-,-,putative asparagine synthetase,protein-coding,-,-,-,putative asparagine synthetase,20201220,-
696472,10021006,OtV2_023,OtV2_023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021007,OtV2_024,OtV2_024,-,-,-,-,putative PhoH family protein,protein-coding,-,-,-,putative PhoH family protein,20201220,-
696472,10021008,OtV2_025,OtV2_025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021009,OtV2-026,OtV2-026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021010,OtV2_028,OtV2_028,-,-,-,-,"putative glycosyl transferase, group 2 family protein",protein-coding,-,-,-,"putative glycosyl transferase, group 2 family protein",20201220,-
696472,10021011,OtV2_029,OtV2_029,-,-,-,-,putative 3-methyl-2-oxobutanoate hydroxymethyltransferase,protein-coding,-,-,-,putative 3-methyl-2-oxobutanoate hydroxymethyltransferase,20201220,-
696472,10021012,OtV2_030,OtV2_030,-,-,-,-,putative acetolactate synthase large subunit,protein-coding,-,-,-,putative acetolactate synthase large subunit,20201220,-
696472,10021013,OtV2_031,OtV2_031,-,-,-,-,putative NAD dependent epimerase/dehydratase family protein,protein-coding,-,-,-,putative NAD dependent epimerase/dehydratase family protein,20201220,-
696472,10021014,OtV2_032,OtV2_032,-,-,-,-,putative DegT/DnrJ/EryC1/StrS aminotransferase family protein,protein-coding,-,-,-,putative DegT/DnrJ/EryC1/StrS aminotransferase family protein,20201220,-
696472,10021015,OtV2_033,OtV2_033,-,-,-,-,"putative TDP-glucose 4,6-dehydratase",protein-coding,-,-,-,"putative TDP-glucose 4,6-dehydratase",20201220,-
696472,10021016,OtV2_034,OtV2_034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021017,OtV2_035,OtV2_035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021018,OtV2_036,OtV2_036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021019,OtV2_037,OtV2_037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021020,OtV2_038,OtV2_038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021021,OtV2_039,OtV2_039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021022,OtV2_040,OtV2_040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021023,OtV2_041,OtV2_041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021024,OtV2_042,OtV2_042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021025,OtV2_043,OtV2_043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021026,OtV2_044,OtV2_044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021027,OtV2_045,OtV2_045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021028,OtV2_046,OtV2_046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021029,OtV2_047,OtV2_047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021030,OtV2_048,OtV2_048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021031,OtV2_049,OtV2_049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021032,OtV2_050,OtV2_050,-,-,-,-,putative cytosine-specific methyltransferase,protein-coding,-,-,-,putative cytosine-specific methyltransferase,20201220,-
696472,10021033,OtV2_051,OtV2_051,-,-,-,-,FAD-dependent thymidylate synthase Thy X,protein-coding,-,-,-,FAD-dependent thymidylate synthase Thy X,20201220,-
696472,10021034,OtV2_052,OtV2_052,-,-,-,-,putative ABC-1 domain protein,protein-coding,-,-,-,putative ABC-1 domain protein,20201220,-
696472,10021035,OtV2_053,OtV2_053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021036,OtV2_054,OtV2_054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021037,OtV2_055,OtV2_055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021038,OtV2_056,OtV2_056,-,-,-,-,VV A18 helicase,protein-coding,-,-,-,VV A18 helicase,20201220,-
696472,10021039,OtV2_057,OtV2_057,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201220,-
696472,10021040,OtV2_058,OtV2_058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021041,OtV2_059,OtV2_059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021042,OtV2_060,OtV2_060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021043,OtV2_061,OtV2_061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021044,OtV2_062,OtV2_062,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201220,-
696472,10021045,OtV2_063,OtV2_063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021046,OtV2_064,OtV2_064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021047,OtV2_065,OtV2_065,-,-,-,-,putative tail fibre assembly protein,protein-coding,-,-,-,putative tail fibre assembly protein,20201220,-
696472,10021048,OtV2_066,OtV2_066,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201220,-
696472,10021049,OtV2_067,OtV2_067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021050,OtV2_068,OtV2_068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021051,OtV2_069,OtV2_069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021052,OtV2_070,OtV2_070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021053,OtV2_071,OtV2_071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021054,OtV2_072,OtV2_072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021055,OtV2_073,OtV2_073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021056,OtV2_074,OtV2_074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021057,OtV2_075,OtV2_075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021058,OtV2_076,OtV2_076,-,-,-,-,N-myristoyltransferase,protein-coding,-,-,-,N-myristoyltransferase,20201220,-
696472,10021059,OtV2_077,OtV2_077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021060,OtV2_078,OtV2_078,-,-,-,-,putative DNA methylase,protein-coding,-,-,-,putative DNA methylase,20201220,-
696472,10021061,OtV2_079,OtV2_079,-,-,-,-,mRNA capping enzyme,protein-coding,-,-,-,mRNA capping enzyme,20201220,-
696472,10021062,OtV2_080,OtV2_080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021063,OtV2_081,OtV2_081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021064,OtV2_082,OtV2_082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
696472,10021065,OtV2_083,OtV2_083,-,-,-,-,site-specific DNA-methyltransferase,protein-coding,-,-,-,site-specific DNA-methyltransferase,20201220,-
696472,10021066,OtV2_084,OtV2_084,-,-,-,-,VV A32 virion packaging ATPase,protein-coding,-,-,-,VV A32 virion packaging ATPase,20201220,-
696472,10021067,OtV2_085,OtV2_085,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201220,-
696472,10021068,OtV2_086,OtV2_086,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201220,-
