#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2590877,55618081,2,HWC34_gp02,SEA_ALEX44_2,-,-,-,DNA primase/polymerase,protein-coding,-,-,-,DNA primase/polymerase,20210417,-
2590877,55618082,3,HWC34_gp03,SEA_ALEX44_3,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201217,-
2590877,55618083,4,HWC34_gp04,SEA_ALEX44_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590877,55618084,5,HWC34_gp05,SEA_ALEX44_5,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201217,-
2590877,55618085,6,HWC34_gp06,SEA_ALEX44_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590877,55618086,7,HWC34_gp07,SEA_ALEX44_7,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210417,-
2590877,55618087,8,HWC34_gp08,SEA_ALEX44_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590877,55618088,9,HWC34_gp09,SEA_ALEX44_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2590877,55618089,10,HWC34_gp10,SEA_ALEX44_10,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210417,-
2590877,55618090,11,HWC34_gp11,SEA_ALEX44_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590877,55618091,12,HWC34_gp12,SEA_ALEX44_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590877,55618092,13,HWC34_gp13,SEA_ALEX44_13,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210417,-
2590877,55618093,14,HWC34_gp14,SEA_ALEX44_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590877,55618094,15,HWC34_gp15,SEA_ALEX44_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590877,55618095,16,HWC34_gp16,SEA_ALEX44_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590877,55618096,17,HWC34_gp17,SEA_ALEX44_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590877,55618097,18,HWC34_gp18,SEA_ALEX44_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590877,55618098,19,HWC34_gp19,SEA_ALEX44_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590877,55618099,20,HWC34_gp20,SEA_ALEX44_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590877,55618100,21,HWC34_gp21,SEA_ALEX44_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590877,55618101,22,HWC34_gp22,SEA_ALEX44_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590877,55618102,23,HWC34_gp23,SEA_ALEX44_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590877,55618103,24,HWC34_gp24,SEA_ALEX44_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590877,55618104,25,HWC34_gp25,SEA_ALEX44_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590877,55618105,26,HWC34_gp26,SEA_ALEX44_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590877,55618106,27,HWC34_gp27,SEA_ALEX44_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590877,55618107,28,HWC34_gp28,SEA_ALEX44_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
