#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
39103,17503595,PL1_2,PL1_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
39103,17503596,PL1_3,PL1_3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
39103,17503597,PL1_4,PL1_4,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200629,-
39103,17503598,PL1_5,PL1_5,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200629,-
39103,17503599,PL1_7,PL1_7,-,-,-,-,major capsid L,protein-coding,-,-,-,major capsid L,20200629,-
39103,17503600,PL1_8,PL1_8,-,-,-,-,gp6-like head-tail connector protein,protein-coding,-,-,-,gp6-like head-tail connector protein,20210417,-
39103,17503601,PL1_9,PL1_9,-,-,-,-,head tail joining protein,protein-coding,-,-,-,head tail joining protein,20200629,-
39103,17503602,PL1_10,PL1_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
39103,17503603,PL1_11,PL1_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
39103,17503604,PL1_12,PL1_12,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200629,-
39103,17503605,PL1_14,PL1_14,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200629,-
39103,17503606,PL1_15,PL1_15,-,-,-,-,tape measure,protein-coding,-,-,-,tape measure,20200629,-
39103,17503607,PL1_16,PL1_16,-,-,-,-,tail component,protein-coding,-,-,-,tail component,20200629,-
39103,17503608,PL1_17,PL1_17,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201220,-
39103,17503609,PL1_18,PL1_18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
39103,17503610,PL1_19,PL1_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
39103,17503611,PL1_20,PL1_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
39103,17503612,PL1_21,PL1_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
39103,17503613,PL1_22,PL1_22,-,-,-,-,holin,protein-coding,-,-,-,holin,20200629,-
39103,17503614,PL1_23,PL1_23,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20200629,-
39103,17503615,PL1_24,PL1_24,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20200629,-
39103,17503616,PL1_25,PL1_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
39103,17503617,PL1_26,PL1_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
39103,17503618,PL1_27,PL1_27,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201220,-
39103,17503619,PL1_28,PL1_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
39103,17503620,PL1_29,PL1_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
39103,17503621,PL1_30,PL1_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
39103,17503622,PL1_31,PL1_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
39103,17503623,PL1_32,PL1_32,-,-,-,-,DUF1351 domain-containing protein,protein-coding,-,-,-,DUF1351 domain-containing protein,20201220,-
39103,17503624,PL1_33,PL1_33,-,-,-,-,ERF family protein,protein-coding,-,-,-,ERF family protein,20201220,-
39103,17503625,PL1_34,PL1_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
39103,17503626,PL1_35,PL1_35,-,-,-,-,single-stranded DNA binding protein,protein-coding,-,-,-,single-stranded DNA binding protein,20200629,-
39103,17503627,PL1_36,PL1_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
39103,17503628,PL1_37,PL1_37,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20200629,-
39103,17503629,PL1_38,PL1_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
39103,17503630,PL1_39,PL1_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
39103,17503631,PL1_40,PL1_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
39103,17503632,PL1_41,PL1_41,-,-,-,-,endodeoxyribonuclease,protein-coding,-,-,-,endodeoxyribonuclease,20201220,-
39103,17503633,PL1_42,PL1_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
39103,17503634,PL1_43,PL1_43,-,-,-,-,cytosine-specific methyltransferase,protein-coding,-,-,-,cytosine-specific methyltransferase,20200629,-
39103,17503635,PL1_44,PL1_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
39103,17503636,PL1_45,PL1_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
39103,17503637,PL1_46,PL1_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
39103,17503638,PL1_47,PL1_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
39103,17503639,PL1_48,PL1_48,-,-,-,-,DUF3850 domain-containing protein,protein-coding,-,-,-,DUF3850 domain-containing protein,20201220,-
39103,17503640,PL1_49,PL1_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
39103,17503641,PL1_50,PL1_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
39103,17503642,PL1_51,PL1_51,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20200629,-
39103,17503643,PL1_52,PL1_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
39103,17503644,PL1_54,PL1_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
39103,17503645,PL1_55,PL1_55,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200629,-
39103,17503646,PL1_56,PL1_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
39103,17503647,PL1_57,PL1_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
39103,17503648,PL1_58,PL1_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
39103,17503649,PL1_59,PL1_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
39103,17503650,PL1_6,PL1_6,-,-,-,-,major capsid S,protein-coding,-,-,-,major capsid S,20200629,-
39103,17503651,PL1_13,PL1_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200629,-
39103,17503652,PL1_53,PL1_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
39103,17503653,PL1_1,PL1_1,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200629,-
39103,17603249,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacteriophage PL-1).,other,-,-,-,-,20200513,-
