#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301608,64946532,2,KIY72_gp02,SEA_WIZARD007_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210516,-
2301608,64946533,3,KIY72_gp03,SEA_WIZARD007_3,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210516,-
2301608,64946534,4,KIY72_gp04,SEA_WIZARD007_4,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210516,-
2301608,64946535,5,KIY72_gp05,SEA_WIZARD007_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
2301608,64946536,6,KIY72_gp06,SEA_WIZARD007_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
2301608,64946537,7,KIY72_gp07,SEA_WIZARD007_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
2301608,64946538,8,KIY72_gp08,SEA_WIZARD007_8,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210516,-
2301608,64946539,9,KIY72_gp09,SEA_WIZARD007_9,-,-,-,holin,protein-coding,-,-,-,holin,20210516,-
2301608,64946540,10,KIY72_gp10,SEA_WIZARD007_10,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210516,-
2301608,64946541,11,KIY72_gp11,SEA_WIZARD007_11,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210522,-
2301608,64946542,12,KIY72_gp12,SEA_WIZARD007_12,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210522,-
2301608,64946543,13,KIY72_gp13,SEA_WIZARD007_13,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210516,-
2301608,64946544,14,KIY72_gp14,SEA_WIZARD007_14,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210522,-
2301608,64946545,15,KIY72_gp15,SEA_WIZARD007_15,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210522,-
2301608,64946546,16,KIY72_gp16,SEA_WIZARD007_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
2301608,64946547,17,KIY72_gp17,SEA_WIZARD007_17,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210516,-
2301608,64946548,18,KIY72_gp18,SEA_WIZARD007_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
2301608,64946549,19,KIY72_gp19,SEA_WIZARD007_19,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210516,-
2301608,64946550,20,KIY72_gp20,SEA_WIZARD007_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
2301608,64946551,21,KIY72_gp21,SEA_WIZARD007_21,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210516,-
2301608,64946552,22,KIY72_gp22,SEA_WIZARD007_22,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210516,-
2301608,64946553,24,KIY72_gp23,SEA_WIZARD007_24,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210522,-
2301608,64946554,25,KIY72_gp25,SEA_WIZARD007_25,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210529,-
2301608,64946555,23,KIY72_gp24,SEA_WIZARD007_23,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210516,-
2301608,64946556,26,KIY72_gp26,SEA_WIZARD007_26,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210516,-
2301608,64946557,27,KIY72_gp27,SEA_WIZARD007_27,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210516,-
2301608,64946558,28,KIY72_gp28,SEA_WIZARD007_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210516,-
2301608,64946559,29,KIY72_gp29,SEA_WIZARD007_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210516,-
2301608,64946560,30,KIY72_gp30,SEA_WIZARD007_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210516,-
2301608,64946561,31,KIY72_gp31,SEA_WIZARD007_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210516,-
2301608,64946562,32,KIY72_gp32,SEA_WIZARD007_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
2301608,64946563,33,KIY72_gp33,SEA_WIZARD007_33,-,-,-,serine integrase,protein-coding,-,-,-,serine integrase,20210516,-
2301608,64946564,34,KIY72_gp34,SEA_WIZARD007_34,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210516,-
2301608,64946565,35,KIY72_gp35,SEA_WIZARD007_35,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20210522,-
2301608,64946566,36,KIY72_gp36,SEA_WIZARD007_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
