#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
262968,3197002,ORF052L,ORF052L,-,-,-,-,D5 family NTPase,protein-coding,-,-,-,D5 family NTPase,20201220,-
262968,3197003,ORF043R,ORF043R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197004,ORF141R,ORF141R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197005,ORF058R,ORF058R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197006,ORF064R,ORF064R,-,-,-,-,ribonucleoside-diphosphate reductase alpha subunit,protein-coding,-,-,-,ribonucleoside-diphosphate reductase alpha subunit,20201220,-
262968,3197007,ORF034L,ORF034L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197008,ORF098R,ORF098R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197009,ORF044L,ORF044L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197010,ORF161R,ORF161R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197011,ORF038L,ORF038L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197012,ORF039L,ORF039L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197013,ORF089L,ORF089L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197014,ORF040R,ORF040R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197015,ORF041L,ORF041L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197016,ORF042R,ORF042R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197017,ORF060R,ORF060R,-,-,-,-,NTPase,protein-coding,-,-,-,NTPase,20201220,-
262968,3197018,ORF047L,ORF047L,-,-,-,-,ribonucleoside-diphosphate reductase beta subunit,protein-coding,-,-,-,ribonucleoside-diphosphate reductase beta subunit,20201220,-
262968,3197019,ORF065R,ORF065R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197020,ORF036L,ORF036L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197021,ORF057L,ORF057L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197022,ORF104L,ORF104L,-,-,-,-,DNA-dependent RNA polymerase II largest subunit,protein-coding,-,-,-,DNA-dependent RNA polymerase II largest subunit,20201220,-
262968,3197023,ORF021L,ORF021L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197024,ORF005L,ORF005L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197025,ORF107R,ORF107R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197026,ORF096R,ORF096R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197027,ORF114L,ORF114L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197028,ORF050L,ORF050L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197029,ORF028L,ORF028L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197030,ORF061R,ORF061R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197031,ORF055R,ORF055R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197032,ORF033L,ORF033L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197033,ORF119R,ORF119R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197034,ORF071R,ORF071R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197035,ORF070R,ORF070R,-,-,-,-,thiol oxidoreductase,protein-coding,-,-,-,thiol oxidoreductase,20201220,-
262968,3197036,ORF108L,ORF108L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197037,ORF079R,ORF079R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197038,ORF153L,ORF153L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197039,ORF048L,ORF048L,-,-,-,-,CARD-like protein,protein-coding,-,-,-,CARD-like protein,20201220,-
262968,3197040,ORF125R,ORF125R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197041,ORF035L,ORF035L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197042,ORF146L,ORF146L,-,-,-,-,NTPase/helicase,protein-coding,-,-,-,NTPase/helicase,20201220,-
262968,3197043,ORF006R,ORF006R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197044,ORF074R,ORF074R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197045,ORF150L,ORF150L,-,-,-,-,phosphotransferase,protein-coding,-,-,-,phosphotransferase,20201220,-
262968,3197046,ORF148R,ORF148R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197047,ORF155R,ORF155R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197048,ORF007L,ORF007L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197049,ORF124R,ORF124R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197050,ORF091L,ORF091L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197051,ORF012L,ORF012L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197052,ORF137R,ORF137R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197053,ORF080R,ORF080R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197054,ORF093L,ORF093L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197055,ORF156L,ORF156L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197056,ORF088L,ORF088L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197057,ORF144R,ORF144R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197058,ORF087R,ORF087R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197059,ORF026R,ORF026R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197060,ORF054R,ORF054R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197061,ORF097L,ORF097L,-,-,-,-,DNA repair protein RAD2,protein-coding,-,-,-,DNA repair protein RAD2,20201220,-
262968,3197062,ORF160L,ORF160L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197063,ORF106R,ORF106R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197064,ORF053R,ORF053R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197065,ORF018R,ORF018R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197066,ORF139R,ORF139R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197067,ORF051L,ORF051L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197068,ORF105R,ORF105R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197069,ORF013R,ORF013R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197070,ORF131R,ORF131R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197071,ORF100L,ORF100L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197072,ORF069L,ORF069L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197073,ORF072R,ORF072R,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201220,-
262968,3197074,ORF015L,ORF015L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197075,ORF109L,ORF109L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197076,ORF022L,ORF022L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197077,ORF073L,ORF073L,-,-,-,-,DNA-directed RNA polymerase II second largest subunit,protein-coding,-,-,-,DNA-directed RNA polymerase II second largest subunit,20201220,-
262968,3197078,ORF023R,ORF023R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197079,ORF046L,ORF046L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197080,ORF140R,ORF140R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197081,ORF037L,ORF037L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197082,ORF075R,ORF075R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197083,ORF063L,ORF063L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197084,ORF011L,ORF011L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197085,ORF081L,ORF081L,-,-,-,-,tyrosine kinase,protein-coding,-,-,-,tyrosine kinase,20201220,-
262968,3197086,ORF090L,ORF090L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197087,ORF103R,ORF103R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197088,ORF134L,ORF134L,-,-,-,-,ATPase,protein-coding,-,-,-,ATPase,20201220,-
262968,3197089,ORF138L,ORF138L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262968,3197090,ORF062R,ORF062R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
