#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1838077,28378766,2,BEN61_gp002,PBI_ROSALIND_2,-,-,-,ADP-ribosyltransferase,protein-coding,-,-,-,ADP-ribosyltransferase,20210424,-
1838077,28378767,3,BEN61_gp003,PBI_ROSALIND_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378768,4,BEN61_gp004,PBI_ROSALIND_4,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200719,-
1838077,28378769,5,BEN61_gp005,PBI_ROSALIND_5,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200719,-
1838077,28378770,6,BEN61_gp006,PBI_ROSALIND_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378771,7,BEN61_gp007,PBI_ROSALIND_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378772,8,BEN61_gp008,PBI_ROSALIND_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378773,9,BEN61_gt001,PBI_ROSALIND_9,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1838077,28378774,13,BEN61_gp098,PBI_ROSALIND_13,-,-,-,holin,protein-coding,-,-,-,holin,20200719,-
1838077,28378775,14,BEN61_gp097,PBI_ROSALIND_14,-,-,-,terminase,protein-coding,-,-,-,terminase,20200912,-
1838077,28378776,15,BEN61_gp096,PBI_ROSALIND_15,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200719,-
1838077,28378777,16,BEN61_gp095,PBI_ROSALIND_16,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200719,-
1838077,28378778,17,BEN61_gp094,PBI_ROSALIND_17,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200719,-
1838077,28378779,18,BEN61_gp093,PBI_ROSALIND_18,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
1838077,28378780,19,BEN61_gp092,PBI_ROSALIND_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378781,20,BEN61_gp091,PBI_ROSALIND_20,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200719,-
1838077,28378782,21,BEN61_gp090,PBI_ROSALIND_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378783,22,BEN61_gp089,PBI_ROSALIND_22,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200719,-
1838077,28378784,23,BEN61_gp088,PBI_ROSALIND_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1838077,28378785,24,BEN61_gp087,PBI_ROSALIND_24,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200719,-
1838077,28378786,25,BEN61_gp086,PBI_ROSALIND_25,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200719,-
1838077,28378787,27,BEN61_gp084,PBI_ROSALIND_27,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210424,-
1838077,28378788,28,BEN61_gp083,PBI_ROSALIND_28,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200719,-
1838077,28378789,26,BEN61_gp085,PBI_ROSALIND_26,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210424,-
1838077,28378790,29,BEN61_gp082,PBI_ROSALIND_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200719,-
1838077,28378791,30,BEN61_gp081,PBI_ROSALIND_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200719,-
1838077,28378792,31,BEN61_gp080,PBI_ROSALIND_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200719,-
1838077,28378793,32,BEN61_gp079,PBI_ROSALIND_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200912,-
1838077,28378794,33,BEN61_gp078,PBI_ROSALIND_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200719,-
1838077,28378795,34,BEN61_gp077,PBI_ROSALIND_34,-,-,-,Lsr2-like DNA bridging protein,protein-coding,-,-,-,Lsr2-like DNA bridging protein,20210424,-
1838077,28378796,35,BEN61_gp076,PBI_ROSALIND_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378797,36,BEN61_gp075,PBI_ROSALIND_36,-,-,-,ParA-like dsDNA partitioning protein,protein-coding,-,-,-,ParA-like dsDNA partitioning protein,20200719,-
1838077,28378798,37,BEN61_gp074,PBI_ROSALIND_37,-,-,-,ParB,protein-coding,-,-,-,ParB,20200719,-
1838077,28378799,38,BEN61_gp073,PBI_ROSALIND_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378800,39,BEN61_gp072,PBI_ROSALIND_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378801,40,BEN61_gp071,PBI_ROSALIND_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378802,41,BEN61_gp070,PBI_ROSALIND_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378803,42,BEN61_gp069,PBI_ROSALIND_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378804,43,BEN61_gp068,PBI_ROSALIND_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378805,44,BEN61_gp067,PBI_ROSALIND_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378806,45,BEN61_gp066,PBI_ROSALIND_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1838077,28378807,46,BEN61_gp065,PBI_ROSALIND_46,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210424,-
1838077,28378808,47,BEN61_gp064,PBI_ROSALIND_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378809,48,BEN61_gp063,PBI_ROSALIND_48,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20210424,-
1838077,28378810,49,BEN61_gp062,PBI_ROSALIND_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378811,50,BEN61_gp061,PBI_ROSALIND_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378812,51,BEN61_gp060,PBI_ROSALIND_51,-,-,-,ThyX-like thymidylate synthase,protein-coding,-,-,-,ThyX-like thymidylate synthase,20200912,-
1838077,28378813,52,BEN61_gp059,PBI_ROSALIND_52,-,-,-,MazG-like nucleotide pyrophosphohydrolase,protein-coding,-,-,-,MazG-like nucleotide pyrophosphohydrolase,20200719,-
1838077,28378814,53,BEN61_gp058,PBI_ROSALIND_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378815,54,BEN61_gp057,PBI_ROSALIND_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378816,56,BEN61_gp055,PBI_ROSALIND_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378817,57,BEN61_gp054,PBI_ROSALIND_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378818,58,BEN61_gp053,PBI_ROSALIND_58,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20200719,-
1838077,28378819,59,BEN61_gp052,PBI_ROSALIND_59,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20200912,-
1838077,28378820,60,BEN61_gp051,PBI_ROSALIND_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378821,61,BEN61_gp050,PBI_ROSALIND_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378822,62,BEN61_gp049,PBI_ROSALIND_62,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20210424,-
1838077,28378823,63,BEN61_gp048,PBI_ROSALIND_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838077,28378824,64,BEN61_gp047,PBI_ROSALIND_64,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200719,-
1838077,28378825,65,BEN61_gp046,PBI_ROSALIND_65,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200912,-
1838077,28378826,66,BEN61_gp045,PBI_ROSALIND_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
