#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2656590,65123183,2,KNU83_gp002,SEA_LILMOOLAH_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210608,-
2656590,65123184,3,KNU83_gp003,SEA_LILMOOLAH_3,-,-,-,Portal protein,protein-coding,-,-,-,Portal protein,20210608,-
2656590,65123185,4,KNU83_gp004,SEA_LILMOOLAH_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210608,-
2656590,65123186,5,KNU83_gp005,SEA_LILMOOLAH_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210608,-
2656590,65123187,6,KNU83_gp006,SEA_LILMOOLAH_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210608,-
2656590,65123188,7,KNU83_gp007,SEA_LILMOOLAH_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210608,-
2656590,65123189,8,KNU83_gp008,SEA_LILMOOLAH_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210608,-
2656590,65123190,9,KNU83_gp009,SEA_LILMOOLAH_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123191,10,KNU83_gp010,SEA_LILMOOLAH_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210608,-
2656590,65123192,11,KNU83_gp011,SEA_LILMOOLAH_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210608,-
2656590,65123193,12,KNU83_gp012,SEA_LILMOOLAH_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210608,-
2656590,65123194,13,KNU83_gp013,SEA_LILMOOLAH_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210608,-
2656590,65123195,15,KNU83_gp015,SEA_LILMOOLAH_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2656590,65123196,16,KNU83_gp016,SEA_LILMOOLAH_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2656590,65123197,17,KNU83_gp017,SEA_LILMOOLAH_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2656590,65123198,18,KNU83_gp018,SEA_LILMOOLAH_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2656590,65123199,19,KNU83_gp019,SEA_LILMOOLAH_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2656590,65123200,20,KNU83_gp020,SEA_LILMOOLAH_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2656590,65123201,21,KNU83_gp021,SEA_LILMOOLAH_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123202,22,KNU83_gp022,SEA_LILMOOLAH_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123203,23,KNU83_gp023,SEA_LILMOOLAH_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123204,24,KNU83_gp024,SEA_LILMOOLAH_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123205,25,KNU83_gp025,SEA_LILMOOLAH_25,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210608,-
2656590,65123206,26,KNU83_gp026,SEA_LILMOOLAH_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123207,27,KNU83_gp027,SEA_LILMOOLAH_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123208,28,KNU83_gp028,SEA_LILMOOLAH_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123209,29,KNU83_gp029,SEA_LILMOOLAH_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123210,30,KNU83_gp030,SEA_LILMOOLAH_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210608,-
2656590,65123211,31,KNU83_gp031,SEA_LILMOOLAH_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210608,-
2656590,65123212,32,KNU83_gp032,SEA_LILMOOLAH_32,-,-,-,holin,protein-coding,-,-,-,holin,20210609,-
2656590,65123213,33,KNU83_gp033,SEA_LILMOOLAH_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123214,34,KNU83_gp034,SEA_LILMOOLAH_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123215,35,KNU83_gp035,SEA_LILMOOLAH_35,-,-,-,DnaQ-like DNA polymerase III subunit,protein-coding,-,-,-,DnaQ-like DNA polymerase III subunit,20210608,-
2656590,65123216,36,KNU83_gp036,SEA_LILMOOLAH_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656590,65123217,37,KNU83_gp037,SEA_LILMOOLAH_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
