#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
741942,24366503,ABG43_gp02,ABG43_gp02,-,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20201220,-
741942,24366504,ABG43_gp03,ABG43_gp03,-,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20201220,-
741942,24366505,ABG43_gp04,ABG43_gp04,-,-,-,-,putative minor head protein,protein-coding,-,-,-,putative minor head protein,20201220,-
741942,24366506,ABG43_gp05,ABG43_gp05,-,-,-,-,putative phage structural protein,protein-coding,-,-,-,putative phage structural protein,20201220,-
741942,24366507,ABG43_gp06,ABG43_gp06,-,-,-,-,putative major head protein,protein-coding,-,-,-,putative major head protein,20201220,-
741942,24366508,ABG43_gp07,ABG43_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
741942,24366509,ABG43_gp08,ABG43_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
741942,24366510,ABG43_gp09,ABG43_gp09,-,-,-,-,putative phage structural protein,protein-coding,-,-,-,putative phage structural protein,20201220,-
741942,24366511,ABG43_gp10,ABG43_gp10,-,-,-,-,putative head-tail adaptator,protein-coding,-,-,-,putative head-tail adaptator,20201220,-
741942,24366512,ABG43_gp11,ABG43_gp11,-,-,-,-,putative phage structural protein,protein-coding,-,-,-,putative phage structural protein,20201220,-
741942,24366513,ABG43_gp12,ABG43_gp12,-,-,-,-,putative phage structural protein,protein-coding,-,-,-,putative phage structural protein,20201220,-
741942,24366514,ABG43_gp13,ABG43_gp13,-,-,-,-,putative phage structural protein,protein-coding,-,-,-,putative phage structural protein,20201220,-
741942,24366515,ABG43_gp14,ABG43_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
741942,24366516,ABG43_gp15,ABG43_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
