#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1654781,29058381,MOYASHI_3,MOYASHI_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1654781,29058382,MOYASHI_4,MOYASHI_4,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201221,-
1654781,29058383,MOYASHI_5,MOYASHI_5,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1654781,29058384,MOYASHI_6,MOYASHI_6,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1654781,29058385,MOYASHI_7,MOYASHI_7,-,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1654781,29058386,MOYASHI_8,MOYASHI_8,-,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1654781,29058387,MOYASHI_9,MOYASHI_9,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1654781,29058388,MOYASHI_10,MOYASHI_10,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1654781,29058389,MOYASHI_11,MOYASHI_11,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1654781,29058390,MOYASHI_13,MOYASHI_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1654781,29058391,MOYASHI_14,MOYASHI_14,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1654781,29058392,MOYASHI_12,MOYASHI_12,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1654781,29058393,MOYASHI_15,MOYASHI_15,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1654781,29058394,MOYASHI_16,MOYASHI_16,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1654781,29058395,MOYASHI_17,MOYASHI_17,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1654781,29058396,MOYASHI_18,MOYASHI_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1654781,29058397,MOYASHI_19,MOYASHI_19,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1654781,29058398,MOYASHI_20,MOYASHI_20,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20201221,-
