#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1308,2828047,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Streptococcus salivarius subsp. thermophilus; Streptococcus salivarius thermophilus.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20201219,-
1308,58729543,HS671_RS00015,HS671_RS00015,D682_p2,-,-,-,Hsp20/alpha crystallin family protein,protein-coding,-,-,-,Hsp20/alpha crystallin family protein,20200821,-
1308,58729544,HS671_RS00010,HS671_RS00010,D682_p1,-,-,-,protein rep,protein-coding,-,-,-,protein rep,20200821,-
1308,58729545,HS671_RS00005,HS671_RS00005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200819,-
1308,58729546,HS664_RS00015,HS664_RS00015,D682_p1002,-,-,-,Hsp20/alpha crystallin family protein,protein-coding,-,-,-,Hsp20/alpha crystallin family protein,20200821,-
1308,58729547,HS664_RS00010,HS664_RS00010,D682_p1001,-,-,-,protein rep,protein-coding,-,-,-,protein rep,20200821,-
1308,58729548,HS664_RS00005,HS664_RS00005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200819,-
1308,58729571,HS134_RS00020,HS134_RS00020,pER13_04,-,-,-,plasmid recombination protein,protein-coding,-,-,-,plasmid recombination protein,20200821,-
1308,58729572,HS134_RS00015,HS134_RS00015,pER13_03,-,-,-,replication protein,protein-coding,-,-,-,replication protein,20200821,-
1308,58729573,HS134_RS00010,HS134_RS00010,pER13_02,-,-,-,CopG family transcriptional regulator,protein-coding,-,-,-,CopG family transcriptional regulator,20200821,-
1308,58729574,HS134_RS00005,HS134_RS00005,pER13_01,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200821,-
1308,58729577,HKJ88_RS00020,HKJ88_RS00020,Q172_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200821,-
1308,58729578,HKJ88_RS00015,HKJ88_RS00015,Q172_3,-,-,-,plasmid recombination protein,protein-coding,-,-,-,plasmid recombination protein,20200821,-
1308,58729579,HKJ88_RS00010,HKJ88_RS00010,Q172_2,-,-,-,replication protein,protein-coding,-,-,-,replication protein,20200821,-
1308,58729580,HKJ88_RS00005,HKJ88_RS00005,Q172_1,-,-,-,CopG family transcriptional regulator,protein-coding,-,-,-,CopG family transcriptional regulator,20200821,-
1308,58729581,HKJ88_RS00025,HKJ88_RS00025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200819,-
