#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1582157,26647085,PHIMMP03_20003,PHIMMP03_20003,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210529,-
1582157,26647086,PHIMMP03_20004,PHIMMP03_20004,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201221,-
1582157,26647087,PHIMMP03_20005,PHIMMP03_20005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647088,PHIMMP03_20006,PHIMMP03_20006,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210129,-
1582157,26647089,PHIMMP03_20007,PHIMMP03_20007,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20201221,-
1582157,26647090,PHIMMP03_20008,PHIMMP03_20008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647091,PHIMMP03_20009,PHIMMP03_20009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647092,PHIMMP03_20010,PHIMMP03_20010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647093,PHIMMP03_20011,PHIMMP03_20011,-,-,-,-,HK97 gp10 familygprotein,protein-coding,-,-,-,HK97 gp10 familygprotein,20210129,-
1582157,26647094,PHIMMP03_20012,PHIMMP03_20012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647095,PHIMMP03_20013,PHIMMP03_20013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647096,PHIMMP03_20014,PHIMMP03_20014,-,-,-,-,tail sheath subtilisin-like domain-containing protein,protein-coding,-,-,-,tail sheath subtilisin-like domain-containing protein,20201221,-
1582157,26647097,PHIMMP03_20015,PHIMMP03_20015,-,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20210129,-
1582157,26647098,PHIMMP03_20016,PHIMMP03_20016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647099,PHIMMP03_20017,PHIMMP03_20017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1582157,26647100,PHIMMP03_20018,PHIMMP03_20018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647101,PHIMMP03_20019,PHIMMP03_20019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647102,PHIMMP03_20020,PHIMMP03_20020,-,-,-,-,DUF4352 domain-containing protein,protein-coding,-,-,-,DUF4352 domain-containing protein,20210129,-
1582157,26647103,PHIMMP03_20021,PHIMMP03_20021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647104,PHIMMP03_20022,PHIMMP03_20022,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1582157,26647105,PHIMMP03_20023,PHIMMP03_20023,-,-,-,-,LysM peptidoglycan-binding domain-containing protein,protein-coding,-,-,-,LysM peptidoglycan-binding domain-containing protein,20201221,-
1582157,26647106,PHIMMP03_20024,PHIMMP03_20024,-,-,-,-,C40 family peptidase,protein-coding,-,-,-,C40 family peptidase,20210212,-
1582157,26647107,PHIMMP03_20025,PHIMMP03_20025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647108,PHIMMP03_20026,PHIMMP03_20026,-,-,-,-,DUF2634 domain-containing protein,protein-coding,-,-,-,DUF2634 domain-containing protein,20210403,-
1582157,26647109,PHIMMP03_20027,PHIMMP03_20027,-,-,-,-,baseplate J/gp47 family protein,protein-coding,-,-,-,baseplate J/gp47 family protein,20210417,-
1582157,26647110,PHIMMP03_20028,PHIMMP03_20028,-,-,-,-,YmfQ family protein,protein-coding,-,-,-,YmfQ family protein,20210417,-
1582157,26647111,PHIMMP03_20029,PHIMMP03_20029,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1582157,26647112,PHIMMP03_20030,PHIMMP03_20030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647113,PHIMMP03_20031,PHIMMP03_20031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582157,26647114,PHIMMP03_20032,PHIMMP03_20032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
