#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1434118,24869519,MSSAC_RS00005,MSSAC_RS00005,MSSAC_0001,-,-,-,ORC1-type DNA replication protein,protein-coding,-,-,-,ORC1-type DNA replication protein,20201210,-
1434118,24869520,fliE,MSSAC_RS00010,MSSAC_0002,-,-,-,flagellar hook-basal body complex protein FliE,protein-coding,-,-,-,flagellar hook-basal body complex protein FliE,20201210,-
1434118,24869521,MSSAC_RS00015,MSSAC_RS00015,MSSAC_0003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
1434118,24869522,MSSAC_RS00020,MSSAC_RS00020,MSSAC_0004,-,-,-,sugar phosphate isomerase/epimerase,protein-coding,-,-,-,sugar phosphate isomerase/epimerase,20201210,-
1434118,24869523,MSSAC_RS00025,MSSAC_RS00025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
1434118,24869524,MSSAC_RS00030,MSSAC_RS00030,MSSAC_0005,-,-,-,class I SAM-dependent methyltransferase,protein-coding,-,-,-,class I SAM-dependent methyltransferase,20201210,-
1434118,24869525,MSSAC_RS00035,MSSAC_RS00035,MSSAC_0006,-,-,-,IS1182 family transposase,protein-coding,-,-,-,IS1182 family transposase,20201210,-
1434118,24869526,MSSAC_RS00040,MSSAC_RS00040,MSSAC_0007,-,-,-,methyltransferase domain-containing protein,protein-coding,-,-,-,methyltransferase domain-containing protein,20210424,-
1434118,24869527,MSSAC_RS00045,MSSAC_RS00045,MSSAC_0008,-,-,-,gamma-glutamylcyclotransferase,protein-coding,-,-,-,gamma-glutamylcyclotransferase,20201210,-
1434118,24869528,MSSAC_RS00050,MSSAC_RS00050,MSSAC_0009,-,-,-,elongation factor Tu,protein-coding,-,-,-,elongation factor Tu,20201210,-
1434118,24869530,MSSAC_RS00060,MSSAC_RS00060,MSSAC_0010,-,-,-,PAS domain S-box protein,protein-coding,-,-,-,PAS domain S-box protein,20210424,-
1434118,24869533,MSSAC_RS00075,MSSAC_RS00075,MSSAC_0013,-,-,-,pseudo,pseudo,-,-,-,-,20201210,-
