#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2250367,60333611,2,I5H86_gp002,SEA_SANDALPHON_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
2250367,60333612,3,I5H86_gp003,SEA_SANDALPHON_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
2250367,60333613,4,I5H86_gp004,SEA_SANDALPHON_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2250367,60333614,5,I5H86_gp005,SEA_SANDALPHON_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201217,-
2250367,60333615,6,I5H86_gp006,SEA_SANDALPHON_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201129,-
2250367,60333616,7,I5H86_gp007,SEA_SANDALPHON_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2250367,60333617,8,I5H86_gp008,SEA_SANDALPHON_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2250367,60333618,9,I5H86_gp009,SEA_SANDALPHON_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2250367,60333619,10,I5H86_gp010,SEA_SANDALPHON_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2250367,60333620,11,I5H86_gp011,SEA_SANDALPHON_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2250367,60333621,13,I5H86_gp012,SEA_SANDALPHON_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2250367,60333622,14,I5H86_gp014,SEA_SANDALPHON_14,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2250367,60333623,12,I5H86_gp013,SEA_SANDALPHON_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
