#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2483665,65116763,2,KNU17_gp02,SEA_AILEE_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210607,-
2483665,65116764,3,KNU17_gp03,SEA_AILEE_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116765,4,KNU17_gp04,SEA_AILEE_4,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210607,-
2483665,65116766,6,KNU17_gp06,SEA_AILEE_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116767,5,KNU17_gp05,SEA_AILEE_5,-,-,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210607,-
2483665,65116768,7,KNU17_gp07,SEA_AILEE_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116769,8,KNU17_gp08,SEA_AILEE_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116770,9,KNU17_gp09,SEA_AILEE_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116771,10,KNU17_gp10,SEA_AILEE_10,-,-,-,lipoprotein,protein-coding,-,-,-,lipoprotein,20210607,-
2483665,65116772,11,KNU17_gp11,SEA_AILEE_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116773,12,KNU17_gp12,SEA_AILEE_12,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210607,-
2483665,65116774,13,KNU17_gp13,SEA_AILEE_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116775,14,KNU17_gp14,SEA_AILEE_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116776,15,KNU17_gp15,SEA_AILEE_15,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20210607,-
2483665,65116777,16,KNU17_gp16,SEA_AILEE_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116778,17,KNU17_gp17,SEA_AILEE_17,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210607,-
2483665,65116779,18,KNU17_gp18,SEA_AILEE_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116780,19,KNU17_gp19,SEA_AILEE_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116781,20,KNU17_gp20,SEA_AILEE_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116782,21,KNU17_gp21,SEA_AILEE_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116783,22,KNU17_gp22,SEA_AILEE_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483665,65116784,23,KNU17_gp23,SEA_AILEE_23,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210607,-
2483665,65116785,24,KNU17_gp24,SEA_AILEE_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
