#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
77775,2658887,12,Felix01p072,-,-,-,-,Putative tail protein,protein-coding,-,-,-,Putative tail protein,20200629,-
77775,2658888,rIIB,Felix01p002,-,-,-,-,rIIB protein,protein-coding,-,-,-,rIIB protein,20201009,-
77775,2658889,p13,Felix01p070,-,-,-,-,Lysin (lysozyme),protein-coding,-,-,-,Lysin (lysozyme),20201009,-
77775,2658890,red,Felix01p100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
77775,2658891,td,Felix01p149,-,-,-,-,Thymidylate synthase,protein-coding,-,-,-,Thymidylate synthase,20201009,-
77775,2658892,frd,Felix01p150,-,-,-,-,Dihydrofolate reductase,protein-coding,-,-,-,Dihydrofolate reductase,20201009,-
77775,2658893,g1,Felix01p184,-,-,-,-,Putative deoxynucleotide monophosphate kinase,protein-coding,-,-,-,Putative deoxynucleotide monophosphate kinase,20200629,-
77775,2658894,4A,Felix01p188,-,-,-,-,Putative phage DNA primase/helicase,protein-coding,-,-,-,Putative phage DNA primase/helicase,20210417,-
77775,2658895,6,Felix01p196,-,-,-,-,Putative exodeoxyribonuclease,protein-coding,-,-,-,Putative exodeoxyribonuclease,20201009,-
77775,2658896,nrdA,Felix01p212,-,-,-,-,"Ribonucleoside triphosphate reductase, alpha chain",protein-coding,-,-,-,"Ribonucleoside triphosphate reductase, alpha chain",20210212,-
77775,2658897,nrdB,Felix01p214,-,-,-,-,"Ribonucleoside triphosphate reductase, beta chain",protein-coding,-,-,-,"Ribonucleoside triphosphate reductase, beta chain",20201009,-
77775,2658898,nrdD,Felix01p219,sunY,-,-,-,Anaerobic nucleoside diphosphate reductase,protein-coding,-,-,-,Anaerobic nucleoside diphosphate reductase,20201009,-
77775,2658899,nrdG,Felix01p223,-,-,-,-,"Anaerobic NTP reductase, small subunit",protein-coding,-,-,-,"Anaerobic NTP reductase, small subunit",20201009,-
77775,2658900,rIIA,Felix01p001,-,-,-,-,rIIA protein,protein-coding,-,-,-,rIIA protein,20201009,-
77775,2743863,Felix01t002,Felix01t002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
77775,2743864,Felix01t003,Felix01t003,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
77775,2743865,Felix01p003,Felix01p003,-,-,-,-,Phage conserved protein,protein-coding,-,-,-,Phage conserved protein,20201009,-
77775,2743867,Felix01p006,Felix01p006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2743874,Felix01p015,Felix01p015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2743876,Felix01p146,Felix01p146,-,-,-,-,Phage conserved protein,protein-coding,-,-,-,Phage conserved protein,20200629,-
77775,2743877,Felix01p151,Felix01p151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
77775,2743879,Felix01p155,Felix01p155,-,-,-,-,Putative transcriptional regulatory protein,protein-coding,-,-,-,Putative transcriptional regulatory protein,20200629,-
77775,2743889,Felix01p170,Felix01p170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2743892,Felix01p174,Felix01p174,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2743894,Felix01p176,Felix01p176,-,-,-,-,Putative HNH endonuclease,protein-coding,-,-,-,Putative HNH endonuclease,20201009,-
77775,2743901,Felix01p187,Felix01p187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
77775,2743902,FelixO1p246,FelixO1p246,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2743910,Felix01p199,Felix01p199,-,-,-,-,Putative HNH endonuclease,protein-coding,-,-,-,Putative HNH endonuclease,20201009,-
77775,2743916,Felix01p208,Felix01p208,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2743918,Felix01p210,Felix01p210,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
77775,2743920,Felix01p213,Felix01p213,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
77775,2743922,Felix01t001,Felix01t001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
