#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1739966,26515848,SEA_SPARKDEHLILY_2,SEA_SPARKDEHLILY_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1739966,26515849,SEA_SPARKDEHLILY_3,SEA_SPARKDEHLILY_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210212,-
1739966,26515850,SEA_SPARKDEHLILY_4,SEA_SPARKDEHLILY_4,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1739966,26515851,SEA_SPARKDEHLILY_5,SEA_SPARKDEHLILY_5,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1739966,26515852,SEA_SPARKDEHLILY_6,SEA_SPARKDEHLILY_6,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
1739966,26515853,SEA_SPARKDEHLILY_7,SEA_SPARKDEHLILY_7,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
1739966,26515854,SEA_SPARKDEHLILY_8,SEA_SPARKDEHLILY_8,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201221,-
1739966,26515855,SEA_SPARKDEHLILY_9,SEA_SPARKDEHLILY_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1739966,26515856,SEA_SPARKDEHLILY_10,SEA_SPARKDEHLILY_10,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201221,-
1739966,26515857,SEA_SPARKDEHLILY_11,SEA_SPARKDEHLILY_11,-,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201221,-
1739966,26515858,SEA_SPARKDEHLILY_13,SEA_SPARKDEHLILY_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1739966,26515859,SEA_SPARKDEHLILY_14,SEA_SPARKDEHLILY_14,-,-,-,-,tape measure,protein-coding,-,-,-,tape measure,20201221,-
1739966,26515860,SEA_SPARKDEHLILY_12,SEA_SPARKDEHLILY_12,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1739966,26515861,SEA_SPARKDEHLILY_15,SEA_SPARKDEHLILY_15,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1739966,26515862,SEA_SPARKDEHLILY_16,SEA_SPARKDEHLILY_16,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1739966,26515863,SEA_SPARKDEHLILY_17,SEA_SPARKDEHLILY_17,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1739966,26515864,SEA_SPARKDEHLILY_18,SEA_SPARKDEHLILY_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1739966,26515865,SEA_SPARKDEHLILY_19,SEA_SPARKDEHLILY_19,-,-,-,-,D-ala-D-ala carboxypeptidase,protein-coding,-,-,-,D-ala-D-ala carboxypeptidase,20201221,-
1739966,26515866,SEA_SPARKDEHLILY_20,SEA_SPARKDEHLILY_20,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
1739966,26515867,SEA_SPARKDEHLILY_21,SEA_SPARKDEHLILY_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515868,SEA_SPARKDEHLILY_22,SEA_SPARKDEHLILY_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515869,SEA_SPARKDEHLILY_23,SEA_SPARKDEHLILY_23,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1739966,26515870,SEA_SPARKDEHLILY_24,SEA_SPARKDEHLILY_24,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1739966,26515871,SEA_SPARKDEHLILY_25,SEA_SPARKDEHLILY_25,-,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
1739966,26515872,SEA_SPARKDEHLILY_26,SEA_SPARKDEHLILY_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515873,SEA_SPARKDEHLILY_27,SEA_SPARKDEHLILY_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515874,SEA_SPARKDEHLILY_28,SEA_SPARKDEHLILY_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515875,SEA_SPARKDEHLILY_29,SEA_SPARKDEHLILY_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515876,SEA_SPARKDEHLILY_30,SEA_SPARKDEHLILY_30,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1739966,26515877,SEA_SPARKDEHLILY_31,SEA_SPARKDEHLILY_31,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1739966,26515878,SEA_SPARKDEHLILY_32,SEA_SPARKDEHLILY_32,-,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
1739966,26515879,SEA_SPARKDEHLILY_33,SEA_SPARKDEHLILY_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515880,SEA_SPARKDEHLILY_34,SEA_SPARKDEHLILY_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515881,SEA_SPARKDEHLILY_35,SEA_SPARKDEHLILY_35,-,-,-,-,DnaQ-like exonuclease,protein-coding,-,-,-,DnaQ-like exonuclease,20210406,-
1739966,26515882,SEA_SPARKDEHLILY_36,SEA_SPARKDEHLILY_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515883,SEA_SPARKDEHLILY_37,SEA_SPARKDEHLILY_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515884,SEA_SPARKDEHLILY_38,SEA_SPARKDEHLILY_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515885,SEA_SPARKDEHLILY_39,SEA_SPARKDEHLILY_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515886,SEA_SPARKDEHLILY_40,SEA_SPARKDEHLILY_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515887,SEA_SPARKDEHLILY_41,SEA_SPARKDEHLILY_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515888,SEA_SPARKDEHLILY_42,SEA_SPARKDEHLILY_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515889,SEA_SPARKDEHLILY_43,SEA_SPARKDEHLILY_43,-,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20210406,-
1739966,26515890,SEA_SPARKDEHLILY_44,SEA_SPARKDEHLILY_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515891,SEA_SPARKDEHLILY_45,SEA_SPARKDEHLILY_45,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20210417,-
1739966,26515892,SEA_SPARKDEHLILY_46,SEA_SPARKDEHLILY_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515893,SEA_SPARKDEHLILY_47,SEA_SPARKDEHLILY_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515894,SEA_SPARKDEHLILY_48,SEA_SPARKDEHLILY_48,-,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20201221,-
1739966,26515895,SEA_SPARKDEHLILY_49,SEA_SPARKDEHLILY_49,-,-,-,-,repessor,protein-coding,-,-,-,repessor,20201221,-
1739966,26515896,SEA_SPARKDEHLILY_50,SEA_SPARKDEHLILY_50,-,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210417,-
1739966,26515897,SEA_SPARKDEHLILY_51,SEA_SPARKDEHLILY_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515898,SEA_SPARKDEHLILY_52,SEA_SPARKDEHLILY_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515899,SEA_SPARKDEHLILY_53,SEA_SPARKDEHLILY_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515900,SEA_SPARKDEHLILY_54,SEA_SPARKDEHLILY_54,-,-,-,-,excise,protein-coding,-,-,-,excise,20210212,-
1739966,26515901,SEA_SPARKDEHLILY_55,SEA_SPARKDEHLILY_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515902,SEA_SPARKDEHLILY_56,SEA_SPARKDEHLILY_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515903,SEA_SPARKDEHLILY_57,SEA_SPARKDEHLILY_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515904,SEA_SPARKDEHLILY_58,SEA_SPARKDEHLILY_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515905,SEA_SPARKDEHLILY_59,SEA_SPARKDEHLILY_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515906,SEA_SPARKDEHLILY_60,SEA_SPARKDEHLILY_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515907,SEA_SPARKDEHLILY_61,SEA_SPARKDEHLILY_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515908,SEA_SPARKDEHLILY_62,SEA_SPARKDEHLILY_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515909,SEA_SPARKDEHLILY_63,SEA_SPARKDEHLILY_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515910,SEA_SPARKDEHLILY_64,SEA_SPARKDEHLILY_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1739966,26515911,SEA_SPARKDEHLILY_65,SEA_SPARKDEHLILY_65,-,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20210417,-
1739966,26515912,SEA_SPARKDEHLILY_66,SEA_SPARKDEHLILY_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515913,SEA_SPARKDEHLILY_67,SEA_SPARKDEHLILY_67,-,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20210417,-
1739966,26515914,SEA_SPARKDEHLILY_68,SEA_SPARKDEHLILY_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515915,SEA_SPARKDEHLILY_69,SEA_SPARKDEHLILY_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515916,SEA_SPARKDEHLILY_70,SEA_SPARKDEHLILY_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515917,SEA_SPARKDEHLILY_71,SEA_SPARKDEHLILY_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515918,SEA_SPARKDEHLILY_72,SEA_SPARKDEHLILY_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515919,SEA_SPARKDEHLILY_73,SEA_SPARKDEHLILY_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515920,SEA_SPARKDEHLILY_74,SEA_SPARKDEHLILY_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515921,SEA_SPARKDEHLILY_75,SEA_SPARKDEHLILY_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515922,SEA_SPARKDEHLILY_76,SEA_SPARKDEHLILY_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515923,SEA_SPARKDEHLILY_77,SEA_SPARKDEHLILY_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515924,SEA_SPARKDEHLILY_78,SEA_SPARKDEHLILY_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515925,SEA_SPARKDEHLILY_79,SEA_SPARKDEHLILY_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515926,SEA_SPARKDEHLILY_80,SEA_SPARKDEHLILY_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515927,SEA_SPARKDEHLILY_81,SEA_SPARKDEHLILY_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515928,SEA_SPARKDEHLILY_82,SEA_SPARKDEHLILY_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515929,SEA_SPARKDEHLILY_83,SEA_SPARKDEHLILY_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515930,SEA_SPARKDEHLILY_84,SEA_SPARKDEHLILY_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515931,SEA_SPARKDEHLILY_85,SEA_SPARKDEHLILY_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515932,SEA_SPARKDEHLILY_86,SEA_SPARKDEHLILY_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515933,SEA_SPARKDEHLILY_87,SEA_SPARKDEHLILY_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515934,SEA_SPARKDEHLILY_88,SEA_SPARKDEHLILY_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515935,SEA_SPARKDEHLILY_89,SEA_SPARKDEHLILY_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515936,SEA_SPARKDEHLILY_90,SEA_SPARKDEHLILY_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515937,SEA_SPARKDEHLILY_91,SEA_SPARKDEHLILY_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515938,SEA_SPARKDEHLILY_92,SEA_SPARKDEHLILY_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515939,SEA_SPARKDEHLILY_93,SEA_SPARKDEHLILY_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515940,SEA_SPARKDEHLILY_94,SEA_SPARKDEHLILY_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515941,SEA_SPARKDEHLILY_95,SEA_SPARKDEHLILY_95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515942,SEA_SPARKDEHLILY_96,SEA_SPARKDEHLILY_96,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515943,SEA_SPARKDEHLILY_97,SEA_SPARKDEHLILY_97,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515944,SEA_SPARKDEHLILY_98,SEA_SPARKDEHLILY_98,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515945,SEA_SPARKDEHLILY_99,SEA_SPARKDEHLILY_99,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515946,SEA_SPARKDEHLILY_100,SEA_SPARKDEHLILY_100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515947,SEA_SPARKDEHLILY_101,SEA_SPARKDEHLILY_101,-,-,-,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20210406,-
1739966,26515948,SEA_SPARKDEHLILY_102,SEA_SPARKDEHLILY_102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515949,SEA_SPARKDEHLILY_103,SEA_SPARKDEHLILY_103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515950,SEA_SPARKDEHLILY_104,SEA_SPARKDEHLILY_104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515951,SEA_SPARKDEHLILY_105,SEA_SPARKDEHLILY_105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515952,SEA_SPARKDEHLILY_106,SEA_SPARKDEHLILY_106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515953,SEA_SPARKDEHLILY_107,SEA_SPARKDEHLILY_107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739966,26515954,SEA_SPARKDEHLILY_108,SEA_SPARKDEHLILY_108,-,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201221,-
