#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1747289,26642974,AVT93_gp02,AVT93_gp02,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1747289,26642975,AVT93_gp03,AVT93_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747289,26642976,AVT93_gp04,AVT93_gp04,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1747289,26642977,AVT93_gp05,AVT93_gp05,-,-,-,-,head maturation protease,protein-coding,-,-,-,head maturation protease,20201221,-
1747289,26642978,AVT93_gp06,AVT93_gp06,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20201221,-
1747289,26642979,AVT93_gp07,AVT93_gp07,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1747289,26642980,AVT93_gp08,AVT93_gp08,-,-,-,-,DNA packaging protein,protein-coding,-,-,-,DNA packaging protein,20201221,-
1747289,26642981,AVT93_gp09,AVT93_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747289,26642982,AVT93_gp10,AVT93_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747289,26642983,AVT93_gp11,AVT93_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747289,26642984,AVT93_gp12,AVT93_gp12,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1747289,26642985,AVT93_gp13,AVT93_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747289,26642986,AVT93_gp14,AVT93_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747289,26642987,AVT93_gp15,AVT93_gp15,-,-,-,-,tail length tape-measure protein,protein-coding,-,-,-,tail length tape-measure protein,20201221,-
1747289,26642988,AVT93_gp16,AVT93_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747289,26642989,AVT93_gp17,AVT93_gp17,-,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20201221,-
1747289,26642990,AVT93_gp18,AVT93_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747289,26642991,AVT93_gp19,AVT93_gp19,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20201221,-
1747289,26642992,AVT93_gp20,AVT93_gp20,-,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1747289,26642993,AVT93_gp21,AVT93_gp21,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20201221,-
1747289,26642994,AVT93_gp22,AVT93_gp22,-,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20201221,-
1747289,26642995,AVT93_gp23,AVT93_gp23,-,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20201221,-
1747289,26642996,AVT93_gp24,AVT93_gp24,-,-,-,-,DNA polymerase B region protein,protein-coding,-,-,-,DNA polymerase B region protein,20201221,-
1747289,26642997,AVT93_gp25,AVT93_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747289,26642998,AVT93_gp26,AVT93_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747289,26642999,AVT93_gp27,AVT93_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747289,26643000,AVT93_gp28,AVT93_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747289,26643001,AVT93_gp29,AVT93_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747289,26643002,AVT93_gp30,AVT93_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747289,26643003,AVT93_gp31,AVT93_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747289,26643004,AVT93_gp32,AVT93_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747289,26643005,AVT93_gp33,AVT93_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747289,26643006,AVT93_gp34,AVT93_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747289,26643007,AVT93_gp35,AVT93_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747289,26643008,AVT93_gp36,AVT93_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747289,26643009,AVT93_gp37,AVT93_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747289,26643010,AVT93_gp38,AVT93_gp38,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201221,-
1747289,26643011,AVT93_gp39,AVT93_gp39,-,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20201221,-
1747289,26643012,AVT93_gp40,AVT93_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747289,26643013,AVT93_gp41,AVT93_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747289,26643014,AVT93_gp42,AVT93_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747289,26643015,AVT93_gp43,AVT93_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
