#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2599868,63926164,2,KDW76_gp02,PBI_LEMURIA_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210422,-
2599868,63926165,3,KDW76_gp03,PBI_LEMURIA_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210422,-
2599868,63926166,4,KDW76_gp04,PBI_LEMURIA_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210422,-
2599868,63926167,5,KDW76_gp05,PBI_LEMURIA_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2599868,63926168,6,KDW76_gp06,PBI_LEMURIA_6,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210422,-
2599868,63926169,7,KDW76_gp07,PBI_LEMURIA_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210422,-
2599868,63926170,8,KDW76_gp08,PBI_LEMURIA_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2599868,63926171,9,KDW76_gp09,PBI_LEMURIA_9,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210422,-
2599868,63926172,10,KDW76_gp10,PBI_LEMURIA_10,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210422,-
2599868,63926173,11,KDW76_gp11,PBI_LEMURIA_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2599868,63926174,12,KDW76_gp12,PBI_LEMURIA_12,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210422,-
2599868,63926175,13,KDW76_gp13,PBI_LEMURIA_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210422,-
2599868,63926176,15,KDW76_gp14,PBI_LEMURIA_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210422,-
2599868,63926177,16,KDW76_gp16,PBI_LEMURIA_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210422,-
2599868,63926178,14,KDW76_gp15,PBI_LEMURIA_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210422,-
2599868,63926179,17,KDW76_gp17,PBI_LEMURIA_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210422,-
2599868,63926180,18,KDW76_gp18,PBI_LEMURIA_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2599868,63926181,19,KDW76_gp19,PBI_LEMURIA_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210422,-
2599868,63926182,20,KDW76_gp20,PBI_LEMURIA_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210422,-
2599868,63926183,21,KDW76_gp21,PBI_LEMURIA_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210422,-
2599868,63926184,22,KDW76_gp22,PBI_LEMURIA_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2599868,63926185,23,KDW76_gp23,PBI_LEMURIA_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210422,-
2599868,63926186,24,KDW76_gp24,PBI_LEMURIA_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2599868,63926187,25,KDW76_gp25,PBI_LEMURIA_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2599868,63926188,26,KDW76_gp26,PBI_LEMURIA_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2599868,63926189,27,KDW76_gp27,PBI_LEMURIA_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2599868,63926190,28,KDW76_gp28,PBI_LEMURIA_28,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210422,-
2599868,63926191,29,KDW76_gp29,PBI_LEMURIA_29,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210422,-
2599868,63926192,30,KDW76_gp30,PBI_LEMURIA_30,-,-,-,holin,protein-coding,-,-,-,holin,20210422,-
2599868,63926193,31,KDW76_gp31,PBI_LEMURIA_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2599868,63926194,32,KDW76_gp32,PBI_LEMURIA_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
