#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1838070,28378364,2,BEN62_gp002,PBI_KATHERINEG_2,-,-,-,ADP-ribosyltransferase,protein-coding,-,-,-,ADP-ribosyltransferase,20210424,-
1838070,28378365,3,BEN62_gp003,PBI_KATHERINEG_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378366,4,BEN62_gp004,PBI_KATHERINEG_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378367,5,BEN62_gp005,PBI_KATHERINEG_5,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200719,-
1838070,28378368,6,BEN62_gp006,PBI_KATHERINEG_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378369,7,BEN62_gp007,PBI_KATHERINEG_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378370,8,BEN62_gp008,PBI_KATHERINEG_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378371,9,BEN62_gt001,PBI_KATHERINEG_9,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1838070,28378372,13,BEN62_gp097,PBI_KATHERINEG_13,-,-,-,holin,protein-coding,-,-,-,holin,20200719,-
1838070,28378373,14,BEN62_gp096,PBI_KATHERINEG_14,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200719,-
1838070,28378374,15,BEN62_gp095,PBI_KATHERINEG_15,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
1838070,28378375,16,BEN62_gp094,PBI_KATHERINEG_16,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200719,-
1838070,28378376,17,BEN62_gp093,PBI_KATHERINEG_17,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200719,-
1838070,28378377,18,BEN62_gp092,PBI_KATHERINEG_18,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
1838070,28378378,19,BEN62_gp091,PBI_KATHERINEG_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378379,20,BEN62_gp090,PBI_KATHERINEG_20,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200719,-
1838070,28378380,21,BEN62_gp089,PBI_KATHERINEG_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838070,28378381,22,BEN62_gp088,PBI_KATHERINEG_22,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200719,-
1838070,28378382,23,BEN62_gp087,PBI_KATHERINEG_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1838070,28378383,24,BEN62_gp086,PBI_KATHERINEG_24,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200719,-
1838070,28378384,25,BEN62_gp085,PBI_KATHERINEG_25,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200719,-
1838070,28378385,27,BEN62_gp083,PBI_KATHERINEG_27,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210424,-
1838070,28378386,28,BEN62_gp082,PBI_KATHERINEG_28,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200719,-
1838070,28378387,26,BEN62_gp084,PBI_KATHERINEG_26,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210424,-
1838070,28378388,29,BEN62_gp081,PBI_KATHERINEG_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200719,-
1838070,28378389,30,BEN62_gp080,PBI_KATHERINEG_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200719,-
1838070,28378390,31,BEN62_gp079,PBI_KATHERINEG_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200719,-
1838070,28378391,32,BEN62_gp078,PBI_KATHERINEG_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200912,-
1838070,28378392,33,BEN62_gp077,PBI_KATHERINEG_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200719,-
