#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1852641,29065769,FROZEN_2,FROZEN_2,-,-,-,-,putative RNAP1 subunit A,protein-coding,-,-,-,putative RNAP1 subunit A,20200910,-
1852641,29065770,FROZEN_3,FROZEN_3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065771,FROZEN_5,FROZEN_5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065772,FROZEN_6,FROZEN_6,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065773,FROZEN_7,FROZEN_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065774,FROZEN_8,FROZEN_8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065775,FROZEN_9,FROZEN_9,-,-,-,-,putative DNA processing chain A,protein-coding,-,-,-,putative DNA processing chain A,20200910,-
1852641,29065776,FROZEN_10,FROZEN_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065777,FROZEN_11,FROZEN_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065778,FROZEN_12,FROZEN_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065779,FROZEN_13,FROZEN_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065780,FROZEN_14,FROZEN_14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065781,FROZEN_15,FROZEN_15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065782,FROZEN_16,FROZEN_16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065783,FROZEN_17,FROZEN_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065784,FROZEN_18,FROZEN_18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065785,FROZEN_19,FROZEN_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065786,FROZEN_20,FROZEN_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065787,FROZEN_21,FROZEN_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065788,FROZEN_22,FROZEN_22,-,-,-,-,putative RNA polymerase 1,protein-coding,-,-,-,putative RNA polymerase 1,20200910,-
1852641,29065789,FROZEN_23,FROZEN_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065790,FROZEN_24,FROZEN_24,-,-,-,-,putative RNA polymerase 2,protein-coding,-,-,-,putative RNA polymerase 2,20200910,-
1852641,29065791,FROZEN_25,FROZEN_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065792,FROZEN_26,FROZEN_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065793,FROZEN_27,FROZEN_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1852641,29065794,FROZEN_28,FROZEN_28,-,-,-,-,putative capsid decorating protein,protein-coding,-,-,-,putative capsid decorating protein,20200910,-
