#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1916098,62681980,JT344_gp03,JT344_gp03,Utah_04,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210215,-
1916098,62681981,JT344_gp02,JT344_gp02,Utah_03,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210417,-
1916098,62681982,JT344_gp04,JT344_gp04,Utah_05,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
1916098,62681983,JT344_gp05,JT344_gp05,Utah_06,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
1916098,62681984,JT344_gp06,JT344_gp06,Utah_07,-,-,-,Cas4-like protein,protein-coding,-,-,-,Cas4-like protein,20210417,-
1916098,62681985,JT344_gp07,JT344_gp07,Utah_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1916098,62681986,JT344_gp08,JT344_gp08,Utah_09,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210406,-
1916098,62681987,JT344_gp09,JT344_gp09,Utah_010,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20210406,-
1916098,62681988,JT344_gp10,JT344_gp10,Utah_011,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210417,-
1916098,62681989,JT344_gp11,JT344_gp11,Utah_012,-,-,-,TerS,protein-coding,-,-,-,TerS,20210313,-
1916098,62681990,JT344_gp12,JT344_gp12,Utah_013,-,-,-,TerL,protein-coding,-,-,-,TerL,20210406,-
1916098,62681991,JT344_gp13,JT344_gp13,Utah_014,-,-,-,head-to-tail joining protein,protein-coding,-,-,-,head-to-tail joining protein,20210313,-
1916098,62681992,JT344_gp14,JT344_gp14,Utah_015,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210327,-
1916098,62681993,JT344_gp15,JT344_gp15,Utah_016,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210417,-
1916098,62681994,JT344_gp16,JT344_gp16,Utah_017,-,-,-,putative decorator protein D,protein-coding,-,-,-,putative decorator protein D,20210417,-
1916098,62681995,JT344_gp17,JT344_gp17,Utah_018,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210417,-
1916098,62681996,JT344_gp18,JT344_gp18,Utah_019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
1916098,62681997,JT344_gp19,JT344_gp19,Utah_020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
1916098,62681998,JT344_gp20,JT344_gp20,Utah_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
1916098,62681999,JT344_gp21,JT344_gp21,Utah_022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
1916098,62682000,JT344_gp22,JT344_gp22,Utah_023,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210215,-
1916098,62682001,JT344_gp23,JT344_gp23,Utah_024,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210215,-
1916098,62682002,JT344_gp24,JT344_gp24,Utah_025,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210215,-
1916098,62682003,JT344_gp25,JT344_gp25,Utah_026,-,-,-,tape measure,protein-coding,-,-,-,tape measure,20210417,-
1916098,62682004,JT344_gp26,JT344_gp26,Utah_027,-,-,-,distal tail protein,protein-coding,-,-,-,distal tail protein,20210215,-
1916098,62682005,JT344_gp27,JT344_gp27,Utah_028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1916098,62682006,JT344_gp29,JT344_gp29,Utah_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
1916098,62682007,JT344_gp30,JT344_gp30,Utah_031,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210417,-
1916098,62682008,JT344_gp31,JT344_gp31,Utah_032,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210417,-
1916098,62682009,JT344_gp28,JT344_gp28,Utah_029,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20210215,-
1916098,62682010,JT344_gp32,JT344_gp32,Utah_033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
1916098,62682011,JT344_gp33,JT344_gp33,Utah_034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
1916098,62682012,JT344_gp34,JT344_gp34,Utah_035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
1916098,62682013,JT344_gp35,JT344_gp35,Utah_036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
1916098,62682014,JT344_gp36,JT344_gp36,Utah_037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
1916098,62682015,JT344_gp37,JT344_gp37,Utah_038,-,-,-,lysis protein B,protein-coding,-,-,-,lysis protein B,20210215,-
1916098,62682016,JT344_gp38,JT344_gp38,Utah_039,-,-,-,lysis protein A,protein-coding,-,-,-,lysis protein A,20210417,-
1916098,62682017,JT344_gp39,JT344_gp39,Utah_040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
1916098,62682018,JT344_gp40,JT344_gp40,Utah_041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
1916098,62682019,JT344_gp41,JT344_gp41,Utah_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
1916098,62682020,JT344_gp42,JT344_gp42,Utah_043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
1916098,62682021,JT344_gp43,JT344_gp43,Utah_044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
1916098,62682022,JT344_gp44,JT344_gp44,Utah_045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
1916098,62682023,JT344_gp45,JT344_gp45,Utah_046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
1916098,62682024,JT344_gp46,JT344_gp46,Utah_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
1916098,62682025,JT344_gp47,JT344_gp47,Utah_048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
