#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2234035,64468943,KGB39_gp02,KGB39_gp02,CPT_Skate_002,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210502,-
2234035,64468944,KGB39_gp03,KGB39_gp03,CPT_Skate_003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64468945,KGB39_gp04,KGB39_gp04,CPT_Skate_004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64468946,KGB39_gp05,KGB39_gp05,CPT_Skate_005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64468947,KGB39_gp06,KGB39_gp06,CPT_Skate_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64468948,KGB39_gp07,KGB39_gp07,CPT_Skate_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64468949,KGB39_gp08,KGB39_gp08,CPT_Skate_008,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210502,-
2234035,64468950,KGB39_gp09,KGB39_gp09,CPT_Skate_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64468951,KGB39_gp10,KGB39_gp10,CPT_Skate_010,-,-,-,head morphogenesis protein,protein-coding,-,-,-,head morphogenesis protein,20210502,-
2234035,64468952,KGB39_gp11,KGB39_gp11,CPT_Skate_011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64468953,KGB39_gp12,KGB39_gp12,CPT_Skate_012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64468954,KGB39_gp13,KGB39_gp13,CPT_Skate_013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64468955,KGB39_gp14,KGB39_gp14,CPT_Skate_014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64468956,KGB39_gp15,KGB39_gp15,CPT_Skate_015,-,-,-,endolysin/glycosidase,protein-coding,-,-,-,endolysin/glycosidase,20210502,-
2234035,64468957,KGB39_gp16,KGB39_gp16,CPT_Skate_016,-,-,-,endolysin/transglycosylase,protein-coding,-,-,-,endolysin/transglycosylase,20210502,-
2234035,64468958,KGB39_gp17,KGB39_gp17,CPT_Skate_017,-,-,-,class II holin,protein-coding,-,-,-,class II holin,20210502,-
2234035,64468959,KGB39_gp18,KGB39_gp18,CPT_Skate_018,-,-,-,I-spanin,protein-coding,-,-,-,I-spanin,20210502,-
2234035,64468960,KGB39_gp19,KGB39_gp19,CPT_Skate_019,-,-,-,O-spanin,protein-coding,-,-,-,O-spanin,20210502,-
2234035,64468961,KGB39_gp20,KGB39_gp20,CPT_Skate_020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64468962,KGB39_gp21,KGB39_gp21,CPT_Skate_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64468963,KGB39_gp22,KGB39_gp22,CPT_Skate_022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64468964,KGB39_gp23,KGB39_gp23,CPT_Skate_023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64468965,KGB39_gp24,KGB39_gp24,CPT_Skate_024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64468966,KGB39_gp25,KGB39_gp25,CPT_Skate_025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64468967,KGB39_gp26,KGB39_gp26,CPT_Skate_026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64468968,KGB39_gp27,KGB39_gp27,CPT_Skate_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64468969,KGB39_gp28,KGB39_gp28,CPT_Skate_028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64468970,KGB39_gp29,KGB39_gp29,CPT_Skate_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64468971,KGB39_gp30,KGB39_gp30,CPT_Skate_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64468972,KGB39_gp31,KGB39_gp31,CPT_Skate_031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64468973,KGB39_gp32,KGB39_gp32,CPT_Skate_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64468974,KGB39_gp33,KGB39_gp33,CPT_Skate_033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64468975,KGB39_gp34,KGB39_gp34,CPT_Skate_034,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20210502,-
2234035,64468976,KGB39_gp35,KGB39_gp35,CPT_Skate_035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64468977,KGB39_gp36,KGB39_gp36,CPT_Skate_036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64468978,KGB39_gp37,KGB39_gp37,CPT_Skate_037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64468979,KGB39_gp38,KGB39_gp38,CPT_Skate_038,-,-,-,capsid decoration protein,protein-coding,-,-,-,capsid decoration protein,20210502,-
2234035,64468980,KGB39_gp39,KGB39_gp39,CPT_Skate_039,-,-,-,major coat protein,protein-coding,-,-,-,major coat protein,20210502,-
2234035,64468981,KGB39_gp40,KGB39_gp40,CPT_Skate_040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64468982,KGB39_gp41,KGB39_gp41,CPT_Skate_041,-,-,-,DNA polymerase III beta clamp subunit,protein-coding,-,-,-,DNA polymerase III beta clamp subunit,20210502,-
2234035,64468983,KGB39_gp42,KGB39_gp42,CPT_Skate_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64468984,KGB39_gp43,KGB39_gp43,CPT_Skate_043,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210502,-
2234035,64468985,KGB39_gp44,KGB39_gp44,CPT_Skate_044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64468986,KGB39_gp45,KGB39_gp45,CPT_Skate_045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64468987,KGB39_gp46,KGB39_gp46,CPT_Skate_046,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210502,-
2234035,64468988,KGB39_gp47,KGB39_gp47,CPT_Skate_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64468989,KGB39_gp48,KGB39_gp48,CPT_Skate_048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64468990,KGB39_gp49,KGB39_gp49,CPT_Skate_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64468991,KGB39_gp50,KGB39_gp50,CPT_Skate_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64468992,KGB39_gp51,KGB39_gp51,CPT_Skate_051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64468993,KGB39_gp52,KGB39_gp52,CPT_Skate_052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64468994,KGB39_gt01,KGB39_gt01,CPT_Skate_gt001,-,-,-,tRNA,tRNA,-,-,-,-,20210502,-
2234035,64468995,KGB39_gp89,KGB39_gp89,CPT_Skate_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64468996,KGB39_gp88,KGB39_gp88,CPT_Skate_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64468997,KGB39_gp87,KGB39_gp87,CPT_Skate_056,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20210502,-
2234035,64468998,KGB39_gp86,KGB39_gp86,CPT_Skate_057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64468999,KGB39_gp85,KGB39_gp85,CPT_Skate_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64469000,KGB39_gp84,KGB39_gp84,CPT_Skate_059,-,-,-,superinfection immunity protein,protein-coding,-,-,-,superinfection immunity protein,20210502,-
2234035,64469001,KGB39_gp83,KGB39_gp83,CPT_Skate_060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64469002,KGB39_gp82,KGB39_gp82,CPT_Skate_061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64469003,KGB39_gp81,KGB39_gp81,CPT_Skate_062,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210502,-
2234035,64469004,KGB39_gp80,KGB39_gp80,CPT_Skate_063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64469005,KGB39_gp79,KGB39_gp79,CPT_Skate_064,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20210502,-
2234035,64469006,KGB39_gp78,KGB39_gp78,CPT_Skate_065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64469007,KGB39_gp77,KGB39_gp77,CPT_Skate_066,-,-,-,NlpC-P60 protein,protein-coding,-,-,-,NlpC-P60 protein,20210502,-
2234035,64469008,KGB39_gp76,KGB39_gp76,CPT_Skate_067,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210502,-
2234035,64469009,KGB39_gp75,KGB39_gp75,CPT_Skate_068,-,-,-,tail spike,protein-coding,-,-,-,tail spike,20210502,-
2234035,64469010,KGB39_gp74,KGB39_gp74,CPT_Skate_069,-,-,-,single-stranded DNA binding protein,protein-coding,-,-,-,single-stranded DNA binding protein,20210502,-
2234035,64469011,KGB39_gp73,KGB39_gp73,CPT_Skate_070,-,-,-,AAA domain protein,protein-coding,-,-,-,AAA domain protein,20210502,-
2234035,64469012,KGB39_gp72,KGB39_gp72,CPT_Skate_071,-,-,-,exonuclease VIII,protein-coding,-,-,-,exonuclease VIII,20210502,-
2234035,64469013,KGB39_gp71,KGB39_gp71,CPT_Skate_072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64469014,KGB39_gp70,KGB39_gp70,CPT_Skate_073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64469015,KGB39_gp69,KGB39_gp69,CPT_Skate_074,-,-,-,ATP-dependent helicase,protein-coding,-,-,-,ATP-dependent helicase,20210502,-
2234035,64469016,KGB39_gp68,KGB39_gp68,CPT_Skate_075,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20210502,-
2234035,64469017,KGB39_gp67,KGB39_gp67,CPT_Skate_076,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210502,-
2234035,64469018,KGB39_gp66,KGB39_gp66,CPT_Skate_077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64469019,KGB39_gp65,KGB39_gp65,CPT_Skate_078,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64469020,KGB39_gp64,KGB39_gp64,CPT_Skate_079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64469021,KGB39_gp63,KGB39_gp63,CPT_Skate_080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64469022,KGB39_gp62,KGB39_gp62,CPT_Skate_081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64469023,KGB39_gp61,KGB39_gp61,CPT_Skate_082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64469024,KGB39_gp60,KGB39_gp60,CPT_Skate_083,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210502,-
2234035,64469025,KGB39_gp59,KGB39_gp59,CPT_Skate_084,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64469026,KGB39_gp58,KGB39_gp58,CPT_Skate_085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64469027,KGB39_gp57,KGB39_gp57,CPT_Skate_086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64469028,KGB39_gp56,KGB39_gp56,CPT_Skate_087,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210502,-
2234035,64469029,KGB39_gp55,KGB39_gp55,CPT_Skate_088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64469030,KGB39_gp54,KGB39_gp54,CPT_Skate_089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64469031,KGB39_gp53,KGB39_gp53,CPT_Skate_090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64469032,KGB39_gp90,KGB39_gp90,CPT_Skate_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2234035,64469033,KGB39_gp01,KGB39_gp01,CPT_Skate_001,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20210502,-
2234035,64470439,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210503,-
