#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2743781,65127089,KNV10_gp02,KNV10_gp02,elemo79Aphanotate_2,-,-,-,A1-like protein,protein-coding,-,-,-,A1-like protein,20210608,-
2743781,65127090,KNV10_gp03,KNV10_gp03,elemo79Aphanotate_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127091,KNV10_gp04,KNV10_gp04,elemo79Aphanotate_4,-,-,-,protein of unknown function DUF1064,protein-coding,-,-,-,protein of unknown function DUF1064,20210608,-
2743781,65127092,KNV10_gp05,KNV10_gp05,elemo79Aphanotate_5,-,-,-,L-ribulose-5-phosphate 3-epimerase,protein-coding,-,-,-,L-ribulose-5-phosphate 3-epimerase,20210608,-
2743781,65127093,KNV10_gp06,KNV10_gp06,elemo79Aphanotate_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127094,KNV10_gp07,KNV10_gp07,elemo79Aphanotate_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127095,KNV10_gp08,KNV10_gp08,elemo79Aphanotate_8,-,-,-,dihydroorotase,protein-coding,-,-,-,dihydroorotase,20210608,-
2743781,65127096,KNV10_gp09,KNV10_gp09,elemo79Aphanotate_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127097,KNV10_gp10,KNV10_gp10,elemo79Aphanotate_10,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210608,-
2743781,65127098,KNV10_gp11,KNV10_gp11,elemo79Aphanotate_11,-,-,-,calcineurin-like phosphoesterase,protein-coding,-,-,-,calcineurin-like phosphoesterase,20210608,-
2743781,65127099,KNV10_gp12,KNV10_gp12,elemo79Aphanotate_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127100,KNV10_gp13,KNV10_gp13,elemo79Aphanotate_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127101,KNV10_gp14,KNV10_gp14,elemo79Aphanotate_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127102,KNV10_gp15,KNV10_gp15,elemo79Aphanotate_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127103,KNV10_gp16,KNV10_gp16,elemo79Aphanotate_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127104,KNV10_gp17,KNV10_gp17,elemo79Aphanotate_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127105,KNV10_gp18,KNV10_gp18,elemo79Aphanotate_18,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20210608,-
2743781,65127106,KNV10_gp19,KNV10_gp19,elemo79Aphanotate_19,-,-,-,replication protein,protein-coding,-,-,-,replication protein,20210608,-
2743781,65127107,KNV10_gp20,KNV10_gp20,elemo79Aphanotate_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127108,KNV10_gt01,KNV10_gt01,elemo79Aphanotate_tRNA1,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2743781,65127109,KNV10_gp89,KNV10_gp89,elemo79Aphanotate_22,-,-,-,"ABC-type histidine transport system, ATPase component",protein-coding,-,-,-,"ABC-type histidine transport system, ATPase component",20210608,-
2743781,65127110,KNV10_gp88,KNV10_gp88,elemo79Aphanotate_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127111,KNV10_gp87,KNV10_gp87,elemo79Aphanotate_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127112,KNV10_gp86,KNV10_gp86,elemo79Aphanotate_25,-,-,-,5'-3' exonuclease,protein-coding,-,-,-,5'-3' exonuclease,20210608,-
2743781,65127113,KNV10_gp85,KNV10_gp85,elemo79Aphanotate_26,-,-,-,ERF superfamily protein,protein-coding,-,-,-,ERF superfamily protein,20210608,-
2743781,65127114,KNV10_gp84,KNV10_gp84,elemo79Aphanotate_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127115,KNV10_gp83,KNV10_gp83,elemo79Aphanotate_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127116,KNV10_gp82,KNV10_gp82,elemo79Aphanotate_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127117,KNV10_gp81,KNV10_gp81,elemo79Aphanotate_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127118,KNV10_gp80,KNV10_gp80,elemo79Aphanotate_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127119,KNV10_gp79,KNV10_gp79,elemo79Aphanotate_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127120,KNV10_gp78,KNV10_gp78,elemo79Aphanotate_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743781,65127121,KNV10_gp77,KNV10_gp77,elemo79Aphanotate_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
