#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1414739,18503100,SHOU24_02,SHOU24_02,-,-,-,-,PhoH,protein-coding,-,-,-,PhoH,20201221,-
1414739,18503101,SHOU24_03,SHOU24_03,-,-,-,-,1-deoxy-D-xylulose-5-phosphate synthase,protein-coding,-,-,-,1-deoxy-D-xylulose-5-phosphate synthase,20201221,-
1414739,18503102,SHOU24_04,SHOU24_04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503103,SHOU24_05,SHOU24_05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503104,SHOU24_06,SHOU24_06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503105,SHOU24_07,SHOU24_07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503106,SHOU24_08,SHOU24_08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503107,SHOU24_09,SHOU24_09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503108,SHOU24_10,SHOU24_10,-,-,-,-,putative DNA ligase (ATP),protein-coding,-,-,-,putative DNA ligase (ATP),20201221,-
1414739,18503109,SHOU24_11,SHOU24_11,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20201221,-
1414739,18503110,SHOU24_12,SHOU24_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503111,SHOU24_13,SHOU24_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503112,SHOU24_14,SHOU24_14,-,-,-,-,recombinase,protein-coding,-,-,-,recombinase,20201221,-
1414739,18503113,SHOU24_15,SHOU24_15,-,-,-,-,3'-5' exonuclease,protein-coding,-,-,-,3'-5' exonuclease,20201221,-
1414739,18503114,SHOU24_16,SHOU24_16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503115,SHOU24_17,SHOU24_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503116,SHOU24_18,SHOU24_18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503117,SHOU24_19,SHOU24_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503118,SHOU24_20,SHOU24_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414739,18503119,SHOU24_21,SHOU24_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
