#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2163889,65112030,KNT85_gp002,KNT85_gp002,-,-,-,-,rIIA lysis inhibitor,protein-coding,-,-,-,rIIA lysis inhibitor,20210607,-
2163889,65112031,KNT85_gp003,KNT85_gp003,-,-,-,-,rIIB protector from prophage-induced early lysis,protein-coding,-,-,-,rIIB protector from prophage-induced early lysis,20210607,-
2163889,65112032,KNT85_gp004,KNT85_gp004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112033,KNT85_gp005,KNT85_gp005,-,-,-,-,endonuclease IV,protein-coding,-,-,-,endonuclease IV,20210607,-
2163889,65112034,KNT85_gp006,KNT85_gp006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112035,KNT85_gp007,KNT85_gp007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112036,KNT85_gp008,KNT85_gp008,-,-,-,-,putative periplasmic protein,protein-coding,-,-,-,putative periplasmic protein,20210607,-
2163889,65112037,KNT85_gp009,KNT85_gp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112038,KNT85_gp010,KNT85_gp010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112039,KNT85_gp011,KNT85_gp011,-,-,-,-,putative nuclear disruption protein,protein-coding,-,-,-,putative nuclear disruption protein,20210607,-
2163889,65112040,KNT85_gp012,KNT85_gp012,-,-,-,-,putative DNA topoisomerase subunit,protein-coding,-,-,-,putative DNA topoisomerase subunit,20210607,-
2163889,65112041,KNT85_gp013,KNT85_gp013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112042,KNT85_gp014,KNT85_gp014,-,-,-,-,transcriptional regulator of middle promoters,protein-coding,-,-,-,transcriptional regulator of middle promoters,20210607,-
2163889,65112043,KNT85_gp015,KNT85_gp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112044,KNT85_gp016,KNT85_gp016,-,-,-,-,anti-restriction nuclease,protein-coding,-,-,-,anti-restriction nuclease,20210607,-
2163889,65112045,KNT85_gp017,KNT85_gp017,-,-,-,-,anti-restriction nuclease,protein-coding,-,-,-,anti-restriction nuclease,20210607,-
2163889,65112046,KNT85_gp018,KNT85_gp018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163889,65112047,KNT85_gp019,KNT85_gp019,-,-,-,-,inhibitor of MrcBC restriction endonuclease,protein-coding,-,-,-,inhibitor of MrcBC restriction endonuclease,20210607,-
2163889,65112048,KNT85_gp020,KNT85_gp020,-,-,-,-,anti-sigma factor,protein-coding,-,-,-,anti-sigma factor,20210607,-
2163889,65112049,KNT85_gp021,KNT85_gp021,-,-,-,-,anti-sigma factor,protein-coding,-,-,-,anti-sigma factor,20210612,-
2163889,65112050,KNT85_gp022,KNT85_gp022,-,-,-,-,holin,protein-coding,-,-,-,holin,20210607,-
2163889,65112051,KNT85_gp023,KNT85_gp023,-,-,-,-,tail fiber/host adhesion protein,protein-coding,-,-,-,tail fiber/host adhesion protein,20210607,-
2163889,65112052,KNT85_gp024,KNT85_gp024,-,-,-,-,long tail fiber distal subunit,protein-coding,-,-,-,long tail fiber distal subunit,20210607,-
2163889,65112053,KNT85_gp025,KNT85_gp025,-,-,-,-,distal hinge connector of long tail fiber,protein-coding,-,-,-,distal hinge connector of long tail fiber,20210607,-
2163889,65112054,KNT85_gp026,KNT85_gp026,-,-,-,-,proximal hinge connector of long tail fiber,protein-coding,-,-,-,proximal hinge connector of long tail fiber,20210607,-
