#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1806636,26974136,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200520,-
1806636,41700630,EXI88_gp5,EXI88_gp5,-,-,-,-,GP4 protein,protein-coding,-,-,-,GP4 protein,20200516,-
1806636,41700631,EXI88_gp6,EXI88_gp6,-,-,-,-,GP5 protein,protein-coding,-,-,-,GP5 protein,20200516,-
1806636,41700632,EXI88_gp7,EXI88_gp7,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200516,-
1806636,41700633,EXI88_gp8,EXI88_gp8,-,-,-,-,nucleocapsid protein,protein-coding,-,-,-,nucleocapsid protein,20200516,-
1806636,41700634,EXI88_gp2,EXI88_gp2,-,-,-,-,ORF2b,protein-coding,-,-,-,ORF2b,20200516,-
1806636,41700635,EXI88_gp3,EXI88_gp3,-,-,-,-,GP2 protein,protein-coding,-,-,-,GP2 protein,20200516,-
1806636,41700636,EXI88_gp4,EXI88_gp4,-,-,-,-,GP3 protein,protein-coding,-,-,-,GP3 protein,20200516,-
1806636,41700637,EXI88_gp1,EXI88_gp1,-,-,-,-,ORF1ab polyprotein,protein-coding,-,-,-,ORF1ab polyprotein,20200516,-
1806636,55060211,HO261_gp2,HO261_gp2,-,-,-,-,GP2 protein,protein-coding,-,-,-,GP2 protein,20210403,-
1806636,55060212,HO261_gp3,HO261_gp3,-,-,-,-,ORF2b,protein-coding,-,-,-,ORF2b,20210403,-
1806636,55060213,HO261_gp4,HO261_gp4,-,-,-,-,GP3 protein,protein-coding,-,-,-,GP3 protein,20210403,-
1806636,55060214,HO261_gp5,HO261_gp5,-,-,-,-,GP4 protein,protein-coding,-,-,-,GP4 protein,20210403,-
1806636,55060215,HO261_gp6,HO261_gp6,-,-,-,-,GP5 protein,protein-coding,-,-,-,GP5 protein,20210403,-
1806636,55060216,HO261_gp7,HO261_gp7,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210403,-
1806636,55060217,HO261_gp8,HO261_gp8,-,-,-,-,nucleocapsid protein,protein-coding,-,-,-,nucleocapsid protein,20210403,-
1806636,55060218,HO261_gp1,HO261_gp1,-,-,-,-,ORF1ab polyprotein,protein-coding,-,-,-,ORF1ab polyprotein,20210403,-
