#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1089108,18564760,2,VISTA_2,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20210123,-
1089108,18564761,3,VISTA_3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564762,4,VISTA_4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564763,5,VISTA_5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564764,6,VISTA_6,-,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210212,-
1089108,18564765,7,VISTA_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1089108,18564766,8,VISTA_8,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201220,-
1089108,18564767,9,VISTA_9,-,-,-,-,capsid maturation protease and MuF-like fusion protein,protein-coding,-,-,-,capsid maturation protease and MuF-like fusion protein,20201220,-
1089108,18564768,10,VISTA_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1089108,18564769,11,VISTA_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564770,12,VISTA_12,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210212,-
1089108,18564771,13,VISTA_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564772,14,VISTA_14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564773,15,VISTA_15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564774,16,VISTA_16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564775,17,VISTA_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089108,18564776,18,VISTA_18,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201220,-
1089108,18564777,19,VISTA_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
