#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2767576,64470641,KGG72_gp02,KGG72_gp02,CPT_Salutena_002,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210529,-
2767576,64470642,KGG72_gp03,KGG72_gp03,CPT_Salutena_003,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210505,-
2767576,64470643,KGG72_gp04,KGG72_gp04,CPT_Salutena_004,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210505,-
2767576,64470644,KGG72_gp05,KGG72_gp05,CPT_Salutena_005,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210505,-
2767576,64470645,KGG72_gp06,KGG72_gp06,CPT_Salutena_006,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20210529,-
2767576,64470646,KGG72_gp07,KGG72_gp07,CPT_Salutena_007,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20210505,-
2767576,64470647,KGG72_gp08,KGG72_gp08,CPT_Salutena_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2767576,64470648,KGG72_gp09,KGG72_gp09,CPT_Salutena_009,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20210505,-
2767576,64470649,KGG72_gp10,KGG72_gp10,CPT_Salutena_010,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210505,-
2767576,64470650,KGG72_gp11,KGG72_gp11,CPT_Salutena_012,-,-,-,tape measure chaperone,protein-coding,-,-,-,tape measure chaperone,20210505,-
2767576,64470651,KGG72_gp13,KGG72_gp13,CPT_Salutena_013,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210529,-
2767576,64470652,KGG72_gp12,KGG72_gp12,CPT_Salutena_011,-,-,-,tape measure chaperone,protein-coding,-,-,-,tape measure chaperone,20210505,-
2767576,64470653,KGG72_gp14,KGG72_gp14,CPT_Salutena_014,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210529,-
2767576,64470654,KGG72_gp15,KGG72_gp15,CPT_Salutena_015,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210529,-
2767576,64470655,KGG72_gp16,KGG72_gp16,CPT_Salutena_016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470656,KGG72_gp17,KGG72_gp17,CPT_Salutena_017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767576,64470657,KGG72_gp18,KGG72_gp18,CPT_Salutena_018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
