#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
599903,33904417,CKX67_mgr01,CKX67_mgr01,-,-,MT,-,12S ribosomal RNA,rRNA,-,-,-,-,20170829,-
599903,33904418,CYTB,CKX67_mgp13,-,-,MT,-,cytochrome b,protein-coding,-,-,-,-,20170923,-
599903,33904419,ND6,CKX67_mgp12,-,-,MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,-,20170923,-
599903,33904420,ND3,CKX67_mgp11,-,-,MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,-,20170923,-
599903,33904421,ND4L,CKX67_mgp10,-,-,MT,-,NADH dehydrogenase subunit 4L,protein-coding,-,-,-,-,20170923,-
599903,33904422,MutS,CKX67_mgp09,-,-,MT,-,MutS-like protein,protein-coding,-,-,-,-,20170923,-
599903,33904423,CKX67_mgr02,CKX67_mgr02,-,-,MT,-,16S ribosomal RNA,rRNA,-,-,-,-,20170829,-
599903,33904424,ND5,CKX67_mgp07,-,-,MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,-,20170923,-
599903,33904425,ND4,CKX67_mgp06,-,-,MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,-,20170923,-
599903,33904426,CKX67_mgt01,CKX67_mgt01,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170829,-
599903,33904427,ATP6,CKX67_mgp04,-,-,MT,-,ATP synthase F0 subunit 6,protein-coding,-,-,-,-,20170923,-
599903,33904428,ATP8,CKX67_mgp03,-,-,MT,-,ATP synthase F0 subunit 8,protein-coding,-,-,-,-,20170923,-
599903,33904429,COX2,CKX67_mgp02,-,-,MT,-,cytochrome c oxidase subunit II,protein-coding,-,-,-,-,20170923,-
599903,33904430,ND1,CKX67_mgp14,-,-,MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,-,20170923,-
599903,33904431,ND2,CKX67_mgp08,-,-,MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,-,20170923,-
599903,33904432,COX3,CKX67_mgp05,-,-,MT,-,cytochrome c oxidase subunit III,protein-coding,-,-,-,-,20170923,-
599903,33904433,COX1,CKX67_mgp01,-,-,MT,-,cytochrome c oxidase subunit I,protein-coding,-,-,-,-,20170923,-
