#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1527463,23680658,PBI_CERASUM_2,PBI_CERASUM_2,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200629,-
1527463,23680659,PBI_CERASUM_3,PBI_CERASUM_3,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1527463,23680660,PBI_CERASUM_4,PBI_CERASUM_4,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210529,-
1527463,23680661,PBI_CERASUM_5,PBI_CERASUM_5,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200629,-
1527463,23680662,PBI_CERASUM_6,PBI_CERASUM_6,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200629,-
1527463,23680663,PBI_CERASUM_7,PBI_CERASUM_7,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
1527463,23680664,PBI_CERASUM_8,PBI_CERASUM_8,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200629,-
1527463,23680665,PBI_CERASUM_9,PBI_CERASUM_9,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200629,-
1527463,23680666,PBI_CERASUM_10,PBI_CERASUM_10,-,-,-,-,HK97 gp10 familygprotein,protein-coding,-,-,-,HK97 gp10 familygprotein,20210406,-
1527463,23680667,PBI_CERASUM_11,PBI_CERASUM_11,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200629,-
1527463,23680668,PBI_CERASUM_12,PBI_CERASUM_12,-,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20200629,-
1527463,23680669,PBI_CERASUM_14,PBI_CERASUM_14,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200629,-
1527463,23680670,PBI_CERASUM_15,PBI_CERASUM_15,-,-,-,-,tapemeasure,protein-coding,-,-,-,tapemeasure,20210529,-
1527463,23680671,PBI_CERASUM_13,PBI_CERASUM_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200629,-
1527463,23680672,PBI_CERASUM_16,PBI_CERASUM_16,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1527463,23680673,PBI_CERASUM_17,PBI_CERASUM_17,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1527463,23680674,PBI_CERASUM_18,PBI_CERASUM_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1527463,23680675,PBI_CERASUM_19,PBI_CERASUM_19,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1527463,23680676,PBI_CERASUM_20,PBI_CERASUM_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680677,PBI_CERASUM_21,PBI_CERASUM_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680678,PBI_CERASUM_22,PBI_CERASUM_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680679,PBI_CERASUM_23,PBI_CERASUM_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680680,PBI_CERASUM_24,PBI_CERASUM_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680681,PBI_CERASUM_25,PBI_CERASUM_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680682,PBI_CERASUM_26,PBI_CERASUM_26,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200629,-
1527463,23680683,PBI_CERASUM_27,PBI_CERASUM_27,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200629,-
1527463,23680684,PBI_CERASUM_28,PBI_CERASUM_28,-,-,-,-,holin,protein-coding,-,-,-,holin,20200629,-
1527463,23680685,PBI_CERASUM_29,PBI_CERASUM_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680686,PBI_CERASUM_30,PBI_CERASUM_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680687,PBI_CERASUM_31,PBI_CERASUM_31,-,-,-,-,Dna-Q like exonuclease,protein-coding,-,-,-,Dna-Q like exonuclease,20200629,-
1527463,23680688,PBI_CERASUM_32,PBI_CERASUM_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680689,PBI_CERASUM_33,PBI_CERASUM_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680690,PBI_CERASUM_34,PBI_CERASUM_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680691,PBI_CERASUM_35,PBI_CERASUM_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680692,PBI_CERASUM_36,PBI_CERASUM_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1527463,23680693,PBI_CERASUM_37,PBI_CERASUM_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
