#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2315616,60321072,2,I5G60_gp02,SEA_SAGUARO_2,-,-,-,queuine tRNA-ribosyltransferase,protein-coding,-,-,-,queuine tRNA-ribosyltransferase,20201129,-
2315616,60321073,3,I5G60_gp03,SEA_SAGUARO_3,-,-,-,QueC-like queosine biosynthesis protein,protein-coding,-,-,-,QueC-like queosine biosynthesis protein,20210424,-
2315616,60321074,4,I5G60_gp04,SEA_SAGUARO_4,-,-,-,QueD-like queosine biosynthesis protein,protein-coding,-,-,-,QueD-like queosine biosynthesis protein,20210424,-
2315616,60321075,5,I5G60_gp05,SEA_SAGUARO_5,-,-,-,QueE-like queosine biosynthesis protein,protein-coding,-,-,-,QueE-like queosine biosynthesis protein,20210424,-
2315616,60321076,6,I5G60_gp06,SEA_SAGUARO_6,-,-,-,GTP cyclohydrolase I,protein-coding,-,-,-,GTP cyclohydrolase I,20210424,-
2315616,60321077,7,I5G60_gp07,SEA_SAGUARO_7,-,-,-,adenylate kinase,protein-coding,-,-,-,adenylate kinase,20210424,-
2315616,60321078,8,I5G60_gp08,SEA_SAGUARO_8,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2315616,60321079,9,I5G60_gp09,SEA_SAGUARO_9,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210424,-
2315616,60321080,10,I5G60_gp10,SEA_SAGUARO_10,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210424,-
2315616,60321081,11,I5G60_gp11,SEA_SAGUARO_11,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201129,-
2315616,60321082,12,I5G60_gp12,SEA_SAGUARO_12,-,-,-,capsid maturation protease and MuF-like fusion protein,protein-coding,-,-,-,capsid maturation protease and MuF-like fusion protein,20210424,-
2315616,60321083,13,I5G60_gp13,SEA_SAGUARO_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315616,60321084,14,I5G60_gp14,SEA_SAGUARO_14,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
