#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1087482,14675238,I133_gp268,I133_gp268,-,-,-,-,RIIA,protein-coding,-,-,-,RIIA,20201026,-
1087482,14675239,I133_gp142,I133_gp142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675240,I133_gt003,I133_gt003,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1087482,14675241,I133_gp141,I133_gp141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675242,I133_gp267,I133_gp267,-,-,-,-,RIIA.1,protein-coding,-,-,-,RIIA.1,20200909,-
1087482,14675243,I133_gp264,I133_gp264,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675244,I133_gp265,I133_gp265,-,-,-,-,DNA topoisomerase II large subunit C-terminal region,protein-coding,-,-,-,DNA topoisomerase II large subunit C-terminal region,20200926,-
1087482,14675245,I133_gp263,I133_gp263,-,-,-,-,DNA topoisomerase II large subunit C-terminal region,protein-coding,-,-,-,DNA topoisomerase II large subunit C-terminal region,20200926,-
1087482,14675246,I133_gp266,I133_gp266,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675247,I133_gp262,I133_gp262,-,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20201026,-
1087482,14675248,I133_gp261,I133_gp261,-,-,-,-,DNA topoisomerase II large subunit,protein-coding,-,-,-,DNA topoisomerase II large subunit,20201026,-
1087482,14675249,I133_gp260,I133_gp260,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675250,I133_gp259,I133_gp259,-,-,-,-,FmdB family putative regulatory protein,protein-coding,-,-,-,FmdB family putative regulatory protein,20200926,-
1087482,14675251,I133_gp258,I133_gp258,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675252,I133_gp257,I133_gp257,-,-,-,-,cef modifier of suppressor tRNAs,protein-coding,-,-,-,cef modifier of suppressor tRNAs,20200909,-
1087482,14675253,I133_gp256,I133_gp256,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675254,I133_gp255,I133_gp255,-,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20201026,-
1087482,14675255,I133_gp254,I133_gp254,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675256,I133_gp253,I133_gp253,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201026,-
1087482,14675257,I133_gp252,I133_gp252,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675258,I133_gp251,I133_gp251,-,-,-,-,anti-sigma factor,protein-coding,-,-,-,anti-sigma factor,20200909,-
1087482,14675259,I133_gp250,I133_gp250,-,-,-,-,ADP-rybosylase,protein-coding,-,-,-,ADP-rybosylase,20200909,-
1087482,14675260,I133_gp249,I133_gp249,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1087482,14675261,I133_gp248,I133_gp248,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
