#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2484216,60334869,3,I5H98_gp003,PBI_WHOUXPHF_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2484216,60334870,4,I5H98_gp004,PBI_WHOUXPHF_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2484216,60334871,5,I5H98_gp005,PBI_WHOUXPHF_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210424,-
2484216,60334872,6,I5H98_gp006,PBI_WHOUXPHF_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201129,-
2484216,60334873,7,I5H98_gp007,PBI_WHOUXPHF_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2484216,60334874,8,I5H98_gp008,PBI_WHOUXPHF_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2484216,60334875,9,I5H98_gp009,PBI_WHOUXPHF_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2484216,60334876,10,I5H98_gp010,PBI_WHOUXPHF_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2484216,60334877,11,I5H98_gp011,PBI_WHOUXPHF_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2484216,60334878,13,I5H98_gp012,PBI_WHOUXPHF_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2484216,60334879,14,I5H98_gp014,PBI_WHOUXPHF_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2484216,60334880,12,I5H98_gp013,PBI_WHOUXPHF_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2484216,60334881,15,I5H98_gp015,PBI_WHOUXPHF_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2484216,60334882,16,I5H98_gp016,PBI_WHOUXPHF_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2484216,60334883,17,I5H98_gp017,PBI_WHOUXPHF_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2484216,60334884,18,I5H98_gp018,PBI_WHOUXPHF_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2484216,60334885,19,I5H98_gp019,PBI_WHOUXPHF_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2484216,60334886,20,I5H98_gp020,PBI_WHOUXPHF_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2484216,60334887,21,I5H98_gp021,PBI_WHOUXPHF_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334888,22,I5H98_gp022,PBI_WHOUXPHF_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334889,23,I5H98_gp023,PBI_WHOUXPHF_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2484216,60334890,24,I5H98_gp024,PBI_WHOUXPHF_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334891,25,I5H98_gp025,PBI_WHOUXPHF_25,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20201129,-
2484216,60334892,26,I5H98_gp026,PBI_WHOUXPHF_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334893,27,I5H98_gp027,PBI_WHOUXPHF_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334894,29,I5H98_gp029,PBI_WHOUXPHF_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334895,30,I5H98_gp030,PBI_WHOUXPHF_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334896,31,I5H98_gp031,PBI_WHOUXPHF_31,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2484216,60334897,32,I5H98_gp032,PBI_WHOUXPHF_32,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2484216,60334898,33,I5H98_gp033,PBI_WHOUXPHF_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2484216,60334899,34,I5H98_gp034,PBI_WHOUXPHF_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210427,-
2484216,60334900,35,I5H98_gp035,PBI_WHOUXPHF_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334901,36,I5H98_gp036,PBI_WHOUXPHF_36,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210129,-
2484216,60334902,37,I5H98_gp037,PBI_WHOUXPHF_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334903,39,I5H98_gp039,PBI_WHOUXPHF_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334904,40,I5H98_gp040,PBI_WHOUXPHF_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334905,41,I5H98_gp041,PBI_WHOUXPHF_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334906,42,I5H98_gp042,PBI_WHOUXPHF_42,-,-,-,integrase,protein-coding,-,-,-,integrase,20210424,-
2484216,60334907,43,I5H98_gp043,PBI_WHOUXPHF_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334908,44,I5H98_gp044,PBI_WHOUXPHF_44,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210424,-
2484216,60334909,45,I5H98_gp045,PBI_WHOUXPHF_45,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210403,-
2484216,60334910,46,I5H98_gp046,PBI_WHOUXPHF_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334911,47,I5H98_gp047,PBI_WHOUXPHF_47,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210424,-
2484216,60334912,48,I5H98_gp048,PBI_WHOUXPHF_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334913,49,I5H98_gp049,PBI_WHOUXPHF_49,-,-,-,excise,protein-coding,-,-,-,excise,20210424,-
2484216,60334914,50,I5H98_gp050,PBI_WHOUXPHF_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334915,51,I5H98_gp051,PBI_WHOUXPHF_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334916,52,I5H98_gp052,PBI_WHOUXPHF_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334917,53,I5H98_gp053,PBI_WHOUXPHF_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2484216,60334918,54,I5H98_gp054,PBI_WHOUXPHF_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2484216,60334919,55,I5H98_gp055,PBI_WHOUXPHF_55,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210424,-
2484216,60334920,56,I5H98_gp056,PBI_WHOUXPHF_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2484216,60334921,57,I5H98_gp057,PBI_WHOUXPHF_57,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210406,-
2484216,60334922,58,I5H98_gp058,PBI_WHOUXPHF_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334923,59,I5H98_gp059,PBI_WHOUXPHF_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334924,60,I5H98_gp060,PBI_WHOUXPHF_60,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20201129,-
2484216,60334925,61,I5H98_gp061,PBI_WHOUXPHF_61,-,-,-,DNA recombinase,protein-coding,-,-,-,DNA recombinase,20210424,-
2484216,60334926,62,I5H98_gp062,PBI_WHOUXPHF_62,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2484216,60334927,63,I5H98_gp063,PBI_WHOUXPHF_63,-,-,-,helicase,protein-coding,-,-,-,helicase,20210424,-
2484216,60334928,64,I5H98_gp064,PBI_WHOUXPHF_64,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210424,-
2484216,60334929,65,I5H98_gp065,PBI_WHOUXPHF_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334930,66,I5H98_gp066,PBI_WHOUXPHF_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334931,67,I5H98_gp067,PBI_WHOUXPHF_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334932,68,I5H98_gp068,PBI_WHOUXPHF_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334933,69,I5H98_gp069,PBI_WHOUXPHF_69,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2484216,60334934,70,I5H98_gp070,PBI_WHOUXPHF_70,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210424,-
2484216,60334935,71,I5H98_gp071,PBI_WHOUXPHF_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334936,72,I5H98_gp072,PBI_WHOUXPHF_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334937,73,I5H98_gp073,PBI_WHOUXPHF_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334938,74,I5H98_gp074,PBI_WHOUXPHF_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334939,75,I5H98_gp075,PBI_WHOUXPHF_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334940,76,I5H98_gp076,PBI_WHOUXPHF_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334941,77,I5H98_gp077,PBI_WHOUXPHF_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334942,78,I5H98_gp078,PBI_WHOUXPHF_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334943,79,I5H98_gp079,PBI_WHOUXPHF_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334944,80,I5H98_gp080,PBI_WHOUXPHF_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334945,81,I5H98_gp081,PBI_WHOUXPHF_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334946,83,I5H98_gp083,PBI_WHOUXPHF_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2484216,60334947,84,I5H98_gp084,PBI_WHOUXPHF_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334948,85,I5H98_gp085,PBI_WHOUXPHF_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334949,86,I5H98_gp086,PBI_WHOUXPHF_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2484216,60334950,87,I5H98_gp087,PBI_WHOUXPHF_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334951,88,I5H98_gp088,PBI_WHOUXPHF_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334952,89,I5H98_gp089,PBI_WHOUXPHF_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334953,90,I5H98_gp090,PBI_WHOUXPHF_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334954,91,I5H98_gp091,PBI_WHOUXPHF_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334955,93,I5H98_gp093,PBI_WHOUXPHF_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334956,95,I5H98_gp095,PBI_WHOUXPHF_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334957,96,I5H98_gp096,PBI_WHOUXPHF_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334958,98,I5H98_gp098,PBI_WHOUXPHF_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334959,99,I5H98_gp099,PBI_WHOUXPHF_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334960,100,I5H98_gp100,PBI_WHOUXPHF_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334961,101,I5H98_gp101,PBI_WHOUXPHF_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334962,102,I5H98_gp102,PBI_WHOUXPHF_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334963,103,I5H98_gp103,PBI_WHOUXPHF_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334964,104,I5H98_gp104,PBI_WHOUXPHF_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334965,105,I5H98_gp105,PBI_WHOUXPHF_105,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2484216,60334966,106,I5H98_gp106,PBI_WHOUXPHF_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2484216,60334967,107,I5H98_gp107,PBI_WHOUXPHF_107,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2484216,60334968,108,I5H98_gp108,PBI_WHOUXPHF_108,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210406,-
2484216,60334969,2,I5H98_gp002,PBI_WHOUXPHF_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210424,-
