#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1150990,14013997,F418_p01,F418_p01,-,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20201221,-
1150990,14013998,F418_p02,F418_p02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14013999,F418_p03,F418_p03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014000,F418_p04,F418_p04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014001,F418_p05,F418_p05,-,-,-,-,ssDNA-binding protein,protein-coding,-,-,-,ssDNA-binding protein,20201221,-
1150990,14014002,F418_gp07,F418_gp07,-,-,-,-,DNA polymerase I family A,protein-coding,-,-,-,DNA polymerase I family A,20201221,-
1150990,14014003,F418_p06,F418_p06,-,-,-,-,VRR-NUC domain protein,protein-coding,-,-,-,VRR-NUC domain protein,20201221,-
1150990,14014004,F418_p07,F418_p07,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201221,-
1150990,14014005,F418_p08,F418_p08,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1150990,14014006,F418_gp11,F418_gp11,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1150990,14014007,F418_p09,F418_p09,-,-,-,-,head-to-tail joining protein,protein-coding,-,-,-,head-to-tail joining protein,20201221,-
1150990,14014008,F418_p10,F418_p10,-,-,-,-,"phage portal protein, lambda family",protein-coding,-,-,-,"phage portal protein, lambda family",20201221,-
1150990,14014009,F418_p11,F418_p11,-,-,-,-,prohead protease,protein-coding,-,-,-,prohead protease,20201221,-
1150990,14014010,F418_p12,F418_p12,-,-,-,-,phage structural protein,protein-coding,-,-,-,phage structural protein,20201221,-
1150990,14014011,F418_p14,F418_p14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014012,F418_p15,F418_p15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014013,F418_p16,F418_p16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014014,F418_p18,F418_p18,-,-,-,-,phage structural protein,protein-coding,-,-,-,phage structural protein,20201221,-
1150990,14014015,F418_p20,F418_p20,-,-,-,-,putative tail related protein,protein-coding,-,-,-,putative tail related protein,20201221,-
1150990,14014016,F418_gp24,F418_gp24,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1150990,14014017,F418_p21,F418_p21,-,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20201221,-
1150990,14014018,F418_p22,F418_p22,-,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20201221,-
1150990,14014019,F418_p23,F418_p23,-,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20201221,-
1150990,14014020,F418_p24,F418_p24,-,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20201221,-
1150990,14014021,F418_p25,F418_p25,-,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20201221,-
1150990,14014022,F418_gp30,F418_gp30,-,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20201221,-
1150990,14014023,F418_p26,F418_p26,-,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20201221,-
1150990,14014024,F418_p27,F418_p27,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20201221,-
1150990,14014025,F418_p28,F418_p28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014026,F418_p29,F418_p29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014027,F418_p30,F418_p30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014028,F418_p31,F418_p31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014029,F418_gp37,F418_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150990,14014030,F418_p32,F418_p32,-,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1150990,14014031,F418_p33,F418_p33,-,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20201221,-
1150990,14014032,F418_p34,F418_p34,-,-,-,-,putative Rz protein,protein-coding,-,-,-,putative Rz protein,20201221,-
