#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1527512,23679057,2,PBI_SQUIRTY_2,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1527512,23679058,3,PBI_SQUIRTY_3,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1527512,23679059,4,PBI_SQUIRTY_4,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1527512,23679060,5,PBI_SQUIRTY_5,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1527512,23679061,6,PBI_SQUIRTY_6,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1527512,23679062,7,PBI_SQUIRTY_7,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1527512,23679063,8,PBI_SQUIRTY_8,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
1527512,23679064,9,PBI_SQUIRTY_9,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201221,-
1527512,23679065,10,PBI_SQUIRTY_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1527512,23679066,11,PBI_SQUIRTY_11,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201221,-
1527512,23679067,12,PBI_SQUIRTY_12,-,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201221,-
1527512,23679068,14,PBI_SQUIRTY_14,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1527512,23679069,15,PBI_SQUIRTY_15,-,-,-,-,tapemeasure,protein-coding,-,-,-,tapemeasure,20201221,-
1527512,23679070,13,PBI_SQUIRTY_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1527512,23679071,16,PBI_SQUIRTY_16,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1527512,23679072,17,PBI_SQUIRTY_17,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1527512,23679073,18,PBI_SQUIRTY_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1527512,23679074,19,PBI_SQUIRTY_19,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1527512,23679075,20,PBI_SQUIRTY_20,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1527512,23679076,21,PBI_SQUIRTY_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679077,22,PBI_SQUIRTY_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679078,23,PBI_SQUIRTY_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679079,24,PBI_SQUIRTY_24,-,-,-,-,antitoxin of toxin-antitoxin stability system,protein-coding,-,-,-,antitoxin of toxin-antitoxin stability system,20201221,-
1527512,23679080,25,PBI_SQUIRTY_25,-,-,-,-,cytotoxic translational repressor of toxin-antitoxin stability system,protein-coding,-,-,-,cytotoxic translational repressor of toxin-antitoxin stability system,20201221,-
1527512,23679081,26,PBI_SQUIRTY_26,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1527512,23679082,27,PBI_SQUIRTY_27,-,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1527512,23679083,28,PBI_SQUIRTY_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679084,29,PBI_SQUIRTY_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679085,30,PBI_SQUIRTY_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679086,31,PBI_SQUIRTY_31,-,-,-,-,RecG-like DNA helicase,protein-coding,-,-,-,RecG-like DNA helicase,20201221,-
1527512,23679087,32,PBI_SQUIRTY_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679088,33,PBI_SQUIRTY_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679089,34,PBI_SQUIRTY_34,-,-,-,-,non-functional integrase,protein-coding,-,-,-,non-functional integrase,20201221,-
1527512,23679090,35,PBI_SQUIRTY_35,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20201221,-
1527512,23679091,36,PBI_SQUIRTY_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679092,37,PBI_SQUIRTY_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679093,38,PBI_SQUIRTY_38,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201221,-
1527512,23679094,39,PBI_SQUIRTY_39,-,-,-,-,CRO protein,protein-coding,-,-,-,CRO protein,20201221,-
1527512,23679095,40,PBI_SQUIRTY_40,-,-,-,-,putative antirepressor,protein-coding,-,-,-,putative antirepressor,20210424,-
1527512,23679096,41,PBI_SQUIRTY_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679097,42,PBI_SQUIRTY_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679098,43,PBI_SQUIRTY_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679099,44,PBI_SQUIRTY_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679100,45,PBI_SQUIRTY_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679101,46,PBI_SQUIRTY_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527512,23679102,47,PBI_SQUIRTY_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
