#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1647285,28801052,BH789_gp002,BH789_gp002,GMA6_2,-,-,-,putative small terminase subunit,protein-coding,-,-,-,putative small terminase subunit,20201221,-
1647285,28801053,BH789_gp003,BH789_gp003,GMA6_3,-,-,-,putative large terminase subunit,protein-coding,-,-,-,putative large terminase subunit,20201221,-
1647285,28801054,BH789_gp004,BH789_gp004,GMA6_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801055,BH789_gp005,BH789_gp005,GMA6_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801056,BH789_gp006,BH789_gp006,GMA6_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801057,BH789_gp007,BH789_gp007,GMA6_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801058,BH789_gp008,BH789_gp008,GMA6_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801059,BH789_gp009,BH789_gp009,GMA6_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801060,BH789_gp010,BH789_gp010,GMA6_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801061,BH789_gp011,BH789_gp011,GMA6_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801062,BH789_gp012,BH789_gp012,GMA6_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801063,BH789_gp013,BH789_gp013,GMA6_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801064,BH789_gp014,BH789_gp014,GMA6_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801065,BH789_gp015,BH789_gp015,GMA6_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801066,BH789_gp016,BH789_gp016,GMA6_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801067,BH789_gp017,BH789_gp017,GMA6_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801068,BH789_gp018,BH789_gp018,GMA6_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801069,BH789_gp019,BH789_gp019,GMA6_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801070,BH789_gp020,BH789_gp020,GMA6_20,-,-,-,putative capsid structural protein,protein-coding,-,-,-,putative capsid structural protein,20201221,-
1647285,28801071,BH789_gp021,BH789_gp021,GMA6_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801072,BH789_gp022,BH789_gp022,GMA6_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801073,BH789_gp023,BH789_gp023,GMA6_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801074,BH789_gp024,BH789_gp024,GMA6_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801075,BH789_gp025,BH789_gp025,GMA6_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801076,BH789_gp026,BH789_gp026,GMA6_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801077,BH789_gp027,BH789_gp027,GMA6_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801078,BH789_gp028,BH789_gp028,GMA6_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801079,BH789_gp029,BH789_gp029,GMA6_29,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
1647285,28801080,BH789_gp030,BH789_gp030,GMA6_30,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20201221,-
1647285,28801081,BH789_gp031,BH789_gp031,GMA6_32,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20201221,-
1647285,28801082,BH789_gp033,BH789_gp033,GMA6_33,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20201221,-
1647285,28801083,BH789_gp032,BH789_gp032,GMA6_31,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20201221,-
1647285,28801084,BH789_gp034,BH789_gp034,GMA6_34,-,-,-,putative lysin,protein-coding,-,-,-,putative lysin,20201221,-
1647285,28801085,BH789_gp035,BH789_gp035,GMA6_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801086,BH789_gp036,BH789_gp036,GMA6_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801087,BH789_gp037,BH789_gp037,GMA6_37,-,-,-,putative hydrolase,protein-coding,-,-,-,putative hydrolase,20201221,-
1647285,28801088,BH789_gp038,BH789_gp038,GMA6_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801089,BH789_gp039,BH789_gp039,GMA6_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801090,BH789_gp040,BH789_gp040,GMA6_40,-,-,-,putative lysozyme,protein-coding,-,-,-,putative lysozyme,20201221,-
1647285,28801091,BH789_gp041,BH789_gp041,GMA6_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801092,BH789_gp042,BH789_gp042,GMA6_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801093,BH789_gp043,BH789_gp043,GMA6_43,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
1647285,28801094,BH789_gp044,BH789_gp044,GMA6_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801095,BH789_gp045,BH789_gp045,GMA6_45,-,-,-,putative lysin,protein-coding,-,-,-,putative lysin,20201221,-
1647285,28801096,BH789_gp046,BH789_gp046,GMA6_46,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1647285,28801097,BH789_gp047,BH789_gp047,GMA6_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801098,BH789_gp048,BH789_gp048,GMA6_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801099,BH789_gp049,BH789_gp049,GMA6_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801100,BH789_gp050,BH789_gp050,GMA6_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801101,BH789_gp051,BH789_gp051,GMA6_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801102,BH789_gp052,BH789_gp052,GMA6_52,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20201221,-
1647285,28801103,BH789_gp053,BH789_gp053,GMA6_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801104,BH789_gp054,BH789_gp054,GMA6_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801105,BH789_gp055,BH789_gp055,GMA6_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801106,BH789_gp056,BH789_gp056,GMA6_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801107,BH789_gp057,BH789_gp057,GMA6_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801108,BH789_gp058,BH789_gp058,GMA6_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801109,BH789_gp059,BH789_gp059,GMA6_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801110,BH789_gp060,BH789_gp060,GMA6_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801111,BH789_gp061,BH789_gp061,GMA6_61,-,-,-,ATPase family protein,protein-coding,-,-,-,ATPase family protein,20201221,-
1647285,28801112,BH789_gp062,BH789_gp062,GMA6_62,-,-,-,putative von Willebrand factor protein,protein-coding,-,-,-,putative von Willebrand factor protein,20201221,-
1647285,28801113,BH789_gp063,BH789_gp063,GMA6_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801114,BH789_gp064,BH789_gp064,GMA6_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801115,BH789_gp065,BH789_gp065,GMA6_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801116,BH789_gp066,BH789_gp066,GMA6_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801117,BH789_gp067,BH789_gp067,GMA6_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801118,BH789_gp068,BH789_gp068,GMA6_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801119,BH789_gp069,BH789_gp069,GMA6_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801120,BH789_gp070,BH789_gp070,GMA6_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801121,BH789_gp071,BH789_gp071,GMA6_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801122,BH789_gp072,BH789_gp072,GMA6_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
