#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2182408,55608264,2,HWB61_gp02,SEA_FLOWERPOWER_2,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2182408,55608265,3,HWB61_gp03,SEA_FLOWERPOWER_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200620,-
2182408,55608266,4,HWB61_gp04,SEA_FLOWERPOWER_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608267,5,HWB61_gp05,SEA_FLOWERPOWER_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608268,6,HWB61_gp06,SEA_FLOWERPOWER_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608269,7,HWB61_gp07,SEA_FLOWERPOWER_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608270,8,HWB61_gp08,SEA_FLOWERPOWER_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608271,9,HWB61_gp09,SEA_FLOWERPOWER_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608272,10,HWB61_gp10,SEA_FLOWERPOWER_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608273,11,HWB61_gp11,SEA_FLOWERPOWER_11,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20210424,-
2182408,55608274,12,HWB61_gp12,SEA_FLOWERPOWER_12,-,-,-,glycosylase,protein-coding,-,-,-,glycosylase,20200620,-
2182408,55608275,13,HWB61_gp13,SEA_FLOWERPOWER_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608276,14,HWB61_gt01,SEA_FLOWERPOWER_14,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2182408,55608277,15,HWB61_gt02,SEA_FLOWERPOWER_15,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2182408,55608278,16,HWB61_gt03,SEA_FLOWERPOWER_16,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
