#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1732063,26797477,yorK,AXJ01_gp002,SPbetalike_00002,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20210424,-
1732063,26797478,AXJ01_gp003,AXJ01_gp003,SPbetalike_00003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797479,AXJ01_gp004,AXJ01_gp004,SPbetalike_00004,-,-,-,helicase DnaB,protein-coding,-,-,-,helicase DnaB,20201219,-
1732063,26797480,AXJ01_gp005,AXJ01_gp005,SPbetalike_00005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797481,AXJ01_gp006,AXJ01_gp006,SPbetalike_00006,-,-,-,ATP-binding protein,protein-coding,-,-,-,ATP-binding protein,20210424,-
1732063,26797482,AXJ01_gp007,AXJ01_gp007,SPbetalike_00007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797483,AXJ01_gp008,AXJ01_gp008,SPbetalike_00008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797484,AXJ01_gp009,AXJ01_gp009,SPbetalike_00009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797485,AXJ01_gp010,AXJ01_gp010,SPbetalike_00010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1732063,26797486,AXJ01_gp011,AXJ01_gp011,SPbetalike_00011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797487,AXJ01_gp012,AXJ01_gp012,SPbetalike_00012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797488,AXJ01_gp013,AXJ01_gp013,SPbetalike_00013,-,-,-,site-specific integrase,protein-coding,-,-,-,site-specific integrase,20210424,-
1732063,26797489,AXJ01_gp014,AXJ01_gp014,SPbetalike_00014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797490,AXJ01_gp015,AXJ01_gp015,SPbetalike_00015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797491,AXJ01_gp016,AXJ01_gp016,SPbetalike_00016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797492,AXJ01_gp017,AXJ01_gp017,SPbetalike_00017,-,-,-,DNA polymerase III subunit beta,protein-coding,-,-,-,DNA polymerase III subunit beta,20201219,-
1732063,26797493,AXJ01_gp018,AXJ01_gp018,SPbetalike_00018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797494,AXJ01_gp019,AXJ01_gp019,SPbetalike_00019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797495,AXJ01_gp020,AXJ01_gp020,SPbetalike_00020,-,-,-,antirestriction protein ArdA,protein-coding,-,-,-,antirestriction protein ArdA,20210424,-
1732063,26797496,AXJ01_gp021,AXJ01_gp021,SPbetalike_00021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797497,AXJ01_gp022,AXJ01_gp022,SPbetalike_00022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797498,AXJ01_gp023,AXJ01_gp023,SPbetalike_00023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797499,AXJ01_gp024,AXJ01_gp024,SPbetalike_00024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797500,AXJ01_gp025,AXJ01_gp025,SPbetalike_00025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797501,AXJ01_gp026,AXJ01_gp026,SPbetalike_00026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797502,AXJ01_gp027,AXJ01_gp027,SPbetalike_00027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797503,recD2,AXJ01_gp028,SPbetalike_00028,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20210129,-
1732063,26797504,AXJ01_gp029,AXJ01_gp029,SPbetalike_00029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797505,hupA,AXJ01_gp030,SPbetalike_00030,-,-,-,HU family DNA-binding protein,protein-coding,-,-,-,HU family DNA-binding protein,20210424,-
1732063,26797506,AXJ01_gp031,AXJ01_gp031,SPbetalike_00031,-,-,-,YonK family protein,protein-coding,-,-,-,YonK family protein,20210129,-
1732063,26797507,AXJ01_gp032,AXJ01_gp032,SPbetalike_00032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797508,AXJ01_gp033,AXJ01_gp033,SPbetalike_00033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797509,AXJ01_gp034,AXJ01_gp034,SPbetalike_00034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797510,AXJ01_gp035,AXJ01_gp035,SPbetalike_00035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797511,AXJ01_gp036,AXJ01_gp036,SPbetalike_00036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797512,AXJ01_gp037,AXJ01_gp037,SPbetalike_00037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797513,AXJ01_gp038,AXJ01_gp038,SPbetalike_00038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797514,AXJ01_gp039,AXJ01_gp039,SPbetalike_00039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797515,AXJ01_gp040,AXJ01_gp040,SPbetalike_00040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797516,AXJ01_gp041,AXJ01_gp041,SPbetalike_00041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797517,AXJ01_gp042,AXJ01_gp042,SPbetalike_00042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797518,AXJ01_gp043,AXJ01_gp043,SPbetalike_00043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797519,AXJ01_gp044,AXJ01_gp044,SPbetalike_00044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797520,AXJ01_gp045,AXJ01_gp045,SPbetalike_00045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797521,AXJ01_gp046,AXJ01_gp046,SPbetalike_00046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797522,AXJ01_gp047,AXJ01_gp047,SPbetalike_00047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797523,AXJ01_gp048,AXJ01_gp048,SPbetalike_00048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797524,AXJ01_gp049,AXJ01_gp049,SPbetalike_00049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797525,AXJ01_gp050,AXJ01_gp050,SPbetalike_00050,-,-,-,site-specific integrase,protein-coding,-,-,-,site-specific integrase,20210424,-
1732063,26797526,AXJ01_gp051,AXJ01_gp051,SPbetalike_00051,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20210417,-
1732063,26797527,AXJ01_gp052,AXJ01_gp052,SPbetalike_00052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797528,AXJ01_gp053,AXJ01_gp053,SPbetalike_00053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797529,AXJ01_gp054,AXJ01_gp054,SPbetalike_00054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797530,AXJ01_gp055,AXJ01_gp055,SPbetalike_00055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797531,AXJ01_gp056,AXJ01_gp056,SPbetalike_00056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797532,AXJ01_gp057,AXJ01_gp057,SPbetalike_00057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797533,AXJ01_gp058,AXJ01_gp058,SPbetalike_00058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1732063,26797534,AXJ01_gp059,AXJ01_gp059,SPbetalike_00059,-,-,-,holin,protein-coding,-,-,-,holin,20210424,-
