#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
644007,7956329,PH10_gp02,PH10_gp02,-,-,-,-,DUF4429 domain-containing protein,protein-coding,-,-,-,DUF4429 domain-containing protein,20201220,-
644007,7956330,PH10_gp03,PH10_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956331,PH10_gp04,PH10_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956332,PH10_gp05,PH10_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956333,PH10_gp06,PH10_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956334,PH10_gp07,PH10_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956335,PH10_gp08,PH10_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956336,PH10_gp09,PH10_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956337,PH10_gp10,PH10_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956338,PH10_gp11,PH10_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956339,PH10_gp12,PH10_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956340,PH10_gp13,PH10_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956341,PH10_gp14,PH10_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956342,PH10_gp15,PH10_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956343,PH10_gp16,PH10_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956344,PH10_gp17,PH10_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956345,PH10_gp18,PH10_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956346,PH10_gp19,PH10_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956347,PH10_gp20,PH10_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956348,PH10_gp21,PH10_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956349,PH10_gp22,PH10_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956350,PH10_gp23,PH10_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956351,PH10_gp24,PH10_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956352,PH10_gp25,PH10_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956353,PH10_gp26,PH10_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956354,PH10_gp27,PH10_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956355,PH10_gp28,PH10_gp28,-,-,-,-,site-specific integrase,protein-coding,-,-,-,site-specific integrase,20201220,-
644007,7956356,PH10_gp29,PH10_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956357,PH10_gp30,PH10_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956358,PH10_gp31,PH10_gp31,-,-,-,-,P27 familygterminase small subunit,protein-coding,-,-,-,P27 familygterminase small subunit,20201220,-
644007,7956359,PH10_gp32,PH10_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956360,PH10_gp33,PH10_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956361,PH10_gp34,PH10_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956362,PH10_gp35,PH10_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956363,PH10_gp36,PH10_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956364,PH10_gp37,PH10_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956365,PH10_gp38,PH10_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956366,PH10_gp39,PH10_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956367,PH10_gp40,PH10_gp40,-,-,-,-,HK97 gp10 familygprotein,protein-coding,-,-,-,HK97 gp10 familygprotein,20201220,-
644007,7956368,PH10_gp41,PH10_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956369,PH10_gp42,PH10_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956370,PH10_gp43,PH10_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956371,PH10_gp44,PH10_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956372,PH10_gp45,PH10_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956373,PH10_gp46,PH10_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956374,PH10_gp47,PH10_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956375,PH10_gp48,PH10_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956376,PH10_gp49,PH10_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956377,PH10_gp50,PH10_gp50,-,-,-,-,holin,protein-coding,-,-,-,holin,20201220,-
644007,7956378,PH10_gp51,PH10_gp51,-,-,-,-,lysA,protein-coding,-,-,-,lysA,20200629,-
644007,7956379,PH10_gp52,PH10_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956380,PH10_gp53,PH10_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956381,PH10_gp54,PH10_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7956382,PH10_gp01,PH10_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
644007,7969438,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Streptococcus oralis phage PH10).,other,-,-,-,-,20200513,-
