#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2713273,55817591,HYQ33_gp002,HYQ33_gp002,aagejoakim_2,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210123,-
2713273,55817592,HYQ33_gp003,HYQ33_gp003,aagejoakim_3,-,-,-,putative baseplate wedge subunit,protein-coding,-,-,-,putative baseplate wedge subunit,20201222,-
2713273,55817593,HYQ33_gp004,HYQ33_gp004,aagejoakim_4,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201222,-
2713273,55817594,HYQ33_gp005,HYQ33_gp005,aagejoakim_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2713273,55817595,HYQ33_gp006,HYQ33_gp006,aagejoakim_6,-,-,-,tail spike protein 3,protein-coding,-,-,-,tail spike protein 3,20210313,-
2713273,55817596,HYQ33_gp007,HYQ33_gp007,aagejoakim_7,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210129,-
2713273,55817597,HYQ33_gp008,HYQ33_gp008,aagejoakim_8,-,-,-,tail fibers protein,protein-coding,-,-,-,tail fibers protein,20210129,-
2713273,55817598,HYQ33_gp009,HYQ33_gp009,aagejoakim_9,-,-,-,VrlC protein,protein-coding,-,-,-,VrlC protein,20210313,-
2713273,55817599,HYQ33_gp010,HYQ33_gp010,aagejoakim_10,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201222,-
2713273,55817600,HYQ33_gp011,HYQ33_gp011,aagejoakim_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713273,55817601,HYQ33_gp012,HYQ33_gp012,aagejoakim_12,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20201222,-
2713273,55817602,HYQ33_gp013,HYQ33_gp013,aagejoakim_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713273,55817603,HYQ33_gp014,HYQ33_gp014,aagejoakim_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
2713273,55817604,HYQ33_gp015,HYQ33_gp015,aagejoakim_15,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210129,-
2713273,55817605,HYQ33_gp016,HYQ33_gp016,aagejoakim_16,-,-,-,proximal tail sheath stabilization protein,protein-coding,-,-,-,proximal tail sheath stabilization protein,20210313,-
2713273,55817606,HYQ33_gp017,HYQ33_gp017,aagejoakim_17,-,-,-,terminase DNA packaging enzyme small subunit,protein-coding,-,-,-,terminase DNA packaging enzyme small subunit,20201222,-
2713273,55817607,HYQ33_gp018,HYQ33_gp018,aagejoakim_18,-,-,-,terminase DNA packaging enzyme large subunit,protein-coding,-,-,-,terminase DNA packaging enzyme large subunit,20210313,-
2713273,55817608,HYQ33_gp019,HYQ33_gp019,aagejoakim_19,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20210129,-
2713273,55817609,HYQ33_gp020,HYQ33_gp020,aagejoakim_20,-,-,-,putative GIY-YIG endonuclease,protein-coding,-,-,-,putative GIY-YIG endonuclease,20210327,-
2713273,55817610,HYQ33_gp021,HYQ33_gp021,aagejoakim_21,-,-,-,tail tube monomer,protein-coding,-,-,-,tail tube monomer,20201222,-
2713273,55817611,HYQ33_gp022,HYQ33_gp022,aagejoakim_22,-,-,-,portal vertex protein of the head,protein-coding,-,-,-,portal vertex protein of the head,20201222,-
2713273,55817612,HYQ33_gp023,HYQ33_gp023,aagejoakim_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713273,55817613,HYQ33_gp024,HYQ33_gp024,aagejoakim_24,-,-,-,putative prohead core protein,protein-coding,-,-,-,putative prohead core protein,20201222,-
2713273,55817614,HYQ33_gp025,HYQ33_gp025,aagejoakim_25,-,-,-,prohead core and protease,protein-coding,-,-,-,prohead core and protease,20210313,-
2713273,55817615,HYQ33_gp026,HYQ33_gp026,aagejoakim_26,-,-,-,prohead core scaffold protein,protein-coding,-,-,-,prohead core scaffold protein,20201222,-
2713273,55817616,HYQ33_gp027,HYQ33_gp027,aagejoakim_27,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20210403,-
2713273,55817617,HYQ33_gp028,HYQ33_gp028,aagejoakim_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713273,55817618,HYQ33_gp029,HYQ33_gp029,aagejoakim_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713273,55817619,HYQ33_gp030,HYQ33_gp030,aagejoakim_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713273,55817620,HYQ33_gp031,HYQ33_gp031,aagejoakim_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713273,55817621,HYQ33_gp032,HYQ33_gp032,aagejoakim_32,-,-,-,nucleotide-binding protein,protein-coding,-,-,-,nucleotide-binding protein,20201222,-
2713273,55817622,HYQ33_gp033,HYQ33_gp033,aagejoakim_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713273,55817623,HYQ33_gp034,HYQ33_gp034,aagejoakim_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713273,55817624,HYQ33_gp035,HYQ33_gp035,aagejoakim_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713273,55817625,HYQ33_gp036,HYQ33_gp036,aagejoakim_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713273,55817626,HYQ33_gp037,HYQ33_gp037,aagejoakim_37,-,-,-,putative GTP-binding protein,protein-coding,-,-,-,putative GTP-binding protein,20210129,-
2713273,55817627,HYQ33_gp038,HYQ33_gp038,aagejoakim_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713273,55817628,HYQ33_gp039,HYQ33_gp039,aagejoakim_39,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20210129,-
2713273,55817629,HYQ33_gp040,HYQ33_gp040,aagejoakim_40,-,-,-,putative lipoprotein,protein-coding,-,-,-,putative lipoprotein,20201222,-
2713273,55817630,HYQ33_gp041,HYQ33_gp041,aagejoakim_41,-,-,-,tail completion and sheath stabilizer protein,protein-coding,-,-,-,tail completion and sheath stabilizer protein,20201222,-
2713273,55817631,HYQ33_gp042,HYQ33_gp042,aagejoakim_42,-,-,-,putative DNA repair/recombination protein,protein-coding,-,-,-,putative DNA repair/recombination protein,20210129,-
2713273,55817632,HYQ33_gp043,HYQ33_gp043,aagejoakim_43,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20210212,-
2713273,55817633,HYQ33_gp044,HYQ33_gp044,aagejoakim_44,-,-,-,RNA-DNA and DNA-DNA helicase,protein-coding,-,-,-,RNA-DNA and DNA-DNA helicase,20210129,-
