#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301601,55003781,2,HOU24_gp02,SAMW_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20200910,-
2301601,55003782,3,HOU24_gp03,SAMW_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
2301601,55003783,4,HOU24_gp04,SAMW_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210403,-
2301601,55003784,5,HOU24_gp05,SAMW_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301601,55003785,6,HOU24_gp06,SAMW_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200910,-
2301601,55003786,7,HOU24_gp07,SAMW_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301601,55003787,8,HOU24_gp08,SAMW_8,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20200912,-
2301601,55003788,9,HOU24_gp09,SAMW_9,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20200910,-
2301601,55003789,10,HOU24_gp10,SAMW_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301601,55003790,11,HOU24_gp11,SAMW_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2301601,55003791,12,HOU24_gp12,SAMW_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210403,-
2301601,55003792,14,HOU24_gp13,SAMW_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
2301601,55003793,15,HOU24_gp15,SAMW_15,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200912,-
2301601,55003794,13,HOU24_gp14,SAMW_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
2301601,55003795,16,HOU24_gp16,SAMW_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2301601,55003796,17,HOU24_gp17,SAMW_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2301601,55003797,18,HOU24_gp18,SAMW_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301601,55003798,19,HOU24_gp19,SAMW_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301601,55003799,20,HOU24_gp20,SAMW_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301601,55003800,21,HOU24_gp21,SAMW_21,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210403,-
2301601,55003801,22,HOU24_gp22,SAMW_22,-,-,-,holin,protein-coding,-,-,-,holin,20200910,-
2301601,55003802,23,HOU24_gp23,SAMW_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301601,55003803,24,HOU24_gp24,SAMW_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2301601,55003804,25,HOU24_gp25,SAMW_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301601,55003805,26,HOU24_gp26,SAMW_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301601,55003806,27,HOU24_gp27,SAMW_27,-,-,-,integrase,protein-coding,-,-,-,integrase,20200912,-
2301601,55003807,28,HOU24_gp28,SAMW_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301601,55003808,29,HOU24_gp29,SAMW_29,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20200910,-
2301601,55003809,30,HOU24_gp30,SAMW_30,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200910,-
2301601,55003810,31,HOU24_gp31,SAMW_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301601,55003811,32,HOU24_gp32,SAMW_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301601,55003812,33,HOU24_gp33,SAMW_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2301601,55003813,34,HOU24_gp34,SAMW_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301601,55003814,35,HOU24_gp35,SAMW_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301601,55003815,36,HOU24_gp36,SAMW_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301601,55003816,37,HOU24_gp37,SAMW_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301601,55003817,38,HOU24_gp38,SAMW_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301601,55003818,39,HOU24_gp39,SAMW_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2301601,55003819,40,HOU24_gp40,SAMW_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2301601,55003820,41,HOU24_gp41,SAMW_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2301601,55003821,42,HOU24_gp42,SAMW_42,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200912,-
2301601,55003822,43,HOU24_gp43,SAMW_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2301601,55003823,44,HOU24_gp44,SAMW_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301601,55003824,45,HOU24_gp45,SAMW_45,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200912,-
2301601,55003825,46,HOU24_gp46,SAMW_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2301601,55003826,47,HOU24_gp47,SAMW_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301601,55003827,48,HOU24_gp48,SAMW_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301601,55003828,49,HOU24_gp49,SAMW_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301601,55003829,50,HOU24_gp50,SAMW_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301601,55003830,51,HOU24_gp51,SAMW_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301601,55003831,52,HOU24_gp52,SAMW_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301601,55003832,53,HOU24_gp53,SAMW_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301601,55003833,54,HOU24_gp54,SAMW_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301601,55003834,55,HOU24_gp55,SAMW_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301601,55003835,56,HOU24_gp56,SAMW_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301601,55003836,57,HOU24_gp57,SAMW_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301601,55003837,58,HOU24_gp58,SAMW_58,-,-,-,rtcB-like RNA ligase,protein-coding,-,-,-,rtcB-like RNA ligase,20210403,-
2301601,55003838,59,HOU24_gp59,SAMW_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301601,55003839,60,HOU24_gt01,SAMW_60,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2301601,55003840,61,HOU24_gp60,SAMW_61,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210403,-
2301601,55003841,1,HOU24_gp01,SAMW_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301601,55154107,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200518,-
