#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
5270,3974670,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200530,-
5270,4308275,atp8,UsmafMp07,-,-,MT,-,ATP synthase subunit 8,protein-coding,-,-,-,-,20160903,-
5270,4308276,cox1,UsmafMp08,-,-,MT,-,cytochrome c oxidase subunit 1,protein-coding,-,-,-,GIY endonuclease|LAGLIDADG endonuclease,20160903,-
5270,4308277,nad4,UsmafMp09,-,-,MT,-,NADH:ubiquinone oxidoreductase subunit 4,protein-coding,-,-,-,-,20160903,-
5270,4308278,nad1,UsmafMp10,-,-,MT,-,NADH:ubiquinone oxidoreductase subunit 1,protein-coding,-,-,-,-,20160903,-
5270,4308279,cox3,UsmafMp11,-,-,MT,-,cytochrome c oxidase subunit 3,protein-coding,-,-,-,-,20160903,-
5270,4308280,cob,UsmafMp12,-,-,MT,-,apocytochrome b,protein-coding,-,-,-,GIY endonuclease,20160903,-
5270,4308281,nad4L,UsmafMp13,-,-,MT,-,NADH:ubiquinone oxidoreductase subunit 4L,protein-coding,-,-,-,-,20160903,-
5270,4308282,nad5,UsmafMp14,-,-,MT,-,NADH:ubiquinone oxidoreductase subunit 5,protein-coding,-,-,-,-,20160903,-
5270,4308283,atp9,UsmafMp15,-,-,MT,-,ATP synthase subunit 9,protein-coding,-,-,-,-,20160903,-
5270,4308284,nad6,UsmafMp16,-,-,MT,-,NADH:ubiquinone oxidoreductase subunit 6,protein-coding,-,-,-,-,20160903,-
5270,4308285,rps3,UsmafMp02,-,-,MT,-,small ribosomal protein subunit 3,protein-coding,-,-,-,-,20160903,-
5270,4308286,rnl,UsmafMp01,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,-,20180130,-
5270,4308287,nad2,UsmafMp03,-,-,MT,-,NADH:ubiquinone oxidoreductase subunit 2,protein-coding,-,-,-,-,20160903,-
5270,4308288,nad3,UsmafMp04,-,-,MT,-,NADH:ubiquinone oxidoreductase subunit 3,protein-coding,-,-,-,-,20160903,-
5270,4308289,cox2,UsmafMp05,-,-,MT,-,cytochrome c oxidase subunit 2,protein-coding,-,-,-,-,20160903,-
5270,4308290,atp6,UsmafMp06,-,-,MT,-,ATP synthase subunit 6,protein-coding,-,-,-,-,20150711,-
5270,5579604,UsmafMt18,UsmafMt18,-,-,MT,-,tRNA,tRNA,-,-,-,-,20120917,-
5270,5579605,UsmafMt17,UsmafMt17,-,-,MT,-,tRNA,tRNA,-,-,-,-,20120917,-
5270,5579606,UsmafMt21,UsmafMt21,-,-,MT,-,tRNA,tRNA,-,-,-,-,20120917,-
5270,5579607,UsmafMt22,UsmafMt22,-,-,MT,-,tRNA,tRNA,-,-,-,-,20120917,-
5270,5579608,UsmafMt14,UsmafMt14,-,-,MT,-,tRNA,tRNA,-,-,-,-,20120917,-
5270,5579609,UsmafMt19,UsmafMt19,-,-,MT,-,tRNA,tRNA,-,-,-,-,20120917,-
5270,5579610,UsmafMt05,UsmafMt05,-,-,MT,-,tRNA,tRNA,-,-,-,-,20120917,-
5270,5579611,UsmafMt07,UsmafMt07,-,-,MT,-,tRNA,tRNA,-,-,-,-,20120917,-
5270,5579612,UsmafMt13,UsmafMt13,-,-,MT,-,tRNA,tRNA,-,-,-,-,20120917,-
5270,5579613,UsmafMt04,UsmafMt04,-,-,MT,-,tRNA,tRNA,-,-,-,-,20120917,-
5270,5579614,UsmafMt12,UsmafMt12,-,-,MT,-,tRNA,tRNA,-,-,-,-,20120917,-
5270,5579615,UsmafMt09,UsmafMt09,-,-,MT,-,tRNA,tRNA,-,-,-,-,20120917,-
5270,5579616,UsmafMt03,UsmafMt03,-,-,MT,-,tRNA,tRNA,-,-,-,-,20120917,-
5270,5579617,UsmafMt16,UsmafMt16,-,-,MT,-,tRNA,tRNA,-,-,-,-,20120917,-
5270,5579618,UsmafMt10,UsmafMt10,-,-,MT,-,tRNA,tRNA,-,-,-,-,20120917,-
5270,5579619,UsmafMr01,UsmafMr01,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20120917,-
5270,5579620,UsmafMt11,UsmafMt11,-,-,MT,-,tRNA,tRNA,-,-,-,-,20120917,-
5270,5579621,UsmafMt02,UsmafMt02,-,-,MT,-,tRNA,tRNA,-,-,-,-,20120917,-
5270,5579622,UsmafMt08,UsmafMt08,-,-,MT,-,tRNA,tRNA,-,-,-,-,20120917,-
5270,5579623,UsmafMt15,UsmafMt15,-,-,MT,-,tRNA,tRNA,-,-,-,-,20120917,-
5270,5579624,UsmafMr02,UsmafMr02,-,-,MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20120917,-
5270,5579625,UsmafMt20,UsmafMt20,-,-,MT,-,tRNA,tRNA,-,-,-,-,20120917,-
5270,5579626,UsmafMt01,UsmafMt01,-,-,MT,-,tRNA,tRNA,-,-,-,-,20120917,-
5270,5579627,UsmafMt06,UsmafMt06,-,-,MT,-,tRNA,tRNA,-,-,-,-,20120917,-
