#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2656575,60327856,2,I5H31_gp002,PBI_EISH_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201203,-
2656575,60327857,3,I5H31_gp003,PBI_EISH_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2656575,60327858,4,I5H31_gp004,PBI_EISH_4,-,-,-,capsid maturation protease and MuF-like fusion protein,protein-coding,-,-,-,capsid maturation protease and MuF-like fusion protein,20201129,-
2656575,60327859,5,I5H31_gp005,PBI_EISH_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327860,6,I5H31_gp006,PBI_EISH_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
2656575,60327861,7,I5H31_gp007,PBI_EISH_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2656575,60327862,8,I5H31_gp008,PBI_EISH_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2656575,60327863,9,I5H31_gp009,PBI_EISH_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2656575,60327864,10,I5H31_gp010,PBI_EISH_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2656575,60327865,11,I5H31_gp011,PBI_EISH_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2656575,60327866,13,I5H31_gp012,PBI_EISH_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2656575,60327867,14,I5H31_gp014,PBI_EISH_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2656575,60327868,12,I5H31_gp013,PBI_EISH_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2656575,60327869,15,I5H31_gp015,PBI_EISH_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2656575,60327870,16,I5H31_gp016,PBI_EISH_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2656575,60327871,17,I5H31_gp017,PBI_EISH_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2656575,60327872,18,I5H31_gp018,PBI_EISH_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2656575,60327873,19,I5H31_gp019,PBI_EISH_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2656575,60327874,20,I5H31_gp020,PBI_EISH_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2656575,60327875,21,I5H31_gp021,PBI_EISH_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327876,22,I5H31_gp022,PBI_EISH_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327877,23,I5H31_gp023,PBI_EISH_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327878,24,I5H31_gp024,PBI_EISH_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327879,25,I5H31_gp025,PBI_EISH_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327880,26,I5H31_gp026,PBI_EISH_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327881,27,I5H31_gp027,PBI_EISH_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327882,28,I5H31_gp028,PBI_EISH_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327883,29,I5H31_gp029,PBI_EISH_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327884,30,I5H31_gp030,PBI_EISH_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201203,-
2656575,60327885,31,I5H31_gp031,PBI_EISH_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2656575,60327886,32,I5H31_gp032,PBI_EISH_32,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
2656575,60327887,33,I5H31_gp033,PBI_EISH_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2656575,60327888,34,I5H31_gp034,PBI_EISH_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327889,35,I5H31_gp035,PBI_EISH_35,-,-,-,DnaQ-like DNA polymerase III subunit,protein-coding,-,-,-,DnaQ-like DNA polymerase III subunit,20210424,-
2656575,60327890,36,I5H31_gp036,PBI_EISH_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327891,38,I5H31_gp038,PBI_EISH_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327892,39,I5H31_gp039,PBI_EISH_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327893,41,I5H31_gp041,PBI_EISH_41,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210123,-
2656575,60327894,42,I5H31_gp042,PBI_EISH_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327895,44,I5H31_gp044,PBI_EISH_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327896,45,I5H31_gp045,PBI_EISH_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327897,47,I5H31_gp047,PBI_EISH_47,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20210403,-
2656575,60327898,48,I5H31_gp048,PBI_EISH_48,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210424,-
2656575,60327899,49,I5H31_gp049,PBI_EISH_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
