#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1104324,11593814,P186_RS10315,P186_RS10315,P186_2210,-,-,-,peptidyl-tRNA hydrolase,protein-coding,-,-,-,peptidyl-tRNA hydrolase,20201217,-
1104324,11593815,P186_RS10320,P186_RS10320,P186_2211,-,-,-,S8 family serine peptidase,protein-coding,-,-,-,S8 family serine peptidase,20200905,-
1104324,11593816,P186_RS10325,P186_RS10325,P186_2212,-,-,-,NUDIX domain-containing protein,protein-coding,-,-,-,NUDIX domain-containing protein,20201217,-
1104324,11593817,P186_RS10330,P186_RS10330,P186_2213,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11593818,P186_RS10335,P186_RS10335,P186_2214,-,-,-,succinate dehydrogenase/fumarate reductase flavoprotein subunit,protein-coding,-,-,-,succinate dehydrogenase/fumarate reductase flavoprotein subunit,20200905,-
1104324,11593819,P186_RS10340,P186_RS10340,P186_2215,-,-,-,succinate dehydrogenase iron-sulfur subunit,protein-coding,-,-,-,succinate dehydrogenase iron-sulfur subunit,20200905,-
1104324,11593820,P186_RS10345,P186_RS10345,P186_2216,-,-,-,succinate dehydrogenase,protein-coding,-,-,-,succinate dehydrogenase,20200218,-
1104324,11593821,P186_RS10350,P186_RS10350,P186_2217,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11593822,P186_RS10355,P186_RS10355,P186_2218,-,-,-,DNA polymerase sliding clamp,protein-coding,-,-,-,DNA polymerase sliding clamp,20200905,-
1104324,11593823,P186_RS10360,P186_RS10360,P186_2219,-,-,-,electron transfer flavoprotein subunit alpha/FixB family protein,protein-coding,-,-,-,electron transfer flavoprotein subunit alpha/FixB family protein,20201217,-
1104324,11593824,P186_RS10365,P186_RS10365,P186_2220,-,-,-,electron transfer flavoprotein subunit beta/FixA family protein,protein-coding,-,-,-,electron transfer flavoprotein subunit beta/FixA family protein,20200218,-
1104324,11593825,P186_RS10370,P186_RS10370,P186_2221,-,-,-,ferredoxin family protein,protein-coding,-,-,-,ferredoxin family protein,20200905,-
1104324,11593826,P186_RS10375,P186_RS10375,P186_2222,-,-,-,FAD-dependent oxidoreductase,protein-coding,-,-,-,FAD-dependent oxidoreductase,20200905,-
1104324,11593827,P186_RS10380,P186_RS10380,P186_2223,-,-,-,MoaD family protein,protein-coding,-,-,-,MoaD family protein,20201217,-
1104324,11593828,P186_RS10385,P186_RS10385,P186_2224,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
