#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2719185,58557072,H6S69_gp79,H6S69_gp79,13_00079,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200817,-
2719185,58557073,H6S69_gp05,H6S69_gp05,13_00005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557074,H6S69_gp90,H6S69_gp90,13_00090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719185,58557075,H6S69_gp26,H6S69_gp26,13_00026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557076,H6S69_gp60,H6S69_gp60,13_00060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557077,H6S69_gp81,H6S69_gp81,13_00081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557078,H6S69_gp14,H6S69_gp14,13_00014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557079,H6S69_gp91,H6S69_gp91,13_00091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719185,58557080,H6S69_gp22,H6S69_gp22,13_00022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557081,H6S69_gp41,H6S69_gp41,13_00041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557082,H6S69_gp64,H6S69_gp64,13_00064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557083,H6S69_gp67,H6S69_gp67,13_00067,-,-,-,TolA protein,protein-coding,-,-,-,TolA protein,20200817,-
2719185,58557084,H6S69_gp20,H6S69_gp20,13_00020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557085,H6S69_gp62,H6S69_gp62,13_00062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557086,H6S69_gp77,H6S69_gp77,13_00077,-,-,-,3' to 5' DNA exonuclease,protein-coding,-,-,-,3' to 5' DNA exonuclease,20201003,-
2719185,58557087,H6S69_gp69,H6S69_gp69,13_00069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557088,H6S69_gp33,H6S69_gp33,13_00033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557089,H6S69_gp75,H6S69_gp75,13_00075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557090,H6S69_gp86,H6S69_gp86,13_00086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557091,H6S69_gp83,H6S69_gp83,13_00083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719185,58557092,H6S69_gp68,H6S69_gp68,13_00068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719185,58557093,H6S69_gp04,H6S69_gp04,13_00004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2719185,58557094,H6S69_gp25,H6S69_gp25,13_00025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719185,58557095,H6S69_gp65,H6S69_gp65,13_00065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557096,H6S69_gp36,H6S69_gp36,13_00036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557097,H6S69_gp45,H6S69_gp45,13_00045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557098,H6S69_gp02,H6S69_gp02,13_00002,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557099,H6S69_gp88,H6S69_gp88,13_00088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557100,H6S69_gp50,H6S69_gp50,13_00050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557101,H6S69_gp21,H6S69_gp21,13_00021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2719185,58557102,H6S69_gp82,H6S69_gp82,13_00082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557103,H6S69_gp59,H6S69_gp59,13_00059,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210320,-
2719185,58557104,H6S69_gp57,H6S69_gp57,13_00057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557105,H6S69_gp84,H6S69_gp84,13_00084,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719185,58557106,H6S69_gp56,H6S69_gp56,13_00056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557107,H6S69_gp07,H6S69_gp07,13_00007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
