#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1432848,18499652,CF85_gp54,CF85_gp54,-,-,-,-,site-specific integrase,protein-coding,-,-,-,site-specific integrase,20201221,-
1432848,18499653,CF85_gp53,CF85_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1432848,18499654,CF85_gp52,CF85_gp52,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1432848,18499655,CF85_gp51,CF85_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432848,18499656,CF85_gp50,CF85_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432848,18499657,CF85_gp49,CF85_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432848,18499658,CF85_gp48,CF85_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432848,18499659,CF85_gp47,CF85_gp47,-,-,-,-,DUF1351 domain-containing protein,protein-coding,-,-,-,DUF1351 domain-containing protein,20201221,-
1432848,18499660,CF85_gp46,CF85_gp46,-,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20201221,-
1432848,18499661,CF85_gp45,CF85_gp45,-,-,-,-,DUF669 domain-containing protein,protein-coding,-,-,-,DUF669 domain-containing protein,20201221,-
1432848,18499662,CF85_gp44,CF85_gp44,-,-,-,-,replisome organizer N-terminal domain-containing protein,protein-coding,-,-,-,replisome organizer N-terminal domain-containing protein,20201221,-
1432848,18499663,CF85_gp43,CF85_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432848,18499664,CF85_gp42,CF85_gp42,-,-,-,-,RusA family crossover junction endodeoxyribonuclease,protein-coding,-,-,-,RusA family crossover junction endodeoxyribonuclease,20201221,-
1432848,18499665,CF85_gp41,CF85_gp41,-,-,-,-,prophage protein,protein-coding,-,-,-,prophage protein,20200629,-
1432848,18499666,CF85_gp40,CF85_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432848,18499667,CF85_gp39,CF85_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432848,18499668,CF85_gp38,CF85_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432848,18499669,CF85_gp37,CF85_gp37,-,-,-,-,prophage protein,protein-coding,-,-,-,prophage protein,20200629,-
1432848,18499670,CF85_gp36,CF85_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432848,18499671,CF85_gp35,CF85_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432848,18499672,CF85_gp34,CF85_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432848,18499673,CF85_gp33,CF85_gp33,-,-,-,-,prophage protein,protein-coding,-,-,-,prophage protein,20200629,-
1432848,18499674,CF85_gp32,CF85_gp32,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1432848,18499675,CF85_gp31,CF85_gp31,-,-,-,-,Phage large terminase small subunit,protein-coding,-,-,-,Phage large terminase small subunit,20210424,-
1432848,18499676,CF85_gp30,CF85_gp30,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1432848,18499677,CF85_gp29,CF85_gp29,-,-,-,-,ribosomal-processing cysteine protease Prp,protein-coding,-,-,-,ribosomal-processing cysteine protease Prp,20201221,-
1432848,18499678,CF85_gp28,CF85_gp28,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201221,-
1432848,18499679,CF85_gp27,CF85_gp27,-,-,-,-,DUF4355 domain-containing protein,protein-coding,-,-,-,DUF4355 domain-containing protein,20201221,-
1432848,18499680,CF85_gp26,CF85_gp26,-,-,-,-,prophage protein,protein-coding,-,-,-,prophage protein,20200629,-
1432848,18499681,CF85_gp25,CF85_gp25,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1432848,18499682,CF85_gp24,CF85_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432848,18499683,CF85_gp23,CF85_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432848,18499684,CF85_gp22,CF85_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432848,18499685,CF85_gp21,CF85_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432848,18499686,CF85_gp20,CF85_gp20,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210417,-
1432848,18499687,CF85_gp19,CF85_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432848,18499688,CF85_gp18,CF85_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
