#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2250323,54997826,2,HOT73_gp02,SEA_RUTHY_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
2250323,54997827,3,HOT73_gp03,SEA_RUTHY_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
2250323,54997828,4,HOT73_gp04,SEA_RUTHY_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210403,-
2250323,54997829,5,HOT73_gp05,SEA_RUTHY_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
2250323,54997830,6,HOT73_gp06,SEA_RUTHY_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
2250323,54997831,7,HOT73_gp07,SEA_RUTHY_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250323,54997832,8,HOT73_gp08,SEA_RUTHY_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250323,54997833,9,HOT73_gp09,SEA_RUTHY_9,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20201221,-
2250323,54997834,10,HOT73_gp10,SEA_RUTHY_10,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20201221,-
2250323,54997835,11,HOT73_gp11,SEA_RUTHY_11,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20201221,-
2250323,54997836,12,HOT73_gp12,SEA_RUTHY_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250323,54997837,13,HOT73_gp13,SEA_RUTHY_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
2250323,54997838,14,HOT73_gp14,SEA_RUTHY_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250323,54997839,16,HOT73_gp15,SEA_RUTHY_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2250323,54997840,17,HOT73_gp17,SEA_RUTHY_17,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210403,-
2250323,54997841,15,HOT73_gp16,SEA_RUTHY_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2250323,54997842,18,HOT73_gp18,SEA_RUTHY_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2250323,54997843,19,HOT73_gp19,SEA_RUTHY_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2250323,54997844,20,HOT73_gp20,SEA_RUTHY_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2250323,54997845,21,HOT73_gp21,SEA_RUTHY_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
