#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1458697,18502949,P106B_02,P106B_02,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
1458697,18502950,P106B_04,P106B_04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18502951,P106B_05,P106B_05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18502952,P106B_06,P106B_06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18502953,P106B_07,P106B_07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18502954,P106B_08,P106B_08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18502955,P106B_09,P106B_09,-,-,-,-,putative coat protein,protein-coding,-,-,-,putative coat protein,20200910,-
1458697,18502956,P106B_10,P106B_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18502957,P106B_11,P106B_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18502958,P106B_12,P106B_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18502959,P106B_13,P106B_13,-,-,-,-,lysophospholipase L1-like esterase,protein-coding,-,-,-,lysophospholipase L1-like esterase,20200910,-
1458697,18502960,P106B_14,P106B_14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18502961,P106B_15,P106B_15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18502962,P106B_16,P106B_16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18502963,P106B_17,P106B_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18502964,P106B_18,P106B_18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18502965,P106B_19,P106B_19,-,-,-,-,putative head morphogenesis protein,protein-coding,-,-,-,putative head morphogenesis protein,20200910,-
