#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2599852,62974305,2,JZX81_gp02,PBI_TOAST_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210228,-
2599852,62974306,3,JZX81_gp03,PBI_TOAST_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210228,-
2599852,62974307,4,JZX81_gp04,PBI_TOAST_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210228,-
2599852,62974308,5,JZX81_gp05,PBI_TOAST_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210228,-
2599852,62974309,6,JZX81_gp06,PBI_TOAST_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210228,-
2599852,62974310,7,JZX81_gp07,PBI_TOAST_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974311,8,JZX81_gp08,PBI_TOAST_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974312,9,JZX81_gp09,PBI_TOAST_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210228,-
2599852,62974313,10,JZX81_gp10,PBI_TOAST_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974314,11,JZX81_gp11,PBI_TOAST_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974315,12,JZX81_gp12,PBI_TOAST_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974316,13,JZX81_gp13,PBI_TOAST_13,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210228,-
2599852,62974317,14,JZX81_gp14,PBI_TOAST_14,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210228,-
2599852,62974318,16,JZX81_gp15,PBI_TOAST_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210228,-
2599852,62974319,17,JZX81_gp17,PBI_TOAST_17,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210228,-
2599852,62974320,15,JZX81_gp16,PBI_TOAST_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210228,-
2599852,62974321,18,JZX81_gp18,PBI_TOAST_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210228,-
2599852,62974322,19,JZX81_gp19,PBI_TOAST_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210228,-
2599852,62974323,20,JZX81_gp20,PBI_TOAST_20,-,-,-,"lysin A, L-Ala-D-Glu peptidase domain",protein-coding,-,-,-,"lysin A, L-Ala-D-Glu peptidase domain",20210228,-
2599852,62974324,21,JZX81_gp21,PBI_TOAST_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974325,22,JZX81_gp22,PBI_TOAST_22,-,-,-,"lysin A, glycosyl hydrolase domain",protein-coding,-,-,-,"lysin A, glycosyl hydrolase domain",20210228,-
2599852,62974326,23,JZX81_gp23,PBI_TOAST_23,-,-,-,holin,protein-coding,-,-,-,holin,20210228,-
2599852,62974327,24,JZX81_gp24,PBI_TOAST_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974328,25,JZX81_gp25,PBI_TOAST_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974329,26,JZX81_gp26,PBI_TOAST_26,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210228,-
2599852,62974330,27,JZX81_gp27,PBI_TOAST_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974331,28,JZX81_gp28,PBI_TOAST_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974332,29,JZX81_gp29,PBI_TOAST_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210228,-
2599852,62974333,30,JZX81_gp30,PBI_TOAST_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974334,31,JZX81_gp31,PBI_TOAST_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974335,32,JZX81_gp32,PBI_TOAST_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974336,33,JZX81_gp33,PBI_TOAST_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974337,34,JZX81_gp34,PBI_TOAST_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
