#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2588502,55619410,2,HWC46_gp02,SEA_LEDERBERG_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20200910,-
2588502,55619411,3,HWC46_gp03,SEA_LEDERBERG_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
2588502,55619412,4,HWC46_gp04,SEA_LEDERBERG_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210403,-
2588502,55619413,5,HWC46_gp05,SEA_LEDERBERG_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588502,55619414,6,HWC46_gp06,SEA_LEDERBERG_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200910,-
2588502,55619415,7,HWC46_gp07,SEA_LEDERBERG_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588502,55619416,8,HWC46_gp08,SEA_LEDERBERG_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200912,-
2588502,55619417,9,HWC46_gp09,SEA_LEDERBERG_9,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200910,-
2588502,55619418,10,HWC46_gp10,SEA_LEDERBERG_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588502,55619419,11,HWC46_gp11,SEA_LEDERBERG_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2588502,55619420,12,HWC46_gp12,SEA_LEDERBERG_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210403,-
2588502,55619421,13,HWC46_gp13,SEA_LEDERBERG_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
2588502,55619422,14,HWC46_gp14,SEA_LEDERBERG_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
2588502,55619423,15,HWC46_gp15,SEA_LEDERBERG_15,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201217,-
2588502,55619424,16,HWC46_gp16,SEA_LEDERBERG_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2588502,55619425,17,HWC46_gp17,SEA_LEDERBERG_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2588502,55619426,18,HWC46_gp18,SEA_LEDERBERG_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588502,55619427,19,HWC46_gp19,SEA_LEDERBERG_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588502,55619428,20,HWC46_gp20,SEA_LEDERBERG_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588502,55619429,21,HWC46_gp21,SEA_LEDERBERG_21,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210417,-
2588502,55619430,22,HWC46_gp22,SEA_LEDERBERG_22,-,-,-,holin,protein-coding,-,-,-,holin,20200910,-
2588502,55619431,23,HWC46_gp23,SEA_LEDERBERG_23,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200910,-
2588502,55619432,24,HWC46_gp24,SEA_LEDERBERG_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2588502,55619433,25,HWC46_gp25,SEA_LEDERBERG_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588502,55619434,26,HWC46_gp26,SEA_LEDERBERG_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588502,55619435,27,HWC46_gp27,SEA_LEDERBERG_27,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20200912,-
2588502,55619436,28,HWC46_gp28,SEA_LEDERBERG_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588502,55619437,29,HWC46_gp29,SEA_LEDERBERG_29,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20200912,-
