#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1887646,29068908,2,BIZ73_gp02,SEA_EYRE_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1887646,29068909,3,BIZ73_gp03,SEA_EYRE_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887646,29068910,4,BIZ73_gp04,SEA_EYRE_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1887646,29068911,5,BIZ73_gp05,SEA_EYRE_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1887646,29068912,6,BIZ73_gp06,SEA_EYRE_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1887646,29068913,7,BIZ73_gp07,SEA_EYRE_7,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1887646,29068914,8,BIZ73_gp08,SEA_EYRE_8,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1887646,29068915,9,BIZ73_gp09,SEA_EYRE_9,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1887646,29068916,10,BIZ73_gp10,SEA_EYRE_10,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1887646,29068917,11,BIZ73_gp11,SEA_EYRE_11,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1887646,29068918,12,BIZ73_gp12,SEA_EYRE_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1887646,29068919,13,BIZ73_gp13,SEA_EYRE_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1887646,29068920,14,BIZ73_gp14,SEA_EYRE_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1887646,29068921,15,BIZ73_gp15,SEA_EYRE_15,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1887646,29068922,16,BIZ73_gp16,SEA_EYRE_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1887646,29068923,17,BIZ73_gp17,SEA_EYRE_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1887646,29068924,18,BIZ73_gp18,SEA_EYRE_18,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1887646,29068925,19,BIZ73_gp19,SEA_EYRE_19,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1887646,29068926,20,BIZ73_gp20,SEA_EYRE_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887646,29068927,21,BIZ73_gp21,SEA_EYRE_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887646,29068928,22,BIZ73_gp22,SEA_EYRE_22,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
1887646,29068929,23,BIZ73_gp23,SEA_EYRE_23,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1887646,29068930,24,BIZ73_gp24,SEA_EYRE_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1887646,29068931,25,BIZ73_gp25,SEA_EYRE_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887646,29068932,26,BIZ73_gp26,SEA_EYRE_26,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1887646,29068933,27,BIZ73_gp27,SEA_EYRE_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887646,29068934,28,BIZ73_gp28,SEA_EYRE_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887646,29068935,29,BIZ73_gp29,SEA_EYRE_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887646,29068936,30,BIZ73_gp30,SEA_EYRE_30,-,-,-,antitoxin,protein-coding,-,-,-,antitoxin,20201221,-
1887646,29068937,31,BIZ73_gp31,SEA_EYRE_31,-,-,-,toxin,protein-coding,-,-,-,toxin,20201221,-
1887646,29068938,32,BIZ73_gp32,SEA_EYRE_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887646,29068939,33,BIZ73_gp33,SEA_EYRE_33,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
