#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2182393,60326287,2,I5H16_gp002,SEA_BOBAPHETT_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2182393,60326288,3,I5H16_gp003,SEA_BOBAPHETT_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2182393,60326289,4,I5H16_gp004,SEA_BOBAPHETT_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2182393,60326290,5,I5H16_gp005,SEA_BOBAPHETT_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2182393,60326291,6,I5H16_gp006,SEA_BOBAPHETT_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201129,-
2182393,60326292,7,I5H16_gp007,SEA_BOBAPHETT_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2182393,60326293,8,I5H16_gp008,SEA_BOBAPHETT_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2182393,60326294,9,I5H16_gp009,SEA_BOBAPHETT_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2182393,60326295,10,I5H16_gp010,SEA_BOBAPHETT_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2182393,60326296,11,I5H16_gp011,SEA_BOBAPHETT_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2182393,60326297,13,I5H16_gp012,SEA_BOBAPHETT_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2182393,60326298,14,I5H16_gp014,SEA_BOBAPHETT_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210406,-
2182393,60326299,12,I5H16_gp013,SEA_BOBAPHETT_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2182393,60326300,15,I5H16_gp015,SEA_BOBAPHETT_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2182393,60326301,16,I5H16_gp016,SEA_BOBAPHETT_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2182393,60326302,17,I5H16_gp017,SEA_BOBAPHETT_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2182393,60326303,18,I5H16_gp018,SEA_BOBAPHETT_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2182393,60326304,19,I5H16_gp019,SEA_BOBAPHETT_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2182393,60326305,20,I5H16_gp020,SEA_BOBAPHETT_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210406,-
2182393,60326306,21,I5H16_gp021,SEA_BOBAPHETT_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326307,22,I5H16_gp022,SEA_BOBAPHETT_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326308,23,I5H16_gp023,SEA_BOBAPHETT_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326309,24,I5H16_gp024,SEA_BOBAPHETT_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326310,25,I5H16_gp025,SEA_BOBAPHETT_25,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201129,-
2182393,60326311,26,I5H16_gp026,SEA_BOBAPHETT_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326312,27,I5H16_gp027,SEA_BOBAPHETT_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326313,28,I5H16_gp028,SEA_BOBAPHETT_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326314,29,I5H16_gp029,SEA_BOBAPHETT_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326315,30,I5H16_gp030,SEA_BOBAPHETT_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2182393,60326316,31,I5H16_gp031,SEA_BOBAPHETT_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
