#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2500793,60332862,2,I5H79_gp002,SEA_POENANYA_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2500793,60332863,3,I5H79_gp003,SEA_POENANYA_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
2500793,60332864,5,I5H79_gp005,SEA_POENANYA_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2500793,60332865,7,I5H79_gp007,SEA_POENANYA_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2500793,60332866,8,I5H79_gp008,SEA_POENANYA_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2500793,60332867,9,I5H79_gp009,SEA_POENANYA_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2500793,60332868,10,I5H79_gp010,SEA_POENANYA_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2500793,60332869,11,I5H79_gp011,SEA_POENANYA_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2500793,60332870,13,I5H79_gp012,SEA_POENANYA_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2500793,60332871,15,I5H79_gp015,SEA_POENANYA_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2500793,60332872,16,I5H79_gp016,SEA_POENANYA_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2500793,60332873,17,I5H79_gp017,SEA_POENANYA_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2500793,60332874,18,I5H79_gp018,SEA_POENANYA_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2500793,60332875,14,I5H79_gp014,SEA_POENANYA_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2500793,60332876,20,I5H79_gp020,SEA_POENANYA_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2500793,60332877,21,I5H79_gp021,SEA_POENANYA_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2500793,60332878,22,I5H79_gp022,SEA_POENANYA_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2500793,60332879,23,I5H79_gp023,SEA_POENANYA_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2500793,60332880,24,I5H79_gp024,SEA_POENANYA_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332881,25,I5H79_gp025,SEA_POENANYA_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332882,26,I5H79_gp026,SEA_POENANYA_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332883,27,I5H79_gp027,SEA_POENANYA_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332884,28,I5H79_gp028,SEA_POENANYA_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
