#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2163891,65112286,KNT86_gp002,KNT86_gp002,-,-,-,-,rIIA protector from prophage-induced early lysis,protein-coding,-,-,-,rIIA protector from prophage-induced early lysis,20210607,-
2163891,65112287,KNT86_gp003,KNT86_gp003,-,-,-,-,rIIB protector from prophage-induced early lysis,protein-coding,-,-,-,rIIB protector from prophage-induced early lysis,20210607,-
2163891,65112288,KNT86_gp004,KNT86_gp004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112289,KNT86_gp005,KNT86_gp005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112290,KNT86_gp006,KNT86_gp006,-,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20210607,-
2163891,65112291,KNT86_gp007,KNT86_gp007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112292,KNT86_gp008,KNT86_gp008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112293,KNT86_gp009,KNT86_gp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112294,KNT86_gp010,KNT86_gp010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112295,KNT86_gp011,KNT86_gp011,-,-,-,-,nucleoid disruption protein,protein-coding,-,-,-,nucleoid disruption protein,20210607,-
2163891,65112296,KNT86_gp012,KNT86_gp012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112297,KNT86_gp013,KNT86_gp013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112298,KNT86_gp014,KNT86_gp014,-,-,-,-,topoisomerase II medium subunit,protein-coding,-,-,-,topoisomerase II medium subunit,20210607,-
2163891,65112299,KNT86_gp015,KNT86_gp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112300,KNT86_gp016,KNT86_gp016,-,-,-,-,activator of middle period transcription,protein-coding,-,-,-,activator of middle period transcription,20210607,-
2163891,65112301,KNT86_gp017,KNT86_gp017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112302,KNT86_gp018,KNT86_gp018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112303,KNT86_gp019,KNT86_gp019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112304,KNT86_gp020,KNT86_gp020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112305,KNT86_gp021,KNT86_gp021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112306,KNT86_gp022,KNT86_gp022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112307,KNT86_gp023,KNT86_gp023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112308,KNT86_gp024,KNT86_gp024,-,-,-,-,anti-sigma 70 protein,protein-coding,-,-,-,anti-sigma 70 protein,20210607,-
2163891,65112309,KNT86_gp025,KNT86_gp025,-,-,-,-,holin lysis mediator,protein-coding,-,-,-,holin lysis mediator,20210607,-
2163891,65112310,KNT86_gp026,KNT86_gp026,-,-,-,-,long tail fiber adhesin,protein-coding,-,-,-,long tail fiber adhesin,20210607,-
2163891,65112311,KNT86_gp027,KNT86_gp027,-,-,-,-,long tail fiber distal subunit,protein-coding,-,-,-,long tail fiber distal subunit,20210607,-
2163891,65112312,KNT86_gp028,KNT86_gp028,-,-,-,-,hinge connector of long tail fiber distal connector,protein-coding,-,-,-,hinge connector of long tail fiber distal connector,20210607,-
2163891,65112313,KNT86_gp029,KNT86_gp029,-,-,-,-,hinge connector of long tail fiber proximal connector,protein-coding,-,-,-,hinge connector of long tail fiber proximal connector,20210607,-
2163891,65112314,KNT86_gp030,KNT86_gp030,-,-,-,-,long tail fiber proximal subunit,protein-coding,-,-,-,long tail fiber proximal subunit,20210607,-
2163891,65112315,KNT86_gp031,KNT86_gp031,-,-,-,-,RNaseH ribonuclease,protein-coding,-,-,-,RNaseH ribonuclease,20210607,-
2163891,65112316,KNT86_gp032,KNT86_gp032,-,-,-,-,dsDNA binding protein,protein-coding,-,-,-,dsDNA binding protein,20210607,-
2163891,65112317,KNT86_gp033,KNT86_gp033,-,-,-,-,late promoter transcription accessory protein,protein-coding,-,-,-,late promoter transcription accessory protein,20210607,-
2163891,65112318,KNT86_gp034,KNT86_gp034,-,-,-,-,DNA helicase loader,protein-coding,-,-,-,DNA helicase loader,20210607,-
2163891,65112319,KNT86_gp035,KNT86_gp035,-,-,-,-,single stranded DNA-binding protein,protein-coding,-,-,-,single stranded DNA-binding protein,20210607,-
2163891,65112320,KNT86_gp036,KNT86_gp036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112321,KNT86_gp037,KNT86_gp037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112322,KNT86_gp038,KNT86_gp038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112323,KNT86_gp039,KNT86_gp039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112324,KNT86_gp040,KNT86_gp040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112325,KNT86_gp041,KNT86_gp041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112326,KNT86_gp042,KNT86_gp042,-,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20210607,-
2163891,65112327,KNT86_gp043,KNT86_gp043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112328,KNT86_gp044,KNT86_gp044,-,-,-,-,dTMP thymidylate synthase,protein-coding,-,-,-,dTMP thymidylate synthase,20210607,-
2163891,65112329,KNT86_gp045,KNT86_gp045,-,-,-,-,aerobic NDP reductase large subunit,protein-coding,-,-,-,aerobic NDP reductase large subunit,20210607,-
2163891,65112330,KNT86_gp046,KNT86_gp046,-,-,-,-,aerobic NDP reductase small subunit,protein-coding,-,-,-,aerobic NDP reductase small subunit,20210607,-
2163891,65112331,KNT86_gp047,KNT86_gp047,-,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20210607,-
2163891,65112332,KNT86_gp048,KNT86_gp048,-,-,-,-,RNA ligase 1 and tail fiber attachment catalyst,protein-coding,-,-,-,RNA ligase 1 and tail fiber attachment catalyst,20210607,-
2163891,65112333,KNT86_gp049,KNT86_gp049,-,-,-,-,transcription terminator,protein-coding,-,-,-,transcription terminator,20210607,-
2163891,65112334,KNT86_gp050,KNT86_gp050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112335,KNT86_gp051,KNT86_gp051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112336,KNT86_gp052,KNT86_gp052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112337,KNT86_gp053,KNT86_gp053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112338,KNT86_gp054,KNT86_gp054,-,-,-,-,polynucleotide 5'-kinase and 3'-phosphatase,protein-coding,-,-,-,polynucleotide 5'-kinase and 3'-phosphatase,20210607,-
2163891,65112339,KNT86_gp055,KNT86_gp055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112340,KNT86_gp056,KNT86_gp056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112341,KNT86_gp057,KNT86_gp057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112342,KNT86_gp058,KNT86_gp058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112343,KNT86_gp059,KNT86_gp059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112344,KNT86_gp060,KNT86_gp060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112345,KNT86_gp061,KNT86_gp061,-,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20210607,-
2163891,65112346,KNT86_gp062,KNT86_gp062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112347,KNT86_gp063,KNT86_gp063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112348,KNT86_gp064,KNT86_gp064,-,-,-,-,head assembly cochaperone with GroEL,protein-coding,-,-,-,head assembly cochaperone with GroEL,20210607,-
2163891,65112349,KNT86_gp065,KNT86_gp065,-,-,-,-,rIII lysis inhibition accessory protein rapid lysis phenotype,protein-coding,-,-,-,rIII lysis inhibition accessory protein rapid lysis phenotype,20210607,-
2163891,65112350,KNT86_gp066,KNT86_gp066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112351,KNT86_gp067,KNT86_gp067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112352,KNT86_gp068,KNT86_gp068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112353,KNT86_gp069,KNT86_gp069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112354,KNT86_gp070,KNT86_gp070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112355,KNT86_gp071,KNT86_gp071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112356,KNT86_gp072,KNT86_gp072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112357,KNT86_gp073,KNT86_gp073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112358,KNT86_gp074,KNT86_gp074,-,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210607,-
2163891,65112359,KNT86_gp075,KNT86_gp075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112360,KNT86_gp076,KNT86_gp076,-,-,-,-,RNA polymerase ADP-ribosylase,protein-coding,-,-,-,RNA polymerase ADP-ribosylase,20210607,-
2163891,65112361,KNT86_gp077,KNT86_gp077,-,-,-,-,RNA polymerase ADP-ribosylase,protein-coding,-,-,-,RNA polymerase ADP-ribosylase,20210607,-
2163891,65112362,KNT86_gp078,KNT86_gp078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112363,KNT86_gp079,KNT86_gp079,-,-,-,-,baseplate tail tube initiator,protein-coding,-,-,-,baseplate tail tube initiator,20210607,-
2163891,65112364,KNT86_gp080,KNT86_gp080,-,-,-,-,baseplate tail tube cap,protein-coding,-,-,-,baseplate tail tube cap,20210607,-
2163891,65112365,KNT86_gp081,KNT86_gp081,-,-,-,-,baseplate hub subunit tail length determinator,protein-coding,-,-,-,baseplate hub subunit tail length determinator,20210607,-
2163891,65112366,KNT86_gp082,KNT86_gp082,-,-,-,-,baseplate hub distal subunit,protein-coding,-,-,-,baseplate hub distal subunit,20210607,-
2163891,65112367,KNT86_gp083,KNT86_gp083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112368,KNT86_gp084,KNT86_gp084,-,-,-,-,baseplate hub assembly catalyst,protein-coding,-,-,-,baseplate hub assembly catalyst,20210607,-
2163891,65112369,KNT86_gp085,KNT86_gp085,-,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20210607,-
2163891,65112370,KNT86_gp086,KNT86_gp086,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2163891,65112371,KNT86_gp087,KNT86_gp087,-,-,-,-,recombination repair and ssDNA binding protein,protein-coding,-,-,-,recombination repair and ssDNA binding protein,20210607,-
2163891,65112372,KNT86_gp088,KNT86_gp088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112373,KNT86_gp089,KNT86_gp089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112374,KNT86_gp090,KNT86_gp090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112375,KNT86_gp091,KNT86_gp091,-,-,-,-,RNA-DNA and DNA-DNA helicase ATPase,protein-coding,-,-,-,RNA-DNA and DNA-DNA helicase ATPase,20210607,-
2163891,65112376,KNT86_gp092,KNT86_gp092,-,-,-,-,inhibitor of prohead protease,protein-coding,-,-,-,inhibitor of prohead protease,20210607,-
2163891,65112377,KNT86_gp093,KNT86_gp093,-,-,-,-,head outer capsid protein,protein-coding,-,-,-,head outer capsid protein,20210607,-
2163891,65112378,KNT86_gp094,KNT86_gp094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112379,KNT86_gp095,KNT86_gp095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112380,KNT86_gp096,KNT86_gp096,-,-,-,-,RNA ligase 2,protein-coding,-,-,-,RNA ligase 2,20210607,-
2163891,65112381,KNT86_gp097,KNT86_gp097,-,-,-,-,head vertex protein,protein-coding,-,-,-,head vertex protein,20210607,-
2163891,65112382,KNT86_gp098,KNT86_gp098,-,-,-,-,head vertex protein,protein-coding,-,-,-,head vertex protein,20210607,-
2163891,65112383,KNT86_gp099,KNT86_gp099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112384,KNT86_gp100,KNT86_gp100,-,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20210607,-
2163891,65112385,KNT86_gp101,KNT86_gp101,-,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20210607,-
2163891,65112386,KNT86_gp102,KNT86_gp102,-,-,-,-,prohead core scaffold protein,protein-coding,-,-,-,prohead core scaffold protein,20210607,-
2163891,65112387,KNT86_gp103,KNT86_gp103,-,-,-,-,prohead core scaffold protein and protease,protein-coding,-,-,-,prohead core scaffold protein and protease,20210607,-
2163891,65112388,KNT86_gp104,KNT86_gp104,-,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20210607,-
2163891,65112389,KNT86_gp105,KNT86_gp105,-,-,-,-,prohead core protein precursor to internal peptides,protein-coding,-,-,-,prohead core protein precursor to internal peptides,20210607,-
2163891,65112390,KNT86_gp106,KNT86_gp106,-,-,-,-,portal vertex protein of head,protein-coding,-,-,-,portal vertex protein of head,20210607,-
2163891,65112391,KNT86_gp107,KNT86_gp107,-,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20210607,-
2163891,65112392,KNT86_gp108,KNT86_gp108,-,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20210607,-
2163891,65112393,KNT86_gp109,KNT86_gp109,-,-,-,-,"terminase DNA packaging enzyme, large subunit",protein-coding,-,-,-,"terminase DNA packaging enzyme, large subunit",20210607,-
2163891,65112394,KNT86_gp110,KNT86_gp110,-,-,-,-,"terminase DNA packaging enzyme, small subunit",protein-coding,-,-,-,"terminase DNA packaging enzyme, small subunit",20210607,-
2163891,65112395,KNT86_gp111,KNT86_gp111,-,-,-,-,tail sheath stabilizer and completion protein,protein-coding,-,-,-,tail sheath stabilizer and completion protein,20210607,-
2163891,65112396,KNT86_gp112,KNT86_gp112,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210607,-
2163891,65112397,KNT86_gp113,KNT86_gp113,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210607,-
2163891,65112398,KNT86_gp114,KNT86_gp114,-,-,-,-,fibritin neck whiskers protein,protein-coding,-,-,-,fibritin neck whiskers protein,20210607,-
2163891,65112399,KNT86_gp115,KNT86_gp115,-,-,-,-,short tail fibers protein,protein-coding,-,-,-,short tail fibers protein,20210607,-
2163891,65112400,KNT86_gp116,KNT86_gp116,-,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20210607,-
2163891,65112401,KNT86_gp117,KNT86_gp117,-,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20210607,-
2163891,65112402,KNT86_gp118,KNT86_gp118,-,-,-,-,baseplate wedge tail fiber connector,protein-coding,-,-,-,baseplate wedge tail fiber connector,20210607,-
2163891,65112403,KNT86_gp119,KNT86_gp119,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2163891,65112404,KNT86_gp120,KNT86_gp120,-,-,-,-,baseplate wedge initiator,protein-coding,-,-,-,baseplate wedge initiator,20210607,-
2163891,65112405,KNT86_gp121,KNT86_gp121,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2163891,65112406,KNT86_gp122,KNT86_gp122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112407,KNT86_gp123,KNT86_gp123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112408,KNT86_gp124,KNT86_gp124,-,-,-,-,baseplate hub subunit and tail lysozyme,protein-coding,-,-,-,baseplate hub subunit and tail lysozyme,20210607,-
2163891,65112409,KNT86_gp125,KNT86_gp125,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2163891,65112410,KNT86_gp126,KNT86_gp126,-,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20210607,-
2163891,65112411,KNT86_gp127,KNT86_gp127,-,-,-,-,DNA end protector protein,protein-coding,-,-,-,DNA end protector protein,20210607,-
2163891,65112412,KNT86_gp128,KNT86_gp128,-,-,-,-,tail completion and sheath stabilizer protein,protein-coding,-,-,-,tail completion and sheath stabilizer protein,20210607,-
2163891,65112413,KNT86_gp129,KNT86_gp129,-,-,-,-,deoxynucleotide monophosphate kinase,protein-coding,-,-,-,deoxynucleotide monophosphate kinase,20210607,-
2163891,65112414,KNT86_gp130,KNT86_gp130,-,-,-,-,chaperone for tail fiber formation,protein-coding,-,-,-,chaperone for tail fiber formation,20210607,-
2163891,65112415,KNT86_gp131,KNT86_gp131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112416,KNT86_gp132,KNT86_gp132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112417,KNT86_gp133,KNT86_gp133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112418,KNT86_gp134,KNT86_gp134,-,-,-,-,putative internal head protein,protein-coding,-,-,-,putative internal head protein,20210607,-
2163891,65112419,KNT86_gp135,KNT86_gp135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112420,KNT86_gp136,KNT86_gp136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112421,KNT86_gp137,KNT86_gp137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112422,KNT86_gp138,KNT86_gp138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112423,KNT86_gp139,KNT86_gp139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112424,KNT86_gp140,KNT86_gp140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112425,KNT86_gp141,KNT86_gp141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112426,KNT86_gp142,KNT86_gp142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112427,KNT86_gp143,KNT86_gp143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112428,KNT86_gp144,KNT86_gp144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112429,KNT86_gp145,KNT86_gp145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112430,KNT86_gp146,KNT86_gp146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112431,KNT86_gp147,KNT86_gp147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112432,KNT86_gp148,KNT86_gp148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112433,KNT86_gp149,KNT86_gp149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112434,KNT86_gp150,KNT86_gp150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112435,KNT86_gp151,KNT86_gp151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112436,KNT86_gp152,KNT86_gp152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112437,KNT86_gp153,KNT86_gp153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112438,KNT86_gp154,KNT86_gp154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112439,KNT86_gp155,KNT86_gp155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
